inchikey	target_key	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_db	source	source_xref	xref_id
GYKLFBYWXZYSOW-UHFFFAOYSA-N	B16-F10	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	Lung weight	=	0.1571	g	F	Effect on metastases of B16F10.9 melanoma cells (intraperitoneally implanted) in B6C3F1/OLAC/HSD mice was observed after administration of 12.5 mg/kg dose				ChEMBL	CHEMBL1125374	CHEMBL876761	95828
GYKLFBYWXZYSOW-UHFFFAOYSA-N	B16-F10	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	Lung weight	=	0.135	g	F	Effect on metastases of B16F10.9 melanoma cells (intraperitoneally implanted) in B6C3F1/OLAC/HSD mice was observed after administration of 25 mg/kg dose				ChEMBL	CHEMBL1125374	CHEMBL650899	95829
GYKLFBYWXZYSOW-UHFFFAOYSA-N	B16-F10	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	Lung weight	=	0.0929	g	F	Effect on metastases of B16F10.9 melanoma cells (intraperitoneally implanted) was observed after administration of 50 mg/kg dose				ChEMBL	CHEMBL1125374	CHEMBL652710	95830
GYKLFBYWXZYSOW-UHFFFAOYSA-N	B16-F10	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	Lung weight	>	0.2686	g	F	Effect on metastases of B16F10.9 melanoma cells (intraperitoneally implanted) in B6C3F1/OLAC/HSD mice was observed after administration of 100 mg/kg dose				ChEMBL	CHEMBL1125374	CHEMBL650898	95831
GYKLFBYWXZYSOW-UHFFFAOYSA-N	B16-F10	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	No. of lung lesions	=	97.89	unspecified	F	Effect on metastases of B16F10.9 melanoma cells (intraperitoneally implanted) in B6C3F1/OLAC/HSD mice was observed after administration of 12.5 mg/kg				ChEMBL	CHEMBL1125374	CHEMBL647378	95832
GYKLFBYWXZYSOW-UHFFFAOYSA-N	B16-F10	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	No. of lung lesions	=	72.38	unspecified	F	Effect on metastases of B16F10.9 melanoma cells (intraperitoneally implanted) in B6C3F1/OLAC/HSD mice was observed after administration of 25 mg/kg dose				ChEMBL	CHEMBL1125374	CHEMBL647379	95833
GYKLFBYWXZYSOW-UHFFFAOYSA-N	B16-F10	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	No. of lung lesions	=	66.6	unspecified	F	Effect on metastases of B16F10.9 melanoma cells (intraperitoneally implanted) in B6C3F1/OLAC/HSD mice was observed after administration of 50 mg/kg dose				ChEMBL	CHEMBL1125374	CHEMBL875426	95834
GYKLFBYWXZYSOW-UHFFFAOYSA-N	B16-F10	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	No. of lung lesions	>	140.29	unspecified	F	Effect on metastases of B16F10.9 melanoma cells (intraperitoneally implanted) in B6C3F1/OLAC/HSD mice was observed after administration of 100 mg/kg dose				ChEMBL	CHEMBL1125374	CHEMBL647377	95835
GYKLFBYWXZYSOW-UHFFFAOYSA-N	HL-60	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	IC50	=	49500.0	nM	F	Concentration required for 50% proliferation inhibition of human promyelocytic HL-60 cell line				ChEMBL	CHEMBL1125374	CHEMBL688071	95836
GYKLFBYWXZYSOW-UHFFFAOYSA-N	WEHI	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	IC50	=	75000.0	nM	F	Concentration required for 50% proliferation inhibition of myelomonocytic WEHI cell line				ChEMBL	CHEMBL1125374	CHEMBL818653	95837
GYKLFBYWXZYSOW-UHFFFAOYSA-N	B16-F10	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	IC50	=	82000.0	nM	F	Inhibitory activity on growth of B16F10.9 melanoma cell line				ChEMBL	CHEMBL1125374	CHEMBL650264	95838
GYKLFBYWXZYSOW-UHFFFAOYSA-N	B16-F10	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	IC50	=	60000.0	nM	F	Effect on appearance of B16F10.9 colonies in semisolid agar				ChEMBL	CHEMBL1125374	CHEMBL884038	95839
GYKLFBYWXZYSOW-UHFFFAOYSA-N	Unchecked	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	T/C	=	177.0	%	F	T/C value was determined				ChEMBL	CHEMBL1125374	CHEMBL841017	95840
GYKLFBYWXZYSOW-UHFFFAOYSA-N	Unchecked	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	T/C	=	148.0	%	F	T/C value was determined				ChEMBL	CHEMBL1125374	CHEMBL841017	95841
GYKLFBYWXZYSOW-UHFFFAOYSA-N	B16	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	LD50	=	1360.0	mg.kg-1	T	Lethal dose was determined				ChEMBL	CHEMBL1125374	CHEMBL650265	95842
GYKLFBYWXZYSOW-UHFFFAOYSA-N	3LLD122	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	IC50	=	35000.0	nM	F	Concentration required to inhibit the colony formation of lung carcinoma (3LLD122) cell lines by 50%				ChEMBL	CHEMBL1133463	CHEMBL615590	269511
GYKLFBYWXZYSOW-UHFFFAOYSA-N	MIA PaCa-2	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	IC50	=	30000.0	nM	F	Concentration required to inhibit the colony formation of pancreatic human (PACA) cell lines by 50%				ChEMBL	CHEMBL1133463	CHEMBL762843	269512
GYKLFBYWXZYSOW-UHFFFAOYSA-N	MES-SA	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	IC50	=	40000.0	nM	F	Concentration required for 50% inhibition of human MES-SA cell proliferation				ChEMBL	CHEMBL1142659	CHEMBL833468	1414878
GYKLFBYWXZYSOW-UHFFFAOYSA-N	NON-PROTEIN TARGET	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	IC50	=	46000.0	nM	F	Concentration required for 50% inhibition of human MES-DX5 cell proliferation				ChEMBL	CHEMBL1142659	CHEMBL826409	1414879
GYKLFBYWXZYSOW-UHFFFAOYSA-N	PC-3	Apoptosis Inducers;Histone Deacetylase (HDAC) Inhibitors;Angiogenesis Inhibitors	IC50	=	56000.0	nM	F	Concentration required for 50% inhibition of human PC-3 cell proliferation				ChEMBL	CHEMBL1142659	CHEMBL834630	1414880
