inchikey	smiles	chembl_id	name
AAAQFGUYHFJNHI-SFHVURJKSA-N	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	CHEMBL1232461	
AADVCYNFEREWOS-OBRABYBLSA-N	C=C/C=C\[C@H](C)[C@H](OC(N)=O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C\[C@H](C)[C@@H](O)[C@@H](C)/C=C\[C@@H](O)C[C@@H]1OC(=O)[C@H](C)[C@@H](O)[C@H]1C	CHEMBL364447	
AAKJLRGGTJKAMG-UHFFFAOYSA-N	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	CHEMBL1079742	
AAOVKJBEBIDNHE-UHFFFAOYSA-N	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	CHEMBL107335	
AAOYLOCWJSLLJU-UHFFFAOYSA-N	O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O	CHEMBL366205	
AARAHYDHLHAHOZ-UHFFFAOYSA-N	CCN(CC1CCCC1)c1ncc(N2CCC2)cc1CN(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnn(C)n1		
AASYYGYJPZBFKC-UHFFFAOYSA-N	O=C(O)Cc1c(C(=O)O)n(Cc2cccc3ccccc23)c2ccc(F)cc12		
AATHJLXYARFGKZ-UHFFFAOYSA-N	O=C(c1ccc(-c2cc[n+]([O-])cc2)cc1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1		
AATPYXMXFBBKFO-UHFFFAOYSA-N	COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I	CHEMBL526307	
ABFMLSSDRGSUAS-UHFFFAOYSA-N	CC(C)N1CCC(n2cc(-c3cnc4cnn(S(=O)(=O)c5cnc6ccc(-c7cnn(C)c7)cn56)c4c3)cn2)CC1		
ABFMMCZFKUIJGQ-UHFFFAOYSA-N	O=[N+]([O-])c1cc(CNCP(=O)(O)O)c2nc(O)c(O)nc2c1	CHEMBL84775	
ABGOSOMRWSYAOB-UHFFFAOYSA-N	Clc1cc2c(NC3CCCC3)nnc(-c3ccncc3)c2cc1Cl		
ABSJDZWNXDCDKP-UHFFFAOYSA-N	CCS(=O)(=O)c1ccc(Cn2c(C)c(CC(=O)O)c3cccnc32)c(Cl)c1	CHEMBL3931906	
ABVSYWGFUNXYAC-UHFFFAOYSA-N	O=C1Nc2ccc(S(=O)(=O)NCc3ccc(F)cc3)cc2/C1=N/Nc1cccc(C(=O)O)c1	CHEMBL502013	
ABXIUYMKZDZUDC-UHFFFAOYSA-N	Cc1cncc(-c2nc(NCCc3c[nH]c4ccccc34)c3ncn(C(C)C)c3n2)c1		
ACGUYXCXAPNIKK-UHFFFAOYSA-N	Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl	CHEMBL496	
ACIMQXSSGMWVKG-UHFFFAOYSA-N	NCCc1c(Cl)cccc1Cl	CHEMBL510649	
ACIOMPFLDCPKIS-UHFFFAOYSA-N	Nc1nc(Nc2ccccc2)sc1C(=O)c1cccc([N+](=O)[O-])c1	CHEMBL2377841	
ACLUEOBQFRYTQS-UHFFFAOYSA-N	CC(C)(C)C1CCc2c(sc(NC(=O)c3ccco3)c2C(=O)O)C1	CHEMBL4104747	
ACNHBCIZLNNLRS-UBGQALKQSA-N	CC(C)(O)[C@H]1O[C@H]2CC[C@@]3(C)[C@@](O)(CC[C@H]4Cc5c([nH]c6ccccc56)[C@@]43C)C2=CC1=O	CHEMBL410063	
ACPOUJIDANTYHO-UHFFFAOYSA-N	O=C1c2ccccc2-c2n[nH]c3cccc1c23	CHEMBL7064	
ACVGNKYJVGNLIL-UHFFFAOYSA-N	COc1ccc(-c2ccc(=N)n(CCCC(=O)O)n2)cc1	CHEMBL32503	
ACWZRVQXLIRSDF-UHFFFAOYSA-N	Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21	CHEMBL3187723	
ADEBPBSSDYVVLD-UHFFFAOYSA-N	COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2	CHEMBL1678	
ADLYBSSJKFIGDM-UHFFFAOYSA-N	Cc1cccc(C)c1-c1cccc(COc2ccc(CCC(=O)O)cc2)c1	CHEMBL1688486	
ADPBTBPPIIKLEH-UHFFFAOYSA-N	COc1cc(O)c(C(=O)O)c(-c2cc(O)c(O)cc2C)c1	CHEMBL483531	
ADSVKUMNMQPBKC-LAUBAEHRSA-N	C[C@H](NC(=O)[C@H]1CCCCN1CCOc1ccccc1)c1ccc(C(=O)O)cc1	CHEMBL3115074	
ADUKCCWBEDSMEB-NSHDSACASA-N	CC(C)NC[C@H](O)COc1ccc(O)cc1	CHEMBL1160714	
ADZBMFGQQWPHMJ-RHSMWYFYSA-N	CNC(=O)c1cc(Oc2ccc3nc(N[C@@H]4CCCC[C@H]4O)sc3c2)ccn1		
ADZBMFGQQWPHMJ-WMLDXEAASA-N	CNC(=O)c1cc(Oc2ccc3nc(N[C@H]4CCCC[C@H]4O)sc3c2)ccn1		
AECDBHGVIIRMOI-UHFFFAOYSA-N	Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2C1CC(CN2CCC2)C1	CHEMBL3188172	
AEDMWJARWOMJKQ-UHFFFAOYSA-N	O=C(Nc1ccc(F)cc1)c1ccc(SCc2cc(OC(F)(F)F)ccc2B(O)O)nc1	CHEMBL3426944	
AEQDJSLRWYMAQI-UHFFFAOYSA-N	COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2	CHEMBL1412574	
