id	inchikey	target_id	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_id	source_xref
1	IQCKJUKAQJINMK-HUBRGWSESA-N	496	inhibitor			0.06	nM	binding	SPR; IC50 = 0.3 nM in enzymatic assay				1	sgc0946
2	IQCKJUKAQJINMK-HUBRGWSESA-N	496	inhibitor	IC50		8.8	nM	cell	in-cell western assay assessing methylation of protein substrate in MCF10A cells				1	sgc0946
3	QMDKVNSQXPVCRD-RQNOJGIXSA-N	515	inhibitor			0.01	uM	biochemical	Inhibition of 3H-SAM-dependent labeling of peptide substrate and quantification of 3H-labeled peptide.				2	epz020411
4	QMDKVNSQXPVCRD-RQNOJGIXSA-N	515	inhibitor	IC50		0.0637	uM	cell	H3R2 methylation in PRMT6-overexpressing A375 cells.				2	epz020411
5	WRUWGLUCNBMGPS-UHFFFAOYSA-N	562	antagonist			7.3		binding	TR-FRET, and BROMOscan profiling with N-methyl Kac mimetic: BRD9 pKD = 8.7.				3	i-brd9
6	WRUWGLUCNBMGPS-UHFFFAOYSA-N	562	antagonist					cell	In HUT-78 cells, chemoproteomic competitive binding assays showed I-BRD9 was >625-fold selective for BRD9 over BRD3				3	i-brd9
7	ZHMXXVNQAFCXKK-QGZVFWFLSA-N	315	inhibitor			1	nM	biochemical					4	bix-02565
8	ZHMXXVNQAFCXKK-QGZVFWFLSA-N	315	inhibitor	IC50		20	nM	cell	Inhibition of substrate phosphorylation				4	bix-02565
9	TXGKRVFSSHPBAJ-JKSUJKDBSA-N	272	inhibitor			2.1	nM	biochemical	Radiometric assay; in a FRET-based assay, IC50 = 6 nM				5	prt062607
10	TXGKRVFSSHPBAJ-JKSUJKDBSA-N	272	inhibitor	IC50	>=	0.16	uM	cell	Inhibition of protein substrate phosphorylation in B cells | 0.16-0.4 uM				5	prt062607
11	SCELLOWTHJGVIC-BGYRXZFFSA-N	390	inhibitor			6.3	nM	biochemical					6	ku-60019
12	SCELLOWTHJGVIC-BGYRXZFFSA-N	390	inhibitor					cell	Dose-dependent inhibition of protein substrate phosphorylation in U87 glioma cells				6	ku-60019
13	XCFLWTZSJYBCPF-UHFFFAOYSA-N	445	competitive inhibitor			1	nM	biochemical					7	gne7915
14	XCFLWTZSJYBCPF-UHFFFAOYSA-N	445	competitive inhibitor	IC50		9	nM	cell	Inhibition of autophosphorylation				7	gne7915
15	ZYVXTMKTGDARKR-UHFFFAOYSA-N	632	inhibitor			17	nM	biochemical	in vitro radioactivity-based substrate phosphorylation assay				8	az191
16	ZYVXTMKTGDARKR-UHFFFAOYSA-N	632	inhibitor					cell	In cells, AZ191 dose-dependently inhibited DYRK1B > DYRK1A substrate phosphorylation.				8	az191
17	XSMSNFMDVXXHGJ-UHFFFAOYSA-N	272	inhibitor			7.7	nM	biochemical	SYK enzymatic assay (Lance-based assay)				9	entospletinib
18	XSMSNFMDVXXHGJ-UHFFFAOYSA-N	272	inhibitor	EC50		26	nM	cell	MSD assay detecting the substrate pBLNK				9	entospletinib
19	ISOCDPQFIXDIMS-HSZRJFAPSA-N	52	inhibitor			2.2	nM	biochemical	Chemiluminescence activity based assay (ATP hydrolysis) | 2.2 nM JAK2				10	xl019
20	ISOCDPQFIXDIMS-HSZRJFAPSA-N	52	inhibitor			214	nM	biochemical	Chemiluminescence activity based assay (ATP hydrolysis) | 214 nM JAK3				10	xl019
21	ISOCDPQFIXDIMS-HSZRJFAPSA-N	52	inhibitor			134	nM	biochemical	Chemiluminescence activity based assay (ATP hydrolysis) | 134 nM JAK1				10	xl019
22	ISOCDPQFIXDIMS-HSZRJFAPSA-N	52	inhibitor	IC50		386.4	nM	cell	Immunoblotting detection of pSTAT1 and pSTAT3 | 386.4 nM pSTAT1				10	xl019
23	ISOCDPQFIXDIMS-HSZRJFAPSA-N	52	inhibitor	IC50		695	nM	cell	Immunoblotting detection of pSTAT1 and pSTAT3 | 695 nM pSTAT3				10	xl019
24	GZFYZYBWLCYBMI-MYZJJQSMSA-N	27	inhibitor	Ki		30	nM	cell	Cholesterol esterification and proteolytic cleavage of SREBP-2				11	u18666a
25	HHKGVQGXRGQBBA-UHFFFAOYSA-N	353	inhibitor			30	nM	biochemical	Homogenous time-resolved fluorescence assays detecting enzyme activity using peptide substrates.				12	2-mt-63
26	HHKGVQGXRGQBBA-UHFFFAOYSA-N	353	inhibitor	IC50		62	nM	cell	In EA.hy926 cells, the compound inhibited Ang-1-induces TIE2 autophosphorylation in a plate-based immunassay.				12	2-mt-63
27	LTUGYAOMCKNTGG-UHFFFAOYSA-N	329	antagonist			0.08	uM	biochemical	Time-resolved fluorescence resonance energy transfer (TR-FRET) binding assay, pIC50=7.1.				13	gsk-5959
28	LTUGYAOMCKNTGG-UHFFFAOYSA-N	329	antagonist	IC50		0.98	uM	cell	NanoBRET assay; pIC50=6.0				13	gsk-5959
29	UOVSZRTTWLJPHE-HNXAPSNLSA-N	348	antagonist			7	nM	biochemical	HTRF assay				14	ro5353
30	UOVSZRTTWLJPHE-HNXAPSNLSA-N	348	antagonist	IC50		0.007	uM	cell	Antiproliferative activity (MTT assay) averaged across multiple p53 wild-type cells (SJSA-1, HCT-116, RKO). RO5353 is 1023-fold selective for p53 wild type compared with p53 mutant cells.				14	ro5353
31	CGCOPBXAGSCZNX-FNQJWKMRSA-N	348	antagonist			6	nM	biochemical	HTRF assay.				15	ro2468
32	CGCOPBXAGSCZNX-FNQJWKMRSA-N	348	antagonist	IC50		0.015	uM	cell	Average anti-proliferative activity across multiple p53-positive cell lines (SJSA-1, HCT-116, RKO). RO2468 was 742-fold more potent against p53 wild-type than p53-mutant cell types.				15	ro2468
33	ARYVAQSYRLZVQD-UHFFFAOYSA-N	131	inhibitor			0.009	uM	binding	SPR binding assay				16	nms-p118
34	ARYVAQSYRLZVQD-UHFFFAOYSA-N	131	inhibitor	IC50		0.04	uM	cell	In HeLa cells, hydrogen peroxide-induced PAR production was quantified.				16	nms-p118
35	LTYNXERAWVCPAH-OHRKNAERSA-N	335	inhibitor					biochemical	In synthetic proteoliposomes containing only SEC61 and SR, 10 uM cotransin inhibited VCAM1 translocation but not pre-prolactin. In in vitro transcription/translation assays in reticulocyte lysate with rough endoplasmic reticulum (ER) and microsomes (TNT assays), 10 uM cotransin VCAM1 glycosylation but not translation, and had comparable activity on fusion proteins containing the N-terminal signal sequence from VCAM1. 25 uM cotransin also disrupted cross-linking between ER proteins and Sec61alpha.				17	cotransin
36	SAGZIBJAQGBRQA-UHFFFAOYSA-N	242	inhibitor			18	nM	binding	ALK5 Fluorescence Polarization Binding Assay with intracellular kinase domain from ALK5.				18	gw788388
