id	inchikey	target_id	moa
1	IQCKJUKAQJINMK-HUBRGWSESA-N	496	inhibitor
2	QMDKVNSQXPVCRD-RQNOJGIXSA-N	515	inhibitor
3	WRUWGLUCNBMGPS-UHFFFAOYSA-N	562	antagonist
4	ZHMXXVNQAFCXKK-QGZVFWFLSA-N	315	inhibitor
5	TXGKRVFSSHPBAJ-JKSUJKDBSA-N	272	inhibitor
6	SCELLOWTHJGVIC-BGYRXZFFSA-N	390	inhibitor
7	XCFLWTZSJYBCPF-UHFFFAOYSA-N	445	competitive inhibitor
8	ZYVXTMKTGDARKR-UHFFFAOYSA-N	632	inhibitor
9	XSMSNFMDVXXHGJ-UHFFFAOYSA-N	272	inhibitor
10	ISOCDPQFIXDIMS-HSZRJFAPSA-N	52	inhibitor
11	GZFYZYBWLCYBMI-MYZJJQSMSA-N	27	inhibitor
12	HHKGVQGXRGQBBA-UHFFFAOYSA-N	353	inhibitor
13	LTUGYAOMCKNTGG-UHFFFAOYSA-N	329	antagonist
14	UOVSZRTTWLJPHE-HNXAPSNLSA-N	348	antagonist
15	CGCOPBXAGSCZNX-FNQJWKMRSA-N	348	antagonist
16	ARYVAQSYRLZVQD-UHFFFAOYSA-N	131	inhibitor
17	LTYNXERAWVCPAH-OHRKNAERSA-N	335	inhibitor
18	SAGZIBJAQGBRQA-UHFFFAOYSA-N	242	inhibitor
19	ATUUNJCZCOMUKD-OKILXGFUSA-N	445	inhibitor
20	XKBSPAZCFAIBJL-OAHLLOKOSA-N	516	agonist
21	KMESAVNRPDKZCQ-UHFFFAOYSA-N	229	inhibitor
22	ZDOBSAPHUUUOHX-OSYLJGHBSA-N	401	inhibitor
23	BTSUNSRQYLVGIS-ADTYUTHVSA-N	2	covalent inhibitor
24	PROGRNRRJJYCNX-UHFFFAOYSA-N	425	inhibitor
25	JQNINBDKGLWYMU-GEAQBIRJSA-N	368	antagonist
26	VSZRYLHBOKTNBO-UHFFFAOYSA-N	377	inhibitor
27	CGECJCJUHCZZGO-UHFFFAOYSA-N	317	inhibitor
28	OTKTZEZTFCAULO-DEOSSOPVSA-N	69	inhibitor
29	XMNLWOQHMQRHDV-UHFFFAOYSA-N	91	inhibitor
30	BATCTBJIJJEPHM-UHFFFAOYSA-N	9	covalent inhibitor
31	QCQQONWEDCOTBV-UHFFFAOYSA-N	367	inhibitor
32	BSISGUIVBKDTQO-QIKYYPRYSA-N	455	inhibitor
33	XUYMIRYNRKXKOR-HMHJJOSWSA-N	307	inhibitor
34	WUJVPELCYCESAP-UHFFFAOYSA-N	444	agonist
35	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	329	antagonist
36	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	82	antagonist
37	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	614	antagonist
38	NBTNHSGBRGTFJS-UHFFFAOYSA-N	108	inhibitor
39	NBTNHSGBRGTFJS-UHFFFAOYSA-N	145	inhibitor
40	SOXNKJCQBRQUMS-UHFFFAOYSA-N	211	inhibitor
41	KYWWJENKIMRJBI-UHFFFAOYSA-N	327	partial agonist
42	KYWWJENKIMRJBI-UHFFFAOYSA-N	384	partial agonist
43	MPASHPJAIUOWCK-UHFFFAOYSA-N	234	inhibitor
44	MPASHPJAIUOWCK-UHFFFAOYSA-N	353	inhibitor
45	MPASHPJAIUOWCK-UHFFFAOYSA-N	373	inhibitor
46	MPASHPJAIUOWCK-UHFFFAOYSA-N	436	inhibitor
47	JVCWPUFNLFSKFS-UHFFFAOYSA-N	113	inhibitor
48	JVCWPUFNLFSKFS-UHFFFAOYSA-N	240	inhibitor
49	JVCWPUFNLFSKFS-UHFFFAOYSA-N	137	inhibitor
50	JVCWPUFNLFSKFS-UHFFFAOYSA-N	130	inhibitor
51	JVCWPUFNLFSKFS-UHFFFAOYSA-N	153	inhibitor
52	FYMVGXGSNIVSKY-NRFANRHFSA-N	132	covalent inhibitor
53	KLGQSVMIPOVQAX-UHFFFAOYSA-N	80	inhibitor
54	KLGQSVMIPOVQAX-UHFFFAOYSA-N	556	inhibitor
55	KLGQSVMIPOVQAX-UHFFFAOYSA-N	131	inhibitor
56	KLGQSVMIPOVQAX-UHFFFAOYSA-N	600	inhibitor
57	ZJZWZIXSGNFWQQ-UHFFFAOYSA-N	80	inhibitor
58	ZJZWZIXSGNFWQQ-UHFFFAOYSA-N	556	inhibitor
59	KHWCPNJRJCNVRI-UHFFFAOYSA-N	603	antagonist
60	KHWCPNJRJCNVRI-UHFFFAOYSA-N	602	antagonist
61	ZGBAJMQHJDFTQJ-DEOSSOPVSA-N	92	inhibitor
62	ZGBAJMQHJDFTQJ-DEOSSOPVSA-N	119	inhibitor
63	LVDRREOUMKACNJ-BKMJKUGQSA-N	562	antagonist
64	LVDRREOUMKACNJ-BKMJKUGQSA-N	570	antagonist
65	CXJCGSPAPOTTSF-VURMDHGXSA-N	294	inhibitor
66	CXJCGSPAPOTTSF-VURMDHGXSA-N	566	inhibitor
67	CXJCGSPAPOTTSF-VURMDHGXSA-N	400	inhibitor
68	TXEBNKKOLVBTFK-UHFFFAOYSA-N	176	covalent inhibitor
69	CQCWHSDMJBAGDC-UHFFFAOYSA-N	501	inhibitor
70	CQCWHSDMJBAGDC-UHFFFAOYSA-N	376	inhibitor
71	DSUZLJDXUJUTGI-LLVKDONJSA-N	222	inhibitor
72	VWEDZTZAXHMZIL-UHFFFAOYSA-N	199	agonist
73	VWEDZTZAXHMZIL-UHFFFAOYSA-N	200	agonist
74	VWEDZTZAXHMZIL-UHFFFAOYSA-N	258	agonist
75	PKCDDUHJAFVJJB-VLZXCDOPSA-N	121	inhibitor
76	PKCDDUHJAFVJJB-VLZXCDOPSA-N	107	inhibitor
