source_id	source_db	source	xref_id
1	Chemical Probes Portal	SGC0946	https://www.chemicalprobes.org/
2	Chemical Probes Portal	EPZ020411	https://www.chemicalprobes.org/
3	Chemical Probes Portal	I-BRD9	https://www.chemicalprobes.org/
4	Chemical Probes Portal	BIX-02565	https://www.chemicalprobes.org/
5	Chemical Probes Portal	PRT062607	https://www.chemicalprobes.org/
6	Chemical Probes Portal	KU-60019	https://www.chemicalprobes.org/
7	Chemical Probes Portal	GNE7915	https://www.chemicalprobes.org/
8	Chemical Probes Portal	AZ191	https://www.chemicalprobes.org/
9	Chemical Probes Portal	Entospletinib	https://www.chemicalprobes.org/
10	Chemical Probes Portal	XL019	https://www.chemicalprobes.org/
11	Chemical Probes Portal	U18666A	https://www.chemicalprobes.org/
12	Chemical Probes Portal	2-MT 63	https://www.chemicalprobes.org/
13	Chemical Probes Portal	GSK-5959	https://www.chemicalprobes.org/
14	Chemical Probes Portal	RO5353	https://www.chemicalprobes.org/
15	Chemical Probes Portal	RO2468	https://www.chemicalprobes.org/
16	Chemical Probes Portal	NMS-P118	https://www.chemicalprobes.org/
17	Chemical Probes Portal	Cotransin	https://www.chemicalprobes.org/
18	Chemical Probes Portal	GW788388	https://www.chemicalprobes.org/
19	Chemical Probes Portal	MLi-2	https://www.chemicalprobes.org/
20	Chemical Probes Portal	(R)-Zinc-3573	https://www.chemicalprobes.org/
21	Chemical Probes Portal	BI-1935	https://www.chemicalprobes.org/
22	Chemical Probes Portal	BI-2545	https://www.chemicalprobes.org/
23	Chemical Probes Portal	M-808	https://www.chemicalprobes.org/
24	Chemical Probes Portal	CMLD-2	https://www.chemicalprobes.org/
25	Chemical Probes Portal	AMG 176	https://www.chemicalprobes.org/
26	Chemical Probes Portal	TP-020	https://www.chemicalprobes.org/
27	Chemical Probes Portal	MBM-55	https://www.chemicalprobes.org/
28	Chemical Probes Portal	GSK2973980A	https://www.chemicalprobes.org/
29	Chemical Probes Portal	NCT-505	https://www.chemicalprobes.org/
30	Chemical Probes Portal	PF-04457845	https://www.chemicalprobes.org/
31	Chemical Probes Portal	A-1331852	https://www.chemicalprobes.org/
32	Chemical Probes Portal	BAY-850	https://www.chemicalprobes.org/
33	Chemical Probes Portal	Vimirogant	https://www.chemicalprobes.org/
34	Chemical Probes Portal	GPR120-IN-1	https://www.chemicalprobes.org/
35	Chemical Probes Portal	NI-42	https://www.chemicalprobes.org/
36	Chemical Probes Portal	WH-4-023	https://www.chemicalprobes.org/
37	Chemical Probes Portal	IMP-1088	https://www.chemicalprobes.org/
38	Chemical Probes Portal	LXR-623	https://www.chemicalprobes.org/
39	Chemical Probes Portal	BAY-826	https://www.chemicalprobes.org/
40	Chemical Probes Portal	AC710	https://www.chemicalprobes.org/
41	Chemical Probes Portal	IMP-1710	https://www.chemicalprobes.org/
42	Chemical Probes Portal	XAV939	https://www.chemicalprobes.org/
43	Chemical Probes Portal	JW55	https://www.chemicalprobes.org/
44	Chemical Probes Portal	GSK2801	https://www.chemicalprobes.org/
45	Chemical Probes Portal	Bafetinib	https://www.chemicalprobes.org/
46	Chemical Probes Portal	LP99	https://www.chemicalprobes.org/
47	Chemical Probes Portal	KH-CB19	https://www.chemicalprobes.org/
48	Chemical Probes Portal	BLU9931	https://www.chemicalprobes.org/
49	Chemical Probes Portal	GNE-781	https://www.chemicalprobes.org/
50	Chemical Probes Portal	LSN-3213128	https://www.chemicalprobes.org/
51	Chemical Probes Portal	25CN-NBOH	https://www.chemicalprobes.org/
52	Chemical Probes Portal	Linsitinib	https://www.chemicalprobes.org/
53	Chemical Probes Portal	dBET6	https://www.chemicalprobes.org/
54	Chemical Probes Portal	QC6352	https://www.chemicalprobes.org/
55	Chemical Probes Portal	AZD3988	https://www.chemicalprobes.org/
56	Chemical Probes Portal	LNP-023	https://www.chemicalprobes.org/
57	Chemical Probes Portal	SD-36	https://www.chemicalprobes.org/
58	Chemical Probes Portal	GLPG0974	https://www.chemicalprobes.org/
59	Chemical Probes Portal	AM-6761	https://www.chemicalprobes.org/
60	Chemical Probes Portal	PT2399	https://www.chemicalprobes.org/
61	Chemical Probes Portal	TAK-981	https://www.chemicalprobes.org/
62	Chemical Probes Portal	PFI-1	https://www.chemicalprobes.org/
63	Chemical Probes Portal	TUG-469	https://www.chemicalprobes.org/
64	Chemical Probes Portal	PT2385	https://www.chemicalprobes.org/
65	Chemical Probes Portal	RG7388	https://www.chemicalprobes.org/
66	Chemical Probes Portal	AZD1152	https://www.chemicalprobes.org/
67	Chemical Probes Portal	BTZO-1	https://www.chemicalprobes.org/
68	Chemical Probes Portal	PF-3845	https://www.chemicalprobes.org/
69	Chemical Probes Portal	OICR-9429	https://www.chemicalprobes.org/
70	Chemical Probes Portal	CM11	https://www.chemicalprobes.org/
71	Chemical Probes Portal	TH5427	https://www.chemicalprobes.org/
72	Chemical Probes Portal	GSK481	https://www.chemicalprobes.org/
73	Chemical Probes Portal	BSJ-03-123	https://www.chemicalprobes.org/
74	Chemical Probes Portal	MI-77301	https://www.chemicalprobes.org/
75	Chemical Probes Portal	T0901317	https://www.chemicalprobes.org/
76	Chemical Probes Portal	BGJ-398	https://www.chemicalprobes.org/
77	Chemical Probes Portal	GNF-5837	https://www.chemicalprobes.org/
78	Chemical Probes Portal	UCSF4226	https://www.chemicalprobes.org/
79	Chemical Probes Portal	A-770041	https://www.chemicalprobes.org/
80	Chemical Probes Portal	EPZ-5676	https://www.chemicalprobes.org/
81	Chemical Probes Portal	EPZ011989	https://www.chemicalprobes.org/
82	Chemical Probes Portal	PF-CBP1	https://www.chemicalprobes.org/
83	Chemical Probes Portal	dBRD9	https://www.chemicalprobes.org/
84	Chemical Probes Portal	THZ531	https://www.chemicalprobes.org/
85	Chemical Probes Portal	CB-5083	https://www.chemicalprobes.org/
86	Chemical Probes Portal	THPP-1	https://www.chemicalprobes.org/
87	Chemical Probes Portal	NIK-SMI1	https://www.chemicalprobes.org/
88	Chemical Probes Portal	GSK2194069	https://www.chemicalprobes.org/
89	Chemical Probes Portal	SS-208	https://www.chemicalprobes.org/
90	Chemical Probes Portal	BAY-707	https://www.chemicalprobes.org/
91	Chemical Probes Portal	Filgotinib	https://www.chemicalprobes.org/
92	Chemical Probes Portal	Talazoparib	https://www.chemicalprobes.org/
93	Chemical Probes Portal	DOI:10.1021/acsmedchemlett.0c00155	https://www.chemicalprobes.org/
94	Chemical Probes Portal	AMG-837	https://www.chemicalprobes.org/
95	Chemical Probes Portal	Relacatib	https://www.chemicalprobes.org/
96	Chemical Probes Portal	AC220	https://www.chemicalprobes.org/
97	Chemical Probes Portal	A-485	https://www.chemicalprobes.org/
98	Chemical Probes Portal	Golvatinib	https://www.chemicalprobes.org/
99	Chemical Probes Portal	GNE-049	https://www.chemicalprobes.org/
100	Chemical Probes Portal	Brigatinib	https://www.chemicalprobes.org/
101	Chemical Probes Portal	Rociletinib	https://www.chemicalprobes.org/
102	Chemical Probes Portal	GI254023X	https://www.chemicalprobes.org/
103	Chemical Probes Portal	LYS006	https://www.chemicalprobes.org/
104	Chemical Probes Portal	PF-4181366	https://www.chemicalprobes.org/
105	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.1c00448	https://www.chemicalprobes.org/
106	Chemical Probes Portal	Salvinorin-A	https://www.chemicalprobes.org/
107	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.5b00132	https://www.chemicalprobes.org/
108	Chemical Probes Portal	AM-6226	https://www.chemicalprobes.org/
109	Chemical Probes Portal	PMID:24900707	https://www.chemicalprobes.org/
110	Chemical Probes Portal	DOI:10.1021/jm401056w	https://www.chemicalprobes.org/
111	Chemical Probes Portal	EML631	https://www.chemicalprobes.org/
112	Chemical Probes Portal	Nidufexor	https://www.chemicalprobes.org/
113	Chemical Probes Portal	CCT251236	https://www.chemicalprobes.org/
114	Chemical Probes Portal	Onalespib	https://www.chemicalprobes.org/
115	Chemical Probes Portal	DOI:10.1002/cmdc.201600276	https://www.chemicalprobes.org/
116	Chemical Probes Portal	SR9243	https://www.chemicalprobes.org/
117	Chemical Probes Portal	DOI:10.1016/j.bmc.2017.07.037	https://www.chemicalprobes.org/
118	Chemical Probes Portal	BI 605906	https://www.chemicalprobes.org/
119	Chemical Probes Portal	DOI:10.6019/CHEMBL4507313	https://www.chemicalprobes.org/
120	Chemical Probes Portal	DOI:10.1021/acsmedchemlett.9b00380	https://www.chemicalprobes.org/
121	Chemical Probes Portal	ABBV-744	https://www.chemicalprobes.org/
122	Chemical Probes Portal	BI-9627	https://www.chemicalprobes.org/
123	Chemical Probes Portal	A-192621	https://www.chemicalprobes.org/
124	Chemical Probes Portal	DOI:10.1073/pnas.1812963116	https://www.chemicalprobes.org/
125	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.9b01304	https://www.chemicalprobes.org/
126	Chemical Probes Portal	PMID:30991027	https://www.chemicalprobes.org/
127	Chemical Probes Portal	DOI:10.1021/acsmedchemlett.5b00054	https://www.chemicalprobes.org/
128	Chemical Probes Portal	DOI:10.1016/j.bmcl.2010.11.015	https://www.chemicalprobes.org/
129	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.1c00613	https://www.chemicalprobes.org/
130	Chemical Probes Portal	DOI:10.1016/j.bmcl.2021.128384	https://www.chemicalprobes.org/
131	Chemical Probes Portal	DOI:10.1158/1535-7163.MCT-21-0361	https://www.chemicalprobes.org/
132	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.0c00605	https://www.chemicalprobes.org/
133	Chemical Probes Portal	DOI:10.1016/j.bmcl.2018.12.024	https://www.chemicalprobes.org/
134	Chemical Probes Portal	DOI:10.1016/j.bmcl.2011.07.083	https://www.chemicalprobes.org/
135	Chemical Probes Portal	DOI:10.1021/jm400138z	https://www.chemicalprobes.org/
136	Chemical Probes Portal	DOI:10.1126/science.aan5468	https://www.chemicalprobes.org/
137	Chemical Probes Portal	DOI:10.1038/s41586-019-1835-6	https://www.chemicalprobes.org/
138	Chemical Probes Portal	DOI:10.1002/cmdc.201500131	https://www.chemicalprobes.org/
139	Chemical Probes Portal	DOI:10.1021/acsmedchemlett.0c00247	https://www.chemicalprobes.org/
140	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.0c00796	https://www.chemicalprobes.org/
141	Chemical Probes Portal	DOI:10.1002/jlcr.3698	https://www.chemicalprobes.org/
142	Chemical Probes Portal	MD-224	https://www.chemicalprobes.org/
143	Chemical Probes Portal	BIIB021	https://www.chemicalprobes.org/
144	Chemical Probes Portal	RGFP966	https://www.chemicalprobes.org/
145	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.0c01917	https://www.chemicalprobes.org/
146	Chemical Probes Portal	NI-57	https://www.chemicalprobes.org/
147	Chemical Probes Portal	DDD85646	https://www.chemicalprobes.org/
148	Chemical Probes Portal	DOI:10.1038/s41589-021-00900-9	https://www.chemicalprobes.org/
149	Chemical Probes Portal	TX1-85-1	https://www.chemicalprobes.org/
150	Chemical Probes Portal	DOI:10.1002/anie.202017200	https://www.chemicalprobes.org/
151	Chemical Probes Portal	KZR-504	https://www.chemicalprobes.org/
152	Chemical Probes Portal	BAY-6672	https://www.chemicalprobes.org/
153	Chemical Probes Portal	MT1	https://www.chemicalprobes.org/
154	Chemical Probes Portal	Englerin-A	https://www.chemicalprobes.org/
155	Chemical Probes Portal	AT1	https://www.chemicalprobes.org/
156	Chemical Probes Portal	DOI:10.7554/eLife.34311	https://www.chemicalprobes.org/
157	Chemical Probes Portal	DOI:10.1016/j.bmc.2014.03.036	https://www.chemicalprobes.org/
158	Chemical Probes Portal	DOI:10.6019/CHEMBL4800727	https://www.chemicalprobes.org/
159	Chemical Probes Portal	Tofacitinib	https://www.chemicalprobes.org/
160	Chemical Probes Portal	BAY1217389	https://www.chemicalprobes.org/
161	Chemical Probes Portal	MPS1-IN-1	https://www.chemicalprobes.org/
162	Chemical Probes Portal	ICI-199441	https://www.chemicalprobes.org/
163	Chemical Probes Portal	CPI-637	https://www.chemicalprobes.org/
164	Chemical Probes Portal	DS-1971a	https://www.chemicalprobes.org/
165	Chemical Probes Portal	PI-3065	https://www.chemicalprobes.org/
166	Chemical Probes Portal	BAY-299	https://www.chemicalprobes.org/
167	Chemical Probes Portal	PMID:25192810	https://www.chemicalprobes.org/
168	Chemical Probes Portal	AM-1638	https://www.chemicalprobes.org/
169	Chemical Probes Portal	BMX-IN-1	https://www.chemicalprobes.org/
170	Chemical Probes Portal	DDR1-IN-1	https://www.chemicalprobes.org/
171	Chemical Probes Portal	UNC3866	https://www.chemicalprobes.org/
172	Chemical Probes Portal	RG7112	https://www.chemicalprobes.org/
173	Chemical Probes Portal	BAY-549	https://www.chemicalprobes.org/
174	Chemical Probes Portal	MCC950	https://www.chemicalprobes.org/
175	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.2c00552	https://www.chemicalprobes.org/
176	Chemical Probes Portal	DT2216	https://www.chemicalprobes.org/
177	Chemical Probes Portal	CRBN-6-5-5-VHL	https://www.chemicalprobes.org/
178	Chemical Probes Portal	TBK1 PROTAC 3i	https://www.chemicalprobes.org/
179	Chemical Probes Portal	DAPORINAD	https://www.chemicalprobes.org/
180	Chemical Probes Portal	DOI:10.1016/j.bmcl.2011.05.122	https://www.chemicalprobes.org/
181	Chemical Probes Portal	AGI-5198	https://www.chemicalprobes.org/
182	Chemical Probes Portal	AK120413	https://www.chemicalprobes.org/
183	Chemical Probes Portal	GW3965	https://www.chemicalprobes.org/
184	Chemical Probes Portal	GNE-2861	https://www.chemicalprobes.org/
185	Chemical Probes Portal	SAFit2	https://www.chemicalprobes.org/
186	Chemical Probes Portal	Cortistatin-A	https://www.chemicalprobes.org/
187	Chemical Probes Portal	E7449	https://www.chemicalprobes.org/
188	Chemical Probes Portal	DOI:10.1093/jnci/djt210	https://www.chemicalprobes.org/
189	Chemical Probes Portal	Ibrutinib	https://www.chemicalprobes.org/
190	Chemical Probes Portal	CP-724714	https://www.chemicalprobes.org/
191	Chemical Probes Portal	JNK-IN-8	https://www.chemicalprobes.org/
192	Chemical Probes Portal	LLY-507	https://www.chemicalprobes.org/
193	Chemical Probes Portal	I-BET151	https://www.chemicalprobes.org/
194	Chemical Probes Portal	DOI:10.1021/jm900773n	https://www.chemicalprobes.org/
195	Chemical Probes Portal	UCSF7447	https://www.chemicalprobes.org/
196	Chemical Probes Portal	TH1760	https://www.chemicalprobes.org/
197	Chemical Probes Portal	ULIXERTINIB	https://www.chemicalprobes.org/
198	Chemical Probes Portal	PMID:9190866	https://www.chemicalprobes.org/
199	Chemical Probes Portal	DOI:10.1158/1535-7163.MCT-19-0957	https://www.chemicalprobes.org/
200	Chemical Probes Portal	DOI:10.1021/jm100505n	https://www.chemicalprobes.org/
201	Chemical Probes Portal	Sotuletinib	https://www.chemicalprobes.org/
202	Chemical Probes Portal	RUSKI-201	https://www.chemicalprobes.org/
203	Chemical Probes Portal	OL-135	https://www.chemicalprobes.org/
204	Chemical Probes Portal	DOI:10.1021/jm300700v	https://www.chemicalprobes.org/
205	Chemical Probes Portal	DOI:10.1016/j.ccell.2021.06.018	https://www.chemicalprobes.org/
206	Chemical Probes Portal	BERZOSERTIB	https://www.chemicalprobes.org/
207	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.1c01170	https://www.chemicalprobes.org/
208	Chemical Probes Portal	DOI:10.1021/jm801507v	https://www.chemicalprobes.org/
209	Chemical Probes Portal	Eleutherobin	https://www.chemicalprobes.org/
210	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.2c00834	https://www.chemicalprobes.org/
211	Chemical Probes Portal	DOI:10.1016/j.bmcl.2012.07.060	https://www.chemicalprobes.org/
212	Chemical Probes Portal	DOI:10.1016/S0960-894X(01)00188-3	https://www.chemicalprobes.org/
213	Chemical Probes Portal	DOI:10.1111/j.1476-5381.2010.00730.x	https://www.chemicalprobes.org/
214	Chemical Probes Portal	DOI:10.1073/pnas.97.14.8151	https://www.chemicalprobes.org/
215	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.1c02110	https://www.chemicalprobes.org/
216	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.1c00343	https://www.chemicalprobes.org/
217	Chemical Probes Portal	SC-560	https://www.chemicalprobes.org/
218	Chemical Probes Portal	DOI:10.1021/acsmedchemlett.8b00014	https://www.chemicalprobes.org/
219	Chemical Probes Portal	BI-1347	https://www.chemicalprobes.org/
220	Chemical Probes Portal	DOI:10.1523/JNEUROSCI.4742-12.2013	https://www.chemicalprobes.org/
221	Chemical Probes Portal	DOI:10.1021/ml300123a	https://www.chemicalprobes.org/
222	Chemical Probes Portal	AZD3965	https://www.chemicalprobes.org/
223	Chemical Probes Portal	UNC1215	https://www.chemicalprobes.org/
224	Chemical Probes Portal	DOI:10.1021/jm401727m	https://www.chemicalprobes.org/
225	Chemical Probes Portal	A-446	https://www.chemicalprobes.org/
226	Chemical Probes Portal	ACY-738	https://www.chemicalprobes.org/
227	Chemical Probes Portal	DOI:10.1016/j.bmc.2017.02.045	https://www.chemicalprobes.org/
228	Chemical Probes Portal	DOI:10.1038/s41598-021-90497-9	https://www.chemicalprobes.org/
229	Chemical Probes Portal	DOI:10.1016/j.bmcl.2021.128208	https://www.chemicalprobes.org/
230	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.5b01008	https://www.chemicalprobes.org/
231	Chemical Probes Portal	PFI-653	https://www.chemicalprobes.org/
232	Chemical Probes Portal	DOI:10.1016/0024-3205(92)90352-p	https://www.chemicalprobes.org/
233	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.0c01712	https://www.chemicalprobes.org/
234	Chemical Probes Portal	DOI:10.1021/jm100814g	https://www.chemicalprobes.org/
235	Chemical Probes Portal	DOI:10.1038/nchembio775	https://www.chemicalprobes.org/
236	Chemical Probes Portal	DOI:10.1038/nchembio.1427	https://www.chemicalprobes.org/
237	Chemical Probes Portal	DOI:10.1038/s41589-019-0310-x	https://www.chemicalprobes.org/
238	Chemical Probes Portal	LY2090314	https://www.chemicalprobes.org/
239	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.9b00444	https://www.chemicalprobes.org/
240	Chemical Probes Portal	Atorvastatin	https://www.chemicalprobes.org/
241	Chemical Probes Portal	AZD9833	https://www.chemicalprobes.org/
242	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.9b01928	https://www.chemicalprobes.org/
