chembl_id	inchikey
CHEMBL3087498	IQCKJUKAQJINMK-HUBRGWSESA-N
CHEMBL3589039	QMDKVNSQXPVCRD-RQNOJGIXSA-N
CHEMBL3769507	WRUWGLUCNBMGPS-UHFFFAOYSA-N
CHEMBL1933288	ZHMXXVNQAFCXKK-QGZVFWFLSA-N
CHEMBL2140173	SCELLOWTHJGVIC-BGYRXZFFSA-N
CHEMBL2178134	XCFLWTZSJYBCPF-UHFFFAOYSA-N
CHEMBL3421968	ZYVXTMKTGDARKR-UHFFFAOYSA-N
CHEMBL3109656	MOUNHKKCIGVIDI-UHFFFAOYSA-L
CHEMBL2381340	XVBGRTMNFNMINE-UHFFFAOYSA-N
CHEMBL1089316	PZPPOCZWRGNKIR-PNVYSBBASA-N
CHEMBL124660	UXXQOJXBIDBUAC-UHFFFAOYSA-N
CHEMBL297453	WMBWREPUVVBILR-WIYYLYMNSA-N
CHEMBL165	LUKBXSAWLPMMSZ-OWOJBTEDSA-N
CHEMBL53463	AOJJSUZBOXZQNB-TZSSRYMLSA-N
CHEMBL458997	UYJNQQDJUOUFQJ-UHFFFAOYSA-N
CHEMBL574738	ODPGGGTTYSGTGO-UHFFFAOYSA-N
CHEMBL3544983	HVXKQKFEHMGHSL-QKDCVEJESA-N
CHEMBL51085	DYEFUKCXAQOFHX-UHFFFAOYSA-N
CHEMBL932	IZEKFCXSFNUWAM-UHFFFAOYSA-N
CHEMBL633	IYIKLHRQXLHMJQ-UHFFFAOYSA-N
CHEMBL4297063	QDPVYZNVVQQULH-UHFFFAOYSA-N
CHEMBL509032	QQWUGDVOUVUTOY-UHFFFAOYSA-N
CHEMBL1908842	GUBJNPWVIUFSTR-UHFFFAOYSA-N
CHEMBL1980297	WPHKIQPVPYJNAX-UHFFFAOYSA-N
CHEMBL502835	XZXHXSATPCNXJR-ZIADKAODSA-N
CHEMBL1084546	MZDKLVOWGIOKTN-UHFFFAOYSA-N
CHEMBL1287853	JOOXLOJCABQBSG-UHFFFAOYSA-N
CHEMBL1721885	CTNPALGJUAXMMC-PMFHANACSA-N
CHEMBL1993661	OWRXHGAFWZFFCW-UHFFFAOYSA-N
CHEMBL1983111	RYYNGWLOYLRZLK-UHFFFAOYSA-N
CHEMBL1991078	ZGZVRPRSFXRGCF-UHFFFAOYSA-N
CHEMBL2107337	UUADYKVKJIMIPA-UHFFFAOYSA-N
CHEMBL1967878	KSOVGRCOLZZTPF-UHFFFAOYSA-N
CHEMBL1988838	ZVWRFVCNQOECJS-UHFFFAOYSA-N
CHEMBL3115681	VADOZMZXXRBXNY-UHFFFAOYSA-N
CHEMBL603469	UIARLYUEJFELEN-LROUJFHJSA-N
CHEMBL2001751	BSFNGHCTZDCQBF-UHFFFAOYSA-N
CHEMBL1276446	GCYXEGSPUDSZJY-PTNGSMBKSA-N
CHEMBL3421960	AYQYIBVVCJFCAE-KSEXSDGBSA-N
CHEMBL3265032	XSMSNFMDVXXHGJ-UHFFFAOYSA-N
CHEMBL1908396	SHPFDGWALWEPGS-UHFFFAOYSA-N
CHEMBL240954	SXOZSDJHGMAEGZ-IGKKHSBFSA-N
CHEMBL2208034	ISOCDPQFIXDIMS-HSZRJFAPSA-N
CHEMBL1230609	CXQHYVUVSFXTMY-UHFFFAOYSA-N
CHEMBL2136735	XZXHXSATPCNXJR-UHFFFAOYSA-N
CHEMBL49120	IFPPYSWJNWHOLQ-UHFFFAOYSA-N
CHEMBL1421	ZBNZXTGUTAYRHI-UHFFFAOYSA-N
CHEMBL572878	GCIKSSRWRFVXBI-UHFFFAOYSA-N
CHEMBL1983268	HAYYBYPASCDWEQ-UHFFFAOYSA-N
CHEMBL443684	JLYAXFNOILIKPP-KXQOOQHDSA-N
CHEMBL1738757	WVXNSAVVKYZVOE-UHFFFAOYSA-N
CHEMBL1336	MLDQJTXFUGDVEO-UHFFFAOYSA-N
CHEMBL3393621	QYPJBTMRYKRTFG-UHFFFAOYSA-N
CHEMBL373882	HHKGVQGXRGQBBA-UHFFFAOYSA-N
CHEMBL551288	PBJKWGWHZVXBGU-UHFFFAOYSA-N
CHEMBL217354	PQAPVTKIEGUPRN-UHFFFAOYSA-N
CHEMBL3347630	MUJOCHRZXRZONW-FOCLMDBBSA-N
CHEMBL1179	AELCINSCMGFISI-DTWKUNHWSA-N
CHEMBL320497	IDQPVOFTURLJPT-UHFFFAOYSA-N
CHEMBL51483	QBKSWRVVCFFDOT-UHFFFAOYSA-N
CHEMBL1200660	KLDXJTOLSGUMSJ-JGWLITMVSA-N
CHEMBL211501	UIFFUZWRFRDZJC-SBOOETFBSA-N
CHEMBL343002	PRDFBSVERLRRMY-UHFFFAOYSA-N
CHEMBL217092	OUKYUETWWIPKQR-UHFFFAOYSA-N
CHEMBL295316	VCMMXZQDRFWYSE-UHFFFAOYSA-N
CHEMBL1213492	YALNUENQHAQXEA-UHFFFAOYSA-N
CHEMBL109	NIJJYAXOARWZEE-UHFFFAOYSA-N
CHEMBL939	XGALLCVXEZPNRQ-UHFFFAOYSA-N
CHEMBL450464	ZZZYHIMVKOHVIH-MWFXHRFLSA-N
CHEMBL502489	QDKLRKZQSOQWJQ-SMDXAGPFSA-N
CHEMBL430060	JWOGUUIOCYMBPV-GMFLJSBRSA-N
CHEMBL1213459	DLVJMFOLJOOWFS-VJIFSZOSSA-N
CHEMBL34241	DEZFNHCVIZBHBI-ZHACJKMWSA-N
CHEMBL407632	PVRYEWOXWGDQHA-URLMMPGGSA-N
CHEMBL572933	UNXQGBMZYKHQCO-NVHWNKAKSA-N
CHEMBL3109040	UOVSZRTTWLJPHE-HNXAPSNLSA-N
CHEMBL1818538	IYDMGGPKSVWQRT-UHFFFAOYSA-N
CHEMBL191334	BDUHCSBCVGXTJM-WUFINQPMSA-N
CHEMBL1233798	QZJRNGXHRQJBJH-UHFFFAOYSA-N
CHEMBL3407580	FLEPRYJBTOPZTM-UKILVPOCSA-N
CHEMBL3125537	HMKAZNCSHAJLSA-HIJQLYNKSA-N
CHEMBL3109042	CGCOPBXAGSCZNX-FNQJWKMRSA-N
CHEMBL1333604	XKTMIJODWOEBKO-UHFFFAOYSA-M
CHEMBL4450227	ZHEHVZXPFVXKEY-LYGOBDSISA-N
CHEMBL4116008	BGLPECHZZQDNCD-UHFFFAOYSA-N
CHEMBL2035187	HWXVIOGONBBTBY-ONEGZZNKSA-N
CHEMBL202887	SAGZIBJAQGBRQA-UHFFFAOYSA-N
CHEMBL5181217	TZALECNALKOBPY-UHFFFAOYSA-N
CHEMBL3770186	RYCBSFIKWACFBY-UHFFFAOYSA-N
CHEMBL1995703	JVDOKQYTTYUYDV-UHFFFAOYSA-N
CHEMBL259084	HHFBDROWDBDFBR-UHFFFAOYSA-N
CHEMBL3416503	ZIMMTPFXOMAJTQ-UHFFFAOYSA-N
CHEMBL1241268	ZZUZYEMRHCMVTB-UHFFFAOYSA-N
CHEMBL2381958	LUYWAGVRXKSNLL-DEOSSOPVSA-N
CHEMBL483348	HRYKZAKEAVZGJD-UHFFFAOYSA-N
CHEMBL124706	IJAPPYDYQCXOEF-UHFFFAOYSA-N
CHEMBL460472	GLBZSOQDAOLMGC-UHFFFAOYSA-N
CHEMBL300138	AXRCEOKUDYDWLF-UHFFFAOYSA-N
CHEMBL307782	XFDUHJPVQKIXHO-UHFFFAOYSA-N
CHEMBL1688212	YWPMKTWUFVOFPL-UHFFFAOYSA-N
CHEMBL562310	ZGSXEXBYLJIOGF-ALFLXDJESA-N
CHEMBL228043	UVSVTDVJQAJIFG-VURMDHGXSA-N
CHEMBL339059	ZRWNRAJCPNLYAK-UHFFFAOYSA-N
CHEMBL4520293	XKBSPAZCFAIBJL-OAHLLOKOSA-N
