inchikey	smiles	name
IQCKJUKAQJINMK-HUBRGWSESA-N	CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@@H]1O	SGC0946
QMDKVNSQXPVCRD-RQNOJGIXSA-N	CNCCN(C)Cc1c[nH]nc1-c1ccc(O[C@H]2C[C@H](OCCC3CCOCC3)C2)cc1	EPZ020411
WRUWGLUCNBMGPS-UHFFFAOYSA-N	CCn1cc(-c2cccc(C(F)(F)F)c2)c2sc(C(=N)NC3CCS(=O)(=O)CC3)cc2c1=O	I-BRD9
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	C[C@@H]1CCNC(=O)c2cc3ccc(C(=O)Nc4nc5ccccc5n4CCCN(C)C)cc3n21	BIX-02565
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	NC(=O)c1cnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1	PRT062607
SCELLOWTHJGVIC-BGYRXZFFSA-N	C[C@H]1CN(CC(=O)Nc2ccc3c(c2)Cc2cccc(-c4cc(=O)cc(N5CCOCC5)o4)c2S3)C[C@@H](C)O1	KU-60019
XCFLWTZSJYBCPF-UHFFFAOYSA-N	CCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F	GNE7915
ZYVXTMKTGDARKR-UHFFFAOYSA-N	COc1cc(N2CCN(C)CC2)ccc1Nc1nccc(-c2cn(C)c3cnccc23)n1	AZ191
YHHFKWKMXWRVTJ-OQKWZONESA-N	Clc1ccc(N/N=C(\c2ccccc2)c2ccccn2)nc1	JIB-04
MOUNHKKCIGVIDI-UHFFFAOYSA-L	O=C(Nc1ccc2c(O)cc(S(=O)(=O)[O-])cc2c1)Nc1ccc2c(O)cc(S(=O)(=O)[O-])cc2c1.[Na+].[Na+]	AMI-1
XVBGRTMNFNMINE-UHFFFAOYSA-N	CCOc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)c1ccccc1C(=O)N2C	XMD17-109
OMKHWTRUYNAGFG-IEBDPFPHSA-N	Nc1nccc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O	DZNep
PZPPOCZWRGNKIR-PNVYSBBASA-N	CN1C(=O)[C@@]23C[C@]4([C@]56C[C@@]78SS[C@@](CO)(C(=O)N7[C@H]5Nc5ccccc56)N(C)C8=O)c5ccccc5N[C@@H]4N2C(=O)[C@]1(CO)SS3	Chaetocin
ZWNKKZSRANLVEW-UHFFFAOYSA-N	Nc1nc(N)c2nc(-c3cccc(Cl)c3)c(N)nc2n1	Epiblastin A
UXXQOJXBIDBUAC-UHFFFAOYSA-N	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1	Tandutinib
REFJWTPEDVJJIY-UHFFFAOYSA-N	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	Quercetin
PIMQWRZWLQKKBJ-SFHVURJKSA-N	CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12	Dinaciclib
WMBWREPUVVBILR-WIYYLYMNSA-N	O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	Epigallocatechin-3-gallate (ECGC)
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1	Resveratrol
FIAFUQMPZJWCLV-UHFFFAOYSA-N	Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1	Suramin
ZEWQUBUPAILYHI-UHFFFAOYSA-N	CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	Trifluoperazine
RRKRXIFOHFBLHY-YEZSYGFXSA-M	CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O.[Na+]	Fluoxetine glucuronide
AOJJSUZBOXZQNB-TZSSRYMLSA-N	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1	Doxorubicin
UHTHHESEBZOYNR-UHFFFAOYSA-N	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1	Vandetanib
RITAVMQDGBJQJZ-FMIVXFBMSA-N	CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1	Axitinib
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl	NVP-TAE 226
VAARYSWULJUGST-UHFFFAOYSA-N	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1	PD173955
ODPGGGTTYSGTGO-UHFFFAOYSA-N	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1	AST 487
WAEXFXRVDQXREF-UHFFFAOYSA-N	O=C(CCCCCCC(=O)Nc1ccccc1)NO	Vorinostat
WINHZLLDWRZWRT-ATVHPVEESA-N	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C	Sunitinib
HVXKQKFEHMGHSL-QKDCVEJESA-N	COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1	XL-647
VMWNQDUVQKEIOC-CYBMUJFWSA-N	CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3	Apomorphine
DYEFUKCXAQOFHX-UHFFFAOYSA-N	O=c1c2ccccc2[se]n1-c1ccccc1	Ebselen
IQPNAANSBPBGFQ-UHFFFAOYSA-N	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	Digitoflavone
KZNIFHPLKGYRTM-UHFFFAOYSA-N	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	Apigenin
ZIUSSTSXXLLKKK-KOBPDPAPSA-N	COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O	Curcumin
IZEKFCXSFNUWAM-UHFFFAOYSA-N	OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1	Dipyridamole
KTEIFNKAUNYNJU-GFCCVEGCSA-N	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl	Crizotinib
IYIKLHRQXLHMJQ-UHFFFAOYSA-N	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	Amiodarone
MPVGZUGXCQEXTM-UHFFFAOYSA-N	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1	Linifanib
QDPVYZNVVQQULH-UHFFFAOYSA-N	CC(O)C(=O)O.CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1.O	Dovitinib lactate
RTIXKCRFFJGDFG-UHFFFAOYSA-N	O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12	5,7-Dihydroxyflavone
