id	inchikey	organism	dose_value	dose_unit	route	dose_raw	source_id
1	QMDKVNSQXPVCRD-RQNOJGIXSA-N	Other	5	mg/mL		5 mg/mL	2
2	ZHMXXVNQAFCXKK-QGZVFWFLSA-N	Other				1,3, 10 (IV) mg/Kg; , 30, 100, 300 (PO) mg/Kg	4
3	TXGKRVFSSHPBAJ-JKSUJKDBSA-N	Other	30	mg/kg		30 mg/kg	5
4	XCFLWTZSJYBCPF-UHFFFAOYSA-N	Other	0.5	mg/kg		0.5 mg/kg	7
5	XSMSNFMDVXXHGJ-UHFFFAOYSA-N	Other				0.4 (IV), 1 (PO) mg/Kg	9
6	ISOCDPQFIXDIMS-HSZRJFAPSA-N	Other	30	mg/kg		30-300 mg/Kg	10
7	GZFYZYBWLCYBMI-MYZJJQSMSA-N	Other	10	mg/kg		10 mg/Kg	11
8	HHKGVQGXRGQBBA-UHFFFAOYSA-N	Other	1	mg/kg	IV	1 mg/kg (IV), 10 mg/kg (oral)	12
9	HHKGVQGXRGQBBA-UHFFFAOYSA-N	Other	10	mg/kg	PO	1 mg/kg (IV), 10 mg/kg (oral)	12
10	UOVSZRTTWLJPHE-HNXAPSNLSA-N	Other	10	mg/kg	PO	10 mg/kg (oral)	14
11	CGCOPBXAGSCZNX-FNQJWKMRSA-N	Other	10	mg/kg		10 mg/Kg QD	15
12	ARYVAQSYRLZVQD-UHFFFAOYSA-N	Other	10	mg/kg		10 mg/kg	16
13	SAGZIBJAQGBRQA-UHFFFAOYSA-N	Other	2	mg/kg		2 mg/kg, 4 mg/kg	18
14	SAGZIBJAQGBRQA-UHFFFAOYSA-N	Other	4	mg/kg		2 mg/kg, 4 mg/kg	18
15	ATUUNJCZCOMUKD-OKILXGFUSA-N	Other	30	mg/kg	PO	30 mg/Kg Oral, 2 mg/Kg IV	19
16	ATUUNJCZCOMUKD-OKILXGFUSA-N	Other	2	mg/kg	IV	30 mg/Kg Oral, 2 mg/Kg IV	19
17	KMESAVNRPDKZCQ-UHFFFAOYSA-N	Other	1.2	mg/kg	IV	1.2 mg/Kg IV, 3 mg/Kg PO	21
18	KMESAVNRPDKZCQ-UHFFFAOYSA-N	Other	3	mg/kg	PO	1.2 mg/Kg IV, 3 mg/Kg PO	21
19	ZDOBSAPHUUUOHX-OSYLJGHBSA-N	Other	10	mg/kg	PO	10 mg/Kg PO, 1 mg/Kg IV	22
20	ZDOBSAPHUUUOHX-OSYLJGHBSA-N	Other	1	mg/kg	IV	10 mg/Kg PO, 1 mg/Kg IV	22
21	BTSUNSRQYLVGIS-ADTYUTHVSA-N	Other	10	mg/kg		10 mg/Kg (not effective), 25 mg/Kg	23
22	BTSUNSRQYLVGIS-ADTYUTHVSA-N	Other	25	mg/kg		10 mg/Kg (not effective), 25 mg/Kg	23
23	JQNINBDKGLWYMU-GEAQBIRJSA-N	Other	60	mg/kg		30 and 60 mg/Kg , 50 and 100 mg/Kg	25
24	JQNINBDKGLWYMU-GEAQBIRJSA-N	Other	100	mg/kg		30 and 60 mg/Kg , 50 and 100 mg/Kg	25
25	VSZRYLHBOKTNBO-UHFFFAOYSA-N	Other	10	mg/kg		0.1-1-3-10-30 mg/Kg	26
26	CGECJCJUHCZZGO-UHFFFAOYSA-N	Other	1	mg/kg		1 mg/Kg	27
27	OTKTZEZTFCAULO-DEOSSOPVSA-N	Other	10	mg/kg		1, 3, 10 mg/Kg	28
28	XMNLWOQHMQRHDV-UHFFFAOYSA-N	Other	2	mg/kg	IV	2 mg/Kg IV, 10 mg/Kg PO	29
29	XMNLWOQHMQRHDV-UHFFFAOYSA-N	Other	10	mg/kg	PO	2 mg/Kg IV, 10 mg/Kg PO	29
30	BATCTBJIJJEPHM-UHFFFAOYSA-N	Other	1	mg/kg	PO	1 mg/Kg PO, 0.5 mg/Kg IV	30
31	BATCTBJIJJEPHM-UHFFFAOYSA-N	Other	0.5	mg/kg	IV	1 mg/Kg PO, 0.5 mg/Kg IV	30
32	QCQQONWEDCOTBV-UHFFFAOYSA-N	Other	5	mg/kg		5-30 mg/Kg	31
33	XUYMIRYNRKXKOR-HMHJJOSWSA-N	Other	15	mg/kg		15-100 mg/Kg	33
34	WUJVPELCYCESAP-UHFFFAOYSA-N	Other	30	mg/kg		30 mg/Kg	34
35	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	Mouse	3	mg/kg	PO	3 mg/kg (oral), 1 mg/kg (IV)	35
36	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	Mouse	1	mg/kg	IV	3 mg/kg (oral), 1 mg/kg (IV)	35
37	NBTNHSGBRGTFJS-UHFFFAOYSA-N	Rat	5	mg/kg		5 mg/kg	36
38	KYWWJENKIMRJBI-UHFFFAOYSA-N	Other	50	mg/kg		30 (r), 50 (m) mg/kg/day, 15, 50 mg/Kg (R), 20, 60, and 120 mg/kg/day (ham), 50 mg/Kg (mon)Rab	38
39	KYWWJENKIMRJBI-UHFFFAOYSA-N	Other	120	mg/kg/day		30 (r), 50 (m) mg/kg/day, 15, 50 mg/Kg (R), 20, 60, and 120 mg/kg/day (ham), 50 mg/Kg (mon)Rab	38
40	KYWWJENKIMRJBI-UHFFFAOYSA-N	Other	50	mg/kg		30 (r), 50 (m) mg/kg/day, 15, 50 mg/Kg (R), 20, 60, and 120 mg/kg/day (ham), 50 mg/Kg (mon)Rab	38
41	MPASHPJAIUOWCK-UHFFFAOYSA-N	Rat	100	mg/kg		25, 50, 100 mg/Kg	39
42	JVCWPUFNLFSKFS-UHFFFAOYSA-N	Mouse	30	mg/kg		3, 10, 30 mg/Kg	40
43	KHWCPNJRJCNVRI-UHFFFAOYSA-N	Mouse	30	mg/kg		30 mg/kg	44
44	ZGBAJMQHJDFTQJ-DEOSSOPVSA-N	Mouse	30	mg/kg		30 mg/kg	45
45	TXEBNKKOLVBTFK-UHFFFAOYSA-N	Other	100	mg/kg		10, 30 and 100 mg/kg	48
46	CQCWHSDMJBAGDC-UHFFFAOYSA-N	Other	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO, 5-10-30 mg/Kg PO BID, Reviewer suggested: max 30 mg/Kg	49
47	CQCWHSDMJBAGDC-UHFFFAOYSA-N	Other	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO, 5-10-30 mg/Kg PO BID, Reviewer suggested: max 30 mg/Kg	49
48	CQCWHSDMJBAGDC-UHFFFAOYSA-N	Other	10	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO, 5-10-30 mg/Kg PO BID, Reviewer suggested: max 30 mg/Kg	49
49	CQCWHSDMJBAGDC-UHFFFAOYSA-N	Other	10	mg/kg		1 mg/Kg IV, 5 mg/Kg PO, 5-10-30 mg/Kg PO BID, Reviewer suggested: max 30 mg/Kg	49
50	DSUZLJDXUJUTGI-LLVKDONJSA-N	Mouse	1	mg/kg	IV	1 mg/Kg (IV), 10 mg/Kg (PO)	50
51	DSUZLJDXUJUTGI-LLVKDONJSA-N	Mouse	10	mg/kg	PO	1 mg/Kg (IV), 10 mg/Kg (PO)	50
52	VWEDZTZAXHMZIL-UHFFFAOYSA-N	Mouse	0.1	mg/kg		0.1 to 10 mg/Kg	51
53	PKCDDUHJAFVJJB-VLZXCDOPSA-N	Other	5	mg/kg		5 mg/kg, 50-75 mg/Kg Oral (Reviewer Suggested)	52
54	PKCDDUHJAFVJJB-VLZXCDOPSA-N	Other	50	mg/kg	PO	5 mg/kg, 50-75 mg/Kg Oral (Reviewer Suggested)	52
55	JGQPZPLJOBHHBK-UFXYQILXSA-N	Mouse	10	mg/kg		10 mg/Kg, Reviewers suggest: 7.5 mg/Kg BID	53
56	JGQPZPLJOBHHBK-UFXYQILXSA-N	Mouse	7.5	mg/kg		10 mg/Kg, Reviewers suggest: 7.5 mg/Kg BID	53
57	XSMABFRQESMONQ-SFHVURJKSA-N	Mouse	50	mg/kg		5 , 10, 25, 50 mg/Kg	54
58	NGEBYTLALFOQKI-HDJSIYSDSA-N	Other	20	mg/kg		0.5 (M), 2 (R), 1 (D) mg/kg IV, 1 (M), 5 (R), 1 (D) mg/kg PO, Reviewer suggest: 20 mg/Kg (M), 0.5-5 mg/Kg (R)	55
59	NGEBYTLALFOQKI-HDJSIYSDSA-N	Other	0.5	mg/kg		0.5 (M), 2 (R), 1 (D) mg/kg IV, 1 (M), 5 (R), 1 (D) mg/kg PO, Reviewer suggest: 20 mg/Kg (M), 0.5-5 mg/Kg (R)	55
60	RENRQMCACQEWFC-UGKGYDQZSA-N	Other	1	mg/kg		1 to 30 mg/Kg (R), 0.1 to 10 mg/Kg (D), 1 (IV), 10 (PO) mg/Kg (m)	56
61	RENRQMCACQEWFC-UGKGYDQZSA-N	Other	0.1	mg/kg	IV	1 to 30 mg/Kg (R), 0.1 to 10 mg/Kg (D), 1 (IV), 10 (PO) mg/Kg (m)	56
62	JKCSCHXVWPSGBG-OPKPGBGESA-N	Mouse	25	mg/kg		25 mg/Kg, 50 mg/Kg, 100 mg/Kg	57
63	JKCSCHXVWPSGBG-OPKPGBGESA-N	Mouse	50	mg/kg		25 mg/Kg, 50 mg/Kg, 100 mg/Kg	57
64	JKCSCHXVWPSGBG-OPKPGBGESA-N	Mouse	100	mg/kg		25 mg/Kg, 50 mg/Kg, 100 mg/Kg	57
65	MPMKMQHJHDHPBE-RUZDIDTESA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 5-30 mg/Kg PO	58
66	MPMKMQHJHDHPBE-RUZDIDTESA-N	Rat	5	mg/kg	PO	1 mg/Kg IV, 5-30 mg/Kg PO	58
67	HNLHOKSDTBAERS-CWIPYCOQSA-N	Other	0.5	mg/kg	IV	0.5 mg/Kg (IV), 5 mg/Kg (PO)	59
68	HNLHOKSDTBAERS-CWIPYCOQSA-N	Other	5	mg/kg	PO	0.5 mg/Kg (IV), 5 mg/Kg (PO)	59
69	MXUSGDMIHGLCNC-HNNXBMFYSA-N	Other	10	mg/kg	PO	10 mg/Kg PO, 3 mg/Kg IV	60
70	MXUSGDMIHGLCNC-HNNXBMFYSA-N	Other	3	mg/kg	IV	10 mg/Kg PO, 3 mg/Kg IV	60
71	LXRZVMYMQHNYJB-UNXOBOICSA-N	Rat				1 (IV), 10 (PO) mg/Kg	61
72	RUPXKSLKGSSZCP-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	63
73	ONBSHRSJOPSEGS-INIZCTEOSA-N	Other	3	mg/kg	IV	3 mg/Kg (IV), 10 mg/Kg (PO)	64
74	ONBSHRSJOPSEGS-INIZCTEOSA-N	Other	10	mg/kg	PO	3 mg/Kg (IV), 10 mg/Kg (PO)	64
75	TVTXCJFHQKSQQM-LJQIRTBHSA-N	Mouse	50	mg/kg	PO	50 mg/kg (oral); 5 mg/kg (IV)	65
76	TVTXCJFHQKSQQM-LJQIRTBHSA-N	Mouse	5	mg/kg	IV	50 mg/kg (oral); 5 mg/kg (IV)	65
77	GBJVVSCPOBPEIT-UHFFFAOYSA-N	Mouse	150	mg/kg		150 mg/kg	66
78	NBOJHRYUGLRASX-UHFFFAOYSA-N	Other	10	mg/kg	IP	10 mg/Kg IP, 1-30 mg/Kg PO	68
79	NBOJHRYUGLRASX-UHFFFAOYSA-N	Other	1	mg/kg	PO	10 mg/Kg IP, 1-30 mg/Kg PO	68
80	IDKAKZRYYDCJDU-HBMMIIHUSA-N	Mouse	25	mg/kg		25-200 mg/kg	74
81	SGIWFELWJPNFDH-UHFFFAOYSA-N	Mouse	10	mg/kg	PO	10 mg/Kg PO, 20 mg/Kg IP, 50 mg/Kg IP	75
82	SGIWFELWJPNFDH-UHFFFAOYSA-N	Mouse	20	mg/kg	IP	10 mg/Kg PO, 20 mg/Kg IP, 50 mg/Kg IP	75
83	SGIWFELWJPNFDH-UHFFFAOYSA-N	Mouse	50	mg/kg	IP	10 mg/Kg PO, 20 mg/Kg IP, 50 mg/Kg IP	75
84	QADPYRIHXKWUSV-UHFFFAOYSA-N	Mouse				5 IV, 20 PO mg/Kg	76
85	YYDUWLSETXNJJT-MTJSOVHGSA-N	Other	50	mg/kg		50-100 mg/Kg	77
86	BLNNXJOEJRKHAM-UHFFFAOYSA-N	Mouse	30	ug		30 ug	78
87	ZMNWFTYYYCSSTF-SOAUALDESA-N	Other	10	mg/kg	PO	10 mg/Kg PO, 5 mg/Kg IV	79
88	ZMNWFTYYYCSSTF-SOAUALDESA-N	Other	5	mg/kg	IV	10 mg/Kg PO, 5 mg/Kg IV	79
89	LXFOLMYKSYSZQS-XKHGBIBOSA-N	Other	20	mg/kg		20 mg/kg (mice), 1 mg/kg (rat)	80
90	LXFOLMYKSYSZQS-XKHGBIBOSA-N	Other	1	mg/kg		20 mg/kg (mice), 1 mg/kg (rat)	80
91	XQFINGFCBFHOPE-WXUXXXNLSA-N	Other	30	mg/kg		30 mg/kg - 300 mg/kg (R), 125 - 1000 mg/kg (M)	81
92	XQFINGFCBFHOPE-WXUXXXNLSA-N	Other	300	mg/kg		30 mg/kg - 300 mg/kg (R), 125 - 1000 mg/kg (M)	81
93	XQFINGFCBFHOPE-WXUXXXNLSA-N	Other	125	mg/kg		30 mg/kg - 300 mg/kg (R), 125 - 1000 mg/kg (M)	81
94	RDALZZCKQFLGJP-UHFFFAOYSA-N	Mouse				3 (IV)- 100 (PO) mg/Kg	85
95	JBHLOPKIPKTRSU-UHFFFAOYSA-N	Other	1	mg/kg		1-10 mg/Kg	86
96	LQSHXYHWYGKAMX-FQEVSTJZSA-N	Other	5	mg/kg		5 mg/Kg, Reviewer suggests higher than 100-200 mg/Kg PO	87
97	LQSHXYHWYGKAMX-FQEVSTJZSA-N	Other	100	mg/kg	PO	5 mg/Kg, Reviewer suggests higher than 100-200 mg/Kg PO	87
98	AQTPWCUIYUOEMG-INIZCTEOSA-N	Mouse	3	mg/kg		3 mg/Kg	88
99	JFGOILLZIAIYGA-UHFFFAOYSA-N	Mouse	25	mg/kg		25 mg/Kg	89
100	RPMGXDCRCWWCRY-JTQLQIEISA-N	Other	25	mg/kg		25 mg/Kg, 250 mg/Kg	90
101	RPMGXDCRCWWCRY-JTQLQIEISA-N	Other	250	mg/kg		25 mg/Kg, 250 mg/Kg	90
102	RIJLVEAXPNLDTC-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/kg (IV); 5 mg/kg (oral)	91
103	RIJLVEAXPNLDTC-UHFFFAOYSA-N	Rat	5	mg/kg	PO	1 mg/kg (IV); 5 mg/kg (oral)	91
104	HWGQMRYQVZSGDQ-HZPDHXFCSA-N	Mouse	1	mg/kg		1 mg/kg	92
105	SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	1	mg/kg	IV	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	1211
106	SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	5	mg/kg	PO	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	1211
107	SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	0.5	mg/kg	IV	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	1211
108	SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	1	mg/kg	PO	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	1211
109	SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	1	mg/kg	IV	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	1211
110	SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	5	mg/kg	PO	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	1211
111	ZOPNBMMVVZRSGH-NRFANRHFSA-N	Other				0.8 (M), 0.5 (R) 0.5 (D) 0.5 (C) mg/Kg IV, 5 (M), 0.5 (R) 2 (D) 0.5 (C) mg/Kg PO	94
112	BWYBBMQLUKXECQ-GIVPXCGWSA-N	Other	3	mg/kg		1-2 (IV), 2-4 (PO) mg/Kg, Reviewer Suggest 3-30 mg/Kg	95
113	CVWXJKQAOSCOAB-UHFFFAOYSA-N	Mouse	10	mg/mL		10 mg/mL	96
114	VRVJKILQRBSEAG-LFPIHBKWSA-N	Mouse	500	mg/kg		50, 100, 200, 500 mg/kg	97
115	UQRCJCNVNUFYDX-UHFFFAOYSA-N	Mouse	50	mg/kg		50-200 mg/Kg	98
116	LWXLECMNBTVASW-UHFFFAOYSA-N	Other	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	99
117	LWXLECMNBTVASW-UHFFFAOYSA-N	Other	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	99
118	AILRADAXUVEEIR-UHFFFAOYSA-N	Other	10	mg/kg		3, 10 mg/Kg	100
119	HUFOZJXAKZVRNJ-UHFFFAOYSA-N	Mouse	3	mg/kg		3-100 mg/Kg	101
120	GHVMTHKJUAOZJP-CGTJXYLNSA-N	Other	100	mg/kg		100 mg/Kg	102
121	ZEGMEJVULDALSH-NSHDSACASA-N	Other				0.1, 1, 3 (IV) mg/Kg, 0.3, 3, 10 (PO) mg/Kg	103
122	SNCRCEGCQVMUBS-DNVCBOLYSA-N	Rat	10	mg/kg		10 mg/kg	104
123	ORDHXXHTBUZRCN-NTEUORMPSA-N	Rat	10	mg/kg		10 mg/Kg	1212
124	ORDHXXHTBUZRCN-NTEUORMPSA-N	Rat	2	mg/kg		2 mg/Kg	1212
125	ORDHXXHTBUZRCN-NTEUORMPSA-N	Mouse	10	mg/kg		10 mg/Kg	1212
126	ORDHXXHTBUZRCN-NTEUORMPSA-N	Mouse	2	mg/kg		2 mg/Kg	1212
127	ORDHXXHTBUZRCN-NTEUORMPSA-N	Dog	10	mg/kg		10 mg/Kg	1212
128	ORDHXXHTBUZRCN-NTEUORMPSA-N	Dog	2	mg/kg		2 mg/Kg	1212
129	ORDHXXHTBUZRCN-NTEUORMPSA-N	Monkey (Rheus)	10	mg/kg		10 mg/Kg	1212
130	ORDHXXHTBUZRCN-NTEUORMPSA-N	Monkey (Rheus)	2	mg/kg		2 mg/Kg	1212
131	CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Rat	0.5	mg/kg		0.5 mg/kg	108
132	CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Rat	2	mg/kg		2 mg/Kg	108
133	CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Dog	0.5	mg/kg		0.5 mg/Kg	108
134	CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Dog	2	mg/kg		2 mg/Kg	108
135	CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Monkey (Cynomolgus)	0.5	mg/kg		0.5 mg/Kg	108
136	CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Monkey (Cynomolgus)	10	mg/kg		10 mg/Kg	108
137	XPLWBHWPOUEOSJ-GSZYCOFVSA-N	Rat	0.5	mg/kg		0.5 mg/Kg	1213
138	XPLWBHWPOUEOSJ-GSZYCOFVSA-N	Rat	2	mg/kg		2 mg/Kg	1213
139	XPLWBHWPOUEOSJ-GSZYCOFVSA-N	Monkey (Cynomolgus)	0.5	mg/kg		0.5 mg/Kg	1213
140	XPLWBHWPOUEOSJ-GSZYCOFVSA-N	Monkey (Cynomolgus)	2	mg/kg		2 mg/Kg	1213
141	YSVWFFNZZGLLAI-XNTOLAJGSA-N	Rat	30	nM/kg		30 nM/kg	1214
142	JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	3	mg/kg	PO	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	112
143	JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	10	mg/kg	IV	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	112
144	JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	5	mg/kg	PO	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	112
145	JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	10	mg/kg	IV	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	112
146	JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	0.5	mg/kg	PO	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	112
147	JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	2	mg/kg		IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	112
148	KLHOCHQJHXNKAS-UHFFFAOYSA-N	Mouse	20	mg/kg		20 mg/kg	113
149	IFRGXKKQHBVPCQ-UHFFFAOYSA-N	Mouse	2	mg/kg		2-60 mg/Kg	114
150	BKLJDIJJOOQUFG-UHFFFAOYSA-N	Rat	0.3	mg/kg		0.3 mg/Kg	1215
151	BKLJDIJJOOQUFG-UHFFFAOYSA-N	Rat	0.6	mg/kg		0.6 mg/Kg	1215
152	BKLJDIJJOOQUFG-UHFFFAOYSA-N	Dog	0.1	mg/kg		0.1 mg/Kg	1215
153	BKLJDIJJOOQUFG-UHFFFAOYSA-N	Dog	0.2	mg/kg		0.2 mg/Kg	1215
154	FYQFEJFTCLKXTQ-UHFFFAOYSA-N	Mouse	60	mg/kg/day		30, 60 mg/Kg/day	116
155	RRELDGDKULRRDM-UHFFFAOYSA-N	Mouse	0.1	mg/kg	IV	0.1 mg/kg IV, 1 mg/kg PO	1216
156	RRELDGDKULRRDM-UHFFFAOYSA-N	Mouse	1	mg/kg	PO	0.1 mg/kg IV, 1 mg/kg PO	1216
157	IYHHRZBKXXKDDY-UHFFFAOYSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	118
158	IYHHRZBKXXKDDY-UHFFFAOYSA-N	Mouse	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	118
159	IYHHRZBKXXKDDY-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	118
160	IYHHRZBKXXKDDY-UHFFFAOYSA-N	Rat	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	118
161	IYHHRZBKXXKDDY-UHFFFAOYSA-N	Dog	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	118
162	IYHHRZBKXXKDDY-UHFFFAOYSA-N	Dog	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	118
163	IYHHRZBKXXKDDY-UHFFFAOYSA-N	Monkey (Cynomolgus)	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	118
164	IYHHRZBKXXKDDY-UHFFFAOYSA-N	Monkey (Cynomolgus)	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	118
165	DYUTWRFEEOPXMN-UHFFFAOYSA-N	Rat	0.2	mg/kg		0.2 mg/Kg	1217
166	DYUTWRFEEOPXMN-UHFFFAOYSA-N	Rat	0.6	mg/kg		0.6 mg/Kg	1217
167	AUYCSWFYKYVCLD-HXUWFJFHSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV and PO	1218
168	AUYCSWFYKYVCLD-HXUWFJFHSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV and PO	1218
169	AUYCSWFYKYVCLD-HXUWFJFHSA-N	Dog	1	mg/kg	IV	1 mg/Kg IV and PO	1218
170	AUYCSWFYKYVCLD-HXUWFJFHSA-N	Monkey (Cynomolgus)	1	mg/kg	IV	1 mg/Kg IV and PO	1218
171	OEDSFMUSNZDJFD-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/kg	121
172	QMHRLXNEGYTSRV-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	122
173	QMHRLXNEGYTSRV-UHFFFAOYSA-N	Rat	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	122
174	QMHRLXNEGYTSRV-UHFFFAOYSA-N	Dog	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	122
175	QMHRLXNEGYTSRV-UHFFFAOYSA-N	Dog	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	122
176	QMHRLXNEGYTSRV-UHFFFAOYSA-N	Rat					122
177	LQEHCKYYIXQEBM-FUKIBTTHSA-N	Rat	5	mg/kg	IV	5 mg/Kg IV, 10 mg/Kg PO	123
178	LQEHCKYYIXQEBM-FUKIBTTHSA-N	Rat	10	mg/kg	PO	5 mg/Kg IV, 10 mg/Kg PO	123
179	LQEHCKYYIXQEBM-FUKIBTTHSA-N	Dog	5	mg/kg	IV	5 mg/Kg IV, 10 mg/Kg PO	123
