id	inchikey	target_id	reason	raw	fragment	relation	value	unit	bioactivity_type	assay_description	source_id
1	TXEBNKKOLVBTFK-UHFFFAOYSA-N	176	scientific-notation factor not applied	0.6 X 10^5/(mol/L) s	0.6 X 10^5/(mol/L) s		0.6	M-1s-1		Omnia assay technology (Life Technologies); Incubation of recombinant FGFR4 with BLU9931 led to covalent modification of the receptor at Cys552, confirmed by mass shift and proteomics. In enzyme activity assays FGFR4 IC50=3 nM.	48
2	LXRZVMYMQHNYJB-UNXOBOICSA-N	593	a duration, not a potency	15 nM; (32 - 46 nM, 0 - 8 h)	0 - 8 h)	>=	0	h	IC50	SUMO2/3 immunofluorescent Assay assessing the ratio of SUMO2/3 in the nuclear versus cytoplasm (treatment is followed by immediate washout and readings at 0 and 8 h) | 0 - 8 h)	61
3	LXRZVMYMQHNYJB-UNXOBOICSA-N	597	a duration, not a potency	15 nM; (32 - 46 nM, 0 - 8 h)	0 - 8 h)	>=	0	h	IC50	SUMO2/3 immunofluorescent Assay assessing the ration of SUMO2/3 in the nuclear versus cytoplasm (treatment is followed by immediate washout and readings at 0 and 8 h) | 0 - 8 h)	61
4	HRJWSEPIRZRGCL-UHFFFAOYSA-N	578	range reads high to low	10 nM to 1 µM	10 nM to 1 µM	>=	10	uM	% inhibition	HAMI3379 concentration-dependently antagonized the LTC4-induced perfusion pressure increase and the negative effects of LTC4 on contractility | 10 nM to 1 µM	213
5	ARYUXFNGXHNNDM-UHFFFAOYSA-N	413	a duration, not a potency	GluMax 182 h	GluMax 182 h		182	h		Thallium flux assays	259
6	WSEQXVZVJXJVFP-FQEVSTJZSA-N	219	range reads high to low	89-3% residual activity	89-3% residual activity	>=	89	%	activity	Escitalopram significantly decreased cell viability in a dose-dependent manner (25, 50, 100 and 125 μM) | 89-3% residual activity	265
7	NXQKSXLFSAEQCZ-SFHVURJKSA-N	99	rate constant, not a potency	9900 ± 1800  M–1 s–1	9900 ± 1800  M–1 s–1	>=	9900	M-1s-1		Mass Spectroscopy (Kinact/Ki) | 9900 ± 1800  M–1 s–1	275
8	ZRPZPNYZFSJUPA-UHFFFAOYSA-N	99	rate constant, not a potency	1,100 ± 200 M−1 s−1	1100 ± 200 M−1 s−1		1100	M-1s-1		kobs/[I] determined by Biochemical Binding Assay | 1100 ± 200 M−1 s−1	358
9	XOQVZSSDIQQUGO-UHFFFAOYSA-N	171	scientific-notation factor not applied	kinact/KI = 43.45*10-2 per s/umol/L	kinact/KI = 43.45*10-2 per s/umol/L	=	43.45	M-1s-1		mass spectrometry	387
10	PTAMRJLIOCHJMQ-PYNGZGNASA-N	55	two numbers separated by '/'	98/100%	98/100%		98	%	Dmax	Degradation of BRD4 short/long in HeLa cells after 24 h treatment	444
11	WKDNQONLGXOZRG-HRNNMHKYSA-N	331	a duration, not a potency	9 h	9 h		9	h		binding assay, Bioacore	474
12	FYSWLIFIYIVHPI-DDWISSAJSA-N	55	range reads high to low	98-85%	98-85%	>=	98	%	Dmax	Protein degradation quantified by WB | 98-85%	566
13	KXBDTLQSDKGAEB-UHFFFAOYSA-N	363	scientific-notation factor not applied	7.69 x 10^4 per M per sec	7.69 x 10^4 per M per sec		7.69	M-1s-1		Biochemical Assay IC50 (app) < 0.5 nM	603
14	DFBDRVGWBHBJNR-BBNFHIFMSA-N	101	p-scale endpoint with a molar unit	9.86 (0.11 nM) ER downregulation; 9.55 (0.28 nM) PR antagonism; 10.4 (0.04 nM) anti-proliferation	9.86 (0.11 nM) ER downregulation		9.86	nM	pIC50	Measurement of Endogenous ERα and PR Levels in a Multiplexed Cell Assay, ERα Functional Antagonism Cell Assay cell proliferation assay | 9.86 (0.11 nM) ER downregulation	612
15	DFBDRVGWBHBJNR-BBNFHIFMSA-N	101	p-scale endpoint with a molar unit	9.86 (0.11 nM) ER downregulation; 9.55 (0.28 nM) PR antagonism; 10.4 (0.04 nM) anti-proliferation	9.55 (0.28 nM) PR antagonism		9.55	nM	pIC50	Measurement of Endogenous ERα and PR Levels in a Multiplexed Cell Assay, ERα Functional Antagonism Cell Assay cell proliferation assay | 9.55 (0.28 nM) PR antagonism	612
16	DFBDRVGWBHBJNR-BBNFHIFMSA-N	101	p-scale endpoint with a molar unit	9.86 (0.11 nM) ER downregulation; 9.55 (0.28 nM) PR antagonism; 10.4 (0.04 nM) anti-proliferation	10.4 (0.04 nM) anti-proliferation		10.4	nM	pIC50	Measurement of Endogenous ERα and PR Levels in a Multiplexed Cell Assay, ERα Functional Antagonism Cell Assay cell proliferation assay | 10.4 (0.04 nM) anti-proliferation	612
17	JBGYKRAZYDNCNV-UHFFFAOYSA-N	221	two numbers separated by '/'	18/36 nM Hi/Lo ATP	18/36 nM Hi/Lo ATP		18	nM		TR‐FRET‐based in vitro kinase assays	743
18	JBGYKRAZYDNCNV-UHFFFAOYSA-N	220	two numbers separated by '/'	5.2/44 Hi/Lo ATP	5.2/44 Hi/Lo ATP		5.2			TR‐FRET‐based in vitro kinase assays	743
19	XFBJUMZGUOUWSC-UHFFFAOYSA-N	11	rate constant, not a potency	kinact 0.052 min–1	kinact 0.052 min–1	>=	0.052	min-1		Binding kinetics assay | kinact 0.052 min–1	783
20	FUEYCNUHTBZPRF-SVBPBHIXSA-N	116	scientific-notation factor not applied	Kinact/Ki 6.83 ± 0.25 × 10*6 S-1 M-1	Kinact/Ki 6.83 ± 0.25 × 10*6 S-1 M-1		6.83	M-1s-1		Kinetic binding assay | Kinact/Ki 6.83 ± 0.25 × 10*6 S-1 M-1	785
21	ZPCGODCPRDIFRQ-UHFFFAOYSA-N	555	implausible molar value	16 M	16 M		16	M	EC50	Concentration dependent nuclear translocation of CRTC3 in U2OS cells	820
22	LTNDTFYBIKTRBQ-UHFFFAOYSA-N	276	rate constant, not a potency	kinact/KI 38,200 M–1·s–1	kinact/KI 38200 M–1·s–1	>=	38200	M-1s-1		Binding kinetics assay | kinact/KI 38200 M–1·s–1	828
23	LTNDTFYBIKTRBQ-UHFFFAOYSA-N	323	rate constant, not a potency	kinact/KI 70,100 M–1·s–1	kinact/KI 70100 M–1·s–1	>=	70100	M-1s-1		Binding kinetics assay | kinact/KI 70100 M–1·s–1	828
