target_id	type	name
1	protein	SGK1
2	protein	MEN1
3	protein	CBX4
4	protein	CDC7
5	protein	PIK3CD
6	protein	POLRMT
7	protein	PLK4
8	protein	PSMD14
9	protein	FAAH
10	protein	PIR
11	protein	CES2
12	protein	ACACB
13	protein	CIT
14	protein	ADAM10
15	protein	PTGES
16	protein	MAP2K7
17	protein	PRMT5
18	protein	CHEK1
19	protein	FFAR1
20	protein	IKBKB
21	protein	CASK
22	protein	PLD2
23	protein	AURKA
24	protein	GAK
25	protein	KDM6B
26	protein	DCLK1
27	protein	NPC1
28	protein	TRIM24
29	protein	OGT
30	protein	PPM1D
31	protein	HDAC3
32	protein	BCAT2
33	protein	SLC16A3
34	protein	PDPK1
35	protein	KDM6A
36	protein	FFAR2
37	protein	KCNN4
38	protein	PHGDH
39	protein	GPR39
40	protein	MAP3K7
41	protein	RIPK2
42	protein	KCNQ2
43	protein	HCRTR1
44	protein	HCRTR2
45	protein	BUB1
46	protein	CYTH3
47	protein	PRKN
48	protein	NUAK1
49	protein	KDM1A
50	protein	OGA
51	protein	NMT2
52	protein	JAK2
53	protein	PRMT3
54	protein	HCN1
55	protein	BRD4
56	protein	CTSV
57	protein	ROCK2
58	protein	KDM4A
59	protein	NDUFS2
60	protein	ULK1
61	protein	POLQ
62	protein	ERN1
63	protein	EED
64	protein	CRCP
65	protein	SNRNP200
66	protein	STK16
67	protein	TRPA1
68	protein	IDH1
69	protein	DGAT1
70	protein	PAK3
71	protein	CDKL5
72	protein	PDE9A
73	protein	STK17B
74	protein	USP1
75	protein	CDK14
76	protein	GLS
77	protein	KDM4B
78	protein	KCNK2
79	protein	KAT7
80	protein	TNKS
81	protein	VNN1
82	protein	BRD1
83	protein	WIZ
84	protein	LATS1
85	protein	NUDT14
86	protein	CBX7
87	protein	PAK4
88	protein	CHEK2
89	protein	NSD2
90	protein	LDHA
91	protein	ALDH1A1
92	protein	ABL1
93	protein	EGFR
94	protein	CFB
95	protein	REN
96	protein	CA2
97	protein	NRAS
98	protein	HRAS
99	protein	KRAS
100	protein	TGFB1
101	protein	ESR1
102	protein	F11
103	protein	HMGCR
104	protein	NR3C1
105	protein	ERBB2
106	protein	NTRK1
107	protein	INSR
108	protein	LCK
109	protein	FYN
110	protein	CDK1
111	protein	ATP5F1B
112	protein	LDHB
113	protein	CSF1R
114	protein	TUBB
115	protein	ADRB2
116	protein	CTSL
117	protein	HSP90AA1
118	protein	YES1
119	protein	LYN
120	protein	RET
121	protein	IGF1R
122	protein	CHRM2
123	protein	CHRM4
124	protein	NR3C2
125	protein	HSP90AB1
126	protein	ELANE
127	protein	MET
128	protein	F7
129	protein	ROS1
130	protein	PDGFRB
131	protein	PARP1
132	protein	UCHL1
133	protein	LTA4H
134	protein	AR
135	protein	BCL2
136	protein	MAPT
137	protein	KIT
138	protein	SLC2A1
139	protein	CHRM1
140	protein	PIM1
141	protein	FGFR1
142	protein	MTHFD1
143	protein	CETP
144	protein	CDK4
145	protein	SRC
146	protein	CFTR
147	protein	MTHFD2
148	protein	MIF
149	protein	INSRR
150	protein	IDO1
151	protein	BRAF
152	protein	GSPT1
153	protein	PDGFRA
154	protein	PTPN2
155	protein	FLT1
156	protein	PTPN1
157	protein	ADRA2B
158	protein	CYP11B2
159	protein	SLC9A1
160	protein	CSNK2A2
161	protein	RXRA
162	protein	ALOX5AP
163	protein	CHRM3
164	protein	ITGAL
165	protein	TACR2
166	protein	S1PR1
167	protein	CNR1
168	protein	NT5E
169	protein	TAF1
170	protein	C5AR1
171	protein	FGFR2
172	protein	ERBB3
173	protein	DRD4
174	protein	UBA1
175	protein	ENPP1
176	protein	FGFR4
177	protein	FGFR3
178	protein	LHCGR
179	protein	PTGS1
180	protein	JAK1
181	protein	DGKA
182	protein	CMA1
183	protein	EDNRB
184	protein	CDK2
185	protein	FPR2
186	protein	GRK2
187	protein	ADRA1D
188	protein	EDNRA
189	protein	TACR1
190	protein	PTAFR
191	protein	F2R
192	protein	BRD2
193	protein	CTSS
194	protein	NPY1R
195	protein	DNMT1
196	protein	MAPK3
197	protein	PSMB9
198	protein	HTR1D
199	protein	HTR2A
200	protein	HTR2C
201	protein	TEAD1
202	protein	MAPK1
203	protein	RXRB
204	protein	GRN
205	protein	HSD11B1
206	protein	ADORA2A
207	protein	ADORA2B
208	protein	TACR3
209	protein	TYK2
210	protein	WEE1
211	protein	NMT1
212	protein	AVPR2
213	protein	AXL
214	protein	OXTR
215	protein	GNRHR
216	protein	MAT2A
217	protein	SLC5A2
218	protein	GABRA5
219	protein	SLC6A4
220	protein	AKT1
221	protein	AKT2
222	protein	ATIC
223	protein	CCKBR
224	protein	MC4R
225	protein	CCR1
226	protein	BRS3
227	protein	SSTR3
228	protein	TTK
229	protein	EPHX2
230	protein	HTR7
231	protein	PTGER4
232	protein	DRD3
233	protein	GCK
234	protein	TIE1
235	protein	FLT4
236	protein	KDR
237	protein	MAP2K2
238	protein	CHRNA7
239	protein	NUDT1
240	protein	FLT3
241	protein	ACVR1B
242	protein	TGFBR1
243	protein	GPX4
244	protein	ACVRL1
245	protein	SCNN1A
246	protein	AVPR1A
247	protein	SNCA
248	protein	FEN1
249	protein	MMP12
250	protein	VHL
251	protein	STAT3
252	protein	OPRD1
253	protein	OPRK1
254	protein	OPRL1
255	protein	BCL6
256	protein	ADCYAP1R1
257	protein	GRM5
