target_id	source_db	property	ordinal	value
1	Chemical Probes Portal	class	0	Kinase
1	Chemical Probes Portal	subClass	0	AGC
2	Chemical Probes Portal	class	0	Epigenetic
2	Chemical Probes Portal	subClass	0	Scaffold Protein
3	Chemical Probes Portal	class	0	Epigenetic
3	Chemical Probes Portal	subClass	0	Methyl-lysine reader
4	Chemical Probes Portal	class	0	Kinase
4	Chemical Probes Portal	subClass	0	Ser/Thr Kinase
5	Chemical Probes Portal	class	0	Lipid kinase
5	Chemical Probes Portal	class	1	Kinase
5	Chemical Probes Portal	subClass	0	Class I
5	Chemical Probes Portal	subClass	1	PI3/PI4
5	Chemical Probes Portal	subClass	2	PI3/PI4 family
5	Chemical Probes Portal	subClass	3	PI3/PI4-kinase
6	Chemical Probes Portal	class	0	Enzyme
6	Chemical Probes Portal	subClass	0	RNA Polymerase
7	Chemical Probes Portal	class	0	Protein kinase
7	Chemical Probes Portal	class	1	Kinase
7	Chemical Probes Portal	subClass	0	Other
7	Chemical Probes Portal	subClass	1	Ser/Thr kinase
7	Chemical Probes Portal	subClass	2	Ser/Thr Kinase
8	Chemical Probes Portal	class	0	Enzyme
8	Chemical Probes Portal	subClass	0	Peptidase
9	Chemical Probes Portal	class	0	Lipid metabolism
9	Chemical Probes Portal	class	1	Enzyme
9	Chemical Probes Portal	subClass	0	Serine Hydrolase
9	Chemical Probes Portal	subClass	1	Amidase
10	Chemical Probes Portal	class	0	Other
10	Chemical Probes Portal	subClass	0	Cupin
11	Chemical Probes Portal	class	0	Enzyme
11	Chemical Probes Portal	subClass	0	carboxylesterase/lipase
12	Chemical Probes Portal	class	0	Enzyme
13	Chemical Probes Portal	class	0	Kinase
13	Chemical Probes Portal	subClass	0	AGC
14	Chemical Probes Portal	class	0	Other
14	Chemical Probes Portal	subClass	0	ADAM family
15	Chemical Probes Portal	class	0	Enzyme
15	Chemical Probes Portal	subClass	0	Synthase
16	Chemical Probes Portal	class	0	Kinase
16	Chemical Probes Portal	subClass	0	STE
17	Chemical Probes Portal	class	0	Epigenetic
17	Chemical Probes Portal	subClass	0	Methyltransferase
17	Chemical Probes Portal	subClass	1	Protein methyltransferase
18	Chemical Probes Portal	class	0	Protein kinase
18	Chemical Probes Portal	class	1	Kinase
18	Chemical Probes Portal	subClass	0	CAMK
19	Chemical Probes Portal	class	0	GPCR
19	Chemical Probes Portal	subClass	0	Free fatty acid receptor
19	Chemical Probes Portal	subClass	1	Free fatty acid receptors
20	Chemical Probes Portal	class	0	Kinase
20	Chemical Probes Portal	subClass	0	Serine kinase
20	Chemical Probes Portal	subClass	1	Ser/Thr Kinase
21	Chemical Probes Portal	class	0	Kinase
21	Chemical Probes Portal	subClass	0	CAMK
22	Chemical Probes Portal	class	0	Enzyme
22	Chemical Probes Portal	subClass	0	Phospholipase
23	Chemical Probes Portal	class	0	Kinase
23	Chemical Probes Portal	subClass	0	Ser/Thr kinase
23	Chemical Probes Portal	subClass	1	Ser/Thr Kinase
23	Chemical Probes Portal	subClass	2	cell cycle-regulated kinase
24	Chemical Probes Portal	class	0	Kinase
24	Chemical Probes Portal	subClass	0	Ser/Thr Kinase
25	Chemical Probes Portal	class	0	Epigenetic
25	Chemical Probes Portal	subClass	0	Lysine demethylase
26	Chemical Probes Portal	class	0	Kinase
26	Chemical Probes Portal	subClass	0	CAMK
27	Chemical Probes Portal	class	0	Other
27	Chemical Probes Portal	subClass	0	Intracellular Cholesterol Transporter
28	Chemical Probes Portal	class	0	Epigenetic
28	Chemical Probes Portal	subClass	0	Tripartite Motif Family
29	Chemical Probes Portal	class	0	Enzyme
29	Chemical Probes Portal	subClass	0	Glycosyltransferase
30	Chemical Probes Portal	class	0	Enzyme
30	Chemical Probes Portal	subClass	0	Phosphatase
31	Chemical Probes Portal	class	0	Epigenetic
31	Chemical Probes Portal	subClass	0	HDAC
31	Chemical Probes Portal	subClass	1	Histone deacetylase
32	Chemical Probes Portal	class	0	Enzyme
32	Chemical Probes Portal	subClass	0	Amino acid transaminase
33	Chemical Probes Portal	class	0	Transporter
33	Chemical Probes Portal	subClass	0	Monocarboxylate transporter
34	Chemical Probes Portal	class	0	Kinase
34	Chemical Probes Portal	subClass	0	AGC
35	Chemical Probes Portal	class	0	Epigenetic
35	Chemical Probes Portal	subClass	0	Lysine demethylase
36	Chemical Probes Portal	class	0	GPCR
36	Chemical Probes Portal	subClass	0	Free fatty acid receptor
37	Chemical Probes Portal	class	0	Ion Channel
37	Chemical Probes Portal	subClass	0	Potassium channel
38	Chemical Probes Portal	class	0	Enzyme
38	Chemical Probes Portal	subClass	0	Dehydrogenase
39	Chemical Probes Portal	class	0	GPCR
40	Chemical Probes Portal	class	0	Kinase
40	Chemical Probes Portal	subClass	0	TKL
41	Chemical Probes Portal	class	0	Kinase
41	Chemical Probes Portal	subClass	0	TKL
42	Chemical Probes Portal	class	0	Ion Channel
42	Chemical Probes Portal	subClass	0	Potassium Channel
43	Chemical Probes Portal	class	0	GPCR
43	Chemical Probes Portal	subClass	0	Orexin/Hypocretin receptor
44	Chemical Probes Portal	class	0	GPCR
44	Chemical Probes Portal	subClass	0	Orexin Receptor
44	Chemical Probes Portal	subClass	1	Orexin receptor
44	Chemical Probes Portal	subClass	2	Orexin 2 receptor
45	Chemical Probes Portal	class	0	Kinase
45	Chemical Probes Portal	subClass	0	Ser/Thr Protein Kinase
46	Chemical Probes Portal	class	0	Cytohesin
47	Chemical Probes Portal	class	0	Ubiquitin-protein ligase
47	Chemical Probes Portal	subClass	0	Parkinson disease protein
48	Chemical Probes Portal	class	0	Kinase
48	Chemical Probes Portal	subClass	0	CAMK
49	Chemical Probes Portal	class	0	Epigenetic
50	Chemical Probes Portal	class	0	Enzyme
50	Chemical Probes Portal	subClass	0	Hydrolase
51	Chemical Probes Portal	class	0	Other post-translational modification
51	Chemical Probes Portal	subClass	0	Acyltransferase
52	Chemical Probes Portal	class	0	Protein kinase
52	Chemical Probes Portal	class	1	Kinase
52	Chemical Probes Portal	subClass	0	TK
52	Chemical Probes Portal	subClass	1	Tyrosine kinase
53	Chemical Probes Portal	class	0	Epigenetic
53	Chemical Probes Portal	subClass	0	Protein methyltransferase
53	Chemical Probes Portal	subClass	1	Methyltransferase
54	Chemical Probes Portal	class	0	Ion Channel
54	Chemical Probes Portal	subClass	0	Potassium/Sodium Channel
55	Chemical Probes Portal	class	0	Epigenetic
55	Chemical Probes Portal	subClass	0	Bromodomain
56	Chemical Probes Portal	class	0	Protein metabolism
56	Chemical Probes Portal	subClass	0	Protease
57	Chemical Probes Portal	class	0	Kinase
57	Chemical Probes Portal	subClass	0	AGC
58	Chemical Probes Portal	class	0	Epigenetic
58	Chemical Probes Portal	subClass	0	Histone demethylase
59	Chemical Probes Portal	class	0	Enzyme
59	Chemical Probes Portal	subClass	0	Dehydrogenase
60	Chemical Probes Portal	class	0	Kinase
60	Chemical Probes Portal	subClass	0	Autophagy Activating Kinases
61	Chemical Probes Portal	class	0	Enzyme
61	Chemical Probes Portal	subClass	0	DNA Polymerase
62	Chemical Probes Portal	class	0	Kinase
62	Chemical Probes Portal	subClass	0	Ser/Thr Kinase
63	Chemical Probes Portal	class	0	Epigenetic
63	Chemical Probes Portal	subClass	0	Polycomb family
64	Chemical Probes Portal	class	0	CGRP-receptor component protein
65	Chemical Probes Portal	class	0	Enzyme
65	Chemical Probes Portal	subClass	0	Helicase
66	Chemical Probes Portal	class	0	Kinase
66	Chemical Probes Portal	subClass	0	Ser/Thr Kinase
67	Chemical Probes Portal	class	0	Transient Receptor
67	Chemical Probes Portal	class	1	Ion Channel
67	Chemical Probes Portal	subClass	0	Transient receptor, TRPV subfamily
68	Chemical Probes Portal	class	0	Enzyme
68	Chemical Probes Portal	class	1	Kinase
68	Chemical Probes Portal	subClass	0	Dehydrogenase
69	Chemical Probes Portal	class	0	Other
69	Chemical Probes Portal	class	1	Enzyme
69	Chemical Probes Portal	subClass	0	Diacylglycerol O-acyltransferase
69	Chemical Probes Portal	subClass	1	Acyltransferase
70	Chemical Probes Portal	class	0	Protein kinase
70	Chemical Probes Portal	subClass	0	STE
71	Chemical Probes Portal	class	0	Kinase
71	Chemical Probes Portal	subClass	0	CMGC
72	Chemical Probes Portal	class	0	Nucleic acid metabolism
72	Chemical Probes Portal	subClass	0	Phosphodiesterase
73	Chemical Probes Portal	class	0	Kinase
73	Chemical Probes Portal	subClass	0	CAMK
74	Chemical Probes Portal	class	0	Other post-translational modification
74	Chemical Probes Portal	subClass	0	Deubiquitinase
75	Chemical Probes Portal	class	0	Kinase
75	Chemical Probes Portal	subClass	0	CMGC
76	Chemical Probes Portal	class	0	Enzyme
76	Chemical Probes Portal	subClass	0	Glutaminase
77	Chemical Probes Portal	class	0	Epigenetic
77	Chemical Probes Portal	subClass	0	Histone demethylase
78	Chemical Probes Portal	class	0	Ion Channel
78	Chemical Probes Portal	subClass	0	Potassium Channel
79	Chemical Probes Portal	class	0	Epigenetic
79	Chemical Probes Portal	subClass	0	Histone Acetyltransferase
80	Chemical Probes Portal	class	0	Other post-translational modification
80	Chemical Probes Portal	subClass	0	PARP
81	Chemical Probes Portal	class	0	Vanin
81	Chemical Probes Portal	subClass	0	Biotinidase
