target_id	uniprot_id
1	O00141
2	O00255
3	O00257
4	O00311
5	O00329
6	O00411
7	O00444
8	O00487
9	O00519
10	O00625
11	O00748
12	O00763
13	O14578
14	O14672
15	O14684
16	O14733
17	O14744
18	O14757
19	O14842
20	O14920
21	O14936
22	O14939
23	O14965
24	O14976
25	O15054
26	O15075
27	O15118
28	O15164
29	O15294
30	O15297
31	O15379
32	O15382
33	O15427
34	O15530
35	O15550
36	O15552
37	O15554
38	O43175
39	O43194
40	O43318
41	O43353
42	O43526
43	O43613
44	O43614
45	O43683
46	O43739
47	O60260
48	O60285
49	O60341
50	O60502
51	O60551
52	O60674
53	O60678
54	O60741
55	O60885
56	O60911
57	O75116
58	O75164
59	O75306
60	O75385
61	O75417
62	O75460
63	O75530
64	O75575
65	O75643
66	O75716
67	O75762
68	O75874
69	O75907
70	O75914
71	O76039
72	O76083
73	O94768
74	O94782
75	O94921
76	O94925
77	O94953
78	O95069
79	O95251
80	O95271
81	O95497
82	O95696
83	O95785
84	O95835
85	O95848
86	O95931
87	O96013
88	O96017
89	O96028
90	P00338
91	P00352
92	P00519
93	P00533
94	P00751
95	P00797
96	P00918
97	P01111
98	P01112
99	P01116
100	P01137
101	P03372
102	P03951
103	P04035
104	P04150
105	P04626
106	P04629
107	P06213
108	P06239
109	P06241
110	P06493
111	P06576
112	P07195
113	P07333
114	P07437
115	P07550
116	P07711
117	P07900
118	P07947
119	P07948
120	P07949
121	P08069
122	P08172
123	P08173
124	P08235
125	P08238
126	P08246
127	P08581
128	P08709
129	P08922
130	P09619
131	P09874
132	P09936
133	P09960
134	P10275
135	P10415
136	P10636
137	P10721
138	P11166
139	P11229
140	P11309
141	P11362
142	P11586
143	P11597
144	P11802
145	P12931
146	P13569
147	P13995
148	P14174
149	P14616
150	P14902
151	P15056
152	P15170
153	P16234
154	P17706
155	P17948
156	P18031
157	P18089
158	P19099
159	P19634
160	P19784
161	P19793
162	P20292
163	P20309
164	P20701
165	P21452
166	P21453
167	P21554
168	P21589
169	P21675
