uniprot_id	entrez_gene	hgnc	species
O00141		SGK1	
O00255		MEN1	
O00257		CBX4	
O00311		CDC7	
O00329		PIK3CD	
O00411		POLRMT	
O00444		PLK4	
O00487		PSMD14	
O00519		FAAH	
O00625		PIR	
O00748		CES2	
O00763		ACACB	
O14578		CIT	
O14672		ADAM10	
O14684		PTGES	
O14733		MAP2K7	
O14744		PRMT5	
O14757		CHEK1	
O14842		FFAR1	
O14920		IKBKB	
O14936		CASK	
O14939		PLD2	
O14965		AURKA	
O14976		GAK	
O15054		KDM6B	
O15075		DCLK1	
O15118		NPC1	
O15164		TRIM24	
O15294		OGT	
O15297		PPM1D	
O15379		HDAC3	
O15382		BCAT2	
O15427		SLC16A3	
O15530		PDPK1	
O15550		KDM6A	
O15552		FFAR2	
O15554		KCNN4	
O43175		PHGDH	
O43194		GPR39	
O43318		MAP3K7	
O43353		RIPK2	
O43526		KCNQ2	
O43613		HCRTR1	
O43614		HCRTR2	
O43683		BUB1	
O43739		CYTH3	
O60260		PRKN	
O60285		NUAK1	
O60341		KDM1A	
O60502		OGA	
O60551		NMT2	
O60674		JAK2	
O60678		PRMT3	
O60741		HCN1	
O60885		BRD4	
O60911		CTSV	
O75116		ROCK2	
O75164		KDM4A	
O75306		NDUFS2	
O75385		ULK1	
O75417		POLQ	
O75460		ERN1	
O75530		EED	
O75575		CRCP	
O75643		SNRNP200	
O75716		STK16	
O75762		TRPA1	
O75874		IDH1	
O75907		DGAT1	
O75914		PAK3	
O76039		CDKL5	
O76083		PDE9A	
O94768		STK17B	
O94782		USP1	
O94921		CDK14	
O94925		GLS	
O94953		KDM4B	
O95069		KCNK2	
O95251		KAT7	
O95271		TNKS	
O95497		VNN1	
O95696		BRD1	
O95785		WIZ	
O95835		LATS1	
O95848		NUDT14	
O95931		CBX7	
O96013		PAK4	
O96017		CHEK2	
O96028		NSD2	
P00338		LDHA	
P00352		ALDH1A1	
P00519		ABL1	
P00533		EGFR	
P00751		CFB	
P00797		REN	
P00918		CA2	
P01111		NRAS	
P01112		HRAS	
P01116		KRAS	
P01137		TGFB1	
P03372		ESR1	
P03951		F11	
P04035		HMGCR	
P04150		NR3C1	
P04626		ERBB2	
P04629		NTRK1	
P06213		INSR	
P06239		LCK	
P06241		FYN	
P06493		CDK1	
P06576		ATP5F1B	
P07195		LDHB	
P07333		CSF1R	
P07437		TUBB	
P07550		ADRB2	
P07711		CTSL	
P07900		HSP90AA1	
P07947		YES1	
P07948		LYN	
P07949		RET	
P08069		IGF1R	
P08172		CHRM2	
P08173		CHRM4	
P08235		NR3C2	
P08238		HSP90AB1	
P08246		ELANE	
P08581		MET	
P08709		F7	
P08922		ROS1	
P09619		PDGFRB	
P09874		PARP1	
P09936		UCHL1	
P09960		LTA4H	
P10275		AR	
P10415		BCL2	
P10636		MAPT	
P10721		KIT	
P11166		SLC2A1	
P11229		CHRM1	
P11309		PIM1	
P11362		FGFR1	
P11586		MTHFD1	
P11597		CETP	
P11802		CDK4	
P12931		SRC	
P13569		CFTR	
P13995		MTHFD2	
P14174		MIF	
P14616		INSRR	
P14902		IDO1	
P15056		BRAF	
P15170		GSPT1	
P16234		PDGFRA	
P17706		PTPN2	
P17948		FLT1	
P18031		PTPN1	
P18089		ADRA2B	
P19099		CYP11B2	
P19634		SLC9A1	
P19784		CSNK2A2	
P19793		RXRA	
P20292		ALOX5AP	
P20309		CHRM3	
P20701		ITGAL	
P21452		TACR2	
P21453		S1PR1	
P21554		CNR1	
P21589		NT5E	
P21675		TAF1	
P21730		C5AR1	
P21802		FGFR2	
P21860		ERBB3	
P21917		DRD4	
P22314		UBA1	
P22413		ENPP1	
P22455		FGFR4	
P22607		FGFR3	
P22888		LHCGR	
P23219		PTGS1	
P23458		JAK1	
P23743		DGKA	
P23946		CMA1	
P24530		EDNRB	
P24941		CDK2	
P25090		FPR2	
P25098		GRK2	
P25100		ADRA1D	
P25101		EDNRA	
P25103		TACR1	
P25105		PTAFR	
P25116		F2R	
P25440		BRD2	
P25774		CTSS	
P25929		NPY1R	
P26358		DNMT1	
P27361		MAPK3	
P28065		PSMB9	
P28221		HTR1D	
P28223		HTR2A	
P28335		HTR2C	
P28347		TEAD1	
P28482		MAPK1	
P28702		RXRB	
P28799		GRN	
P28845		HSD11B1	
P29274		ADORA2A	
P29275		ADORA2B	
P29371		TACR3	
P29597		TYK2	
P30291		WEE1	
P30419		NMT1	
P30518		AVPR2	
P30530		AXL	
P30559		OXTR	
P30968		GNRHR	
P31153		MAT2A	
P31639		SLC5A2	
P31644		GABRA5	
P31645		SLC6A4	
P31749		AKT1	
P31751		AKT2	
P31939		ATIC	
P32239		CCKBR	
P32245		MC4R	
P32246		CCR1	
P32247		BRS3	
P32745		SSTR3	
P33981		TTK	
P34913		EPHX2	
P34969		HTR7	
P35408		PTGER4	
P35462		DRD3	
P35557		GCK	
P35590		TIE1	
P35916		FLT4	
P35968		KDR	
P36507		MAP2K2	
P36544		CHRNA7	
P36639		NUDT1	
P36888		FLT3	
P36896		ACVR1B	
P36897		TGFBR1	
P36969		GPX4	
P37023		ACVRL1	
P37088		SCNN1A	
P37288		AVPR1A	
P37840		SNCA	
P39748		FEN1	
P39900		MMP12	
P40337		VHL	
P40763		STAT3	
P41143		OPRD1	
P41145		OPRK1	
P41146		OPRL1	
P41182		BCL6	
P41586		ADCYAP1R1	
P41594		GRM5	
P41595		HTR2B	
P42226		STAT6	
P42330		AKR1C3	
P42336		PIK3CA	
P42338		PIK3CB	
P42345		MTOR	
P42568		MLLT3	
P43003		SLC1A3	
P43004		SLC1A2	
P43088		PTGFR	
P43116		PTGER2	
P43119		PTGIR	
P43235		CTSK	
P43354		NR4A2	
P43405		SYK	
P43490		NAMPT	
P45452		MMP13	
P45983		MAPK8	
P45984		MAPK9	
P45985		MAP2K4	
P46092		CCR10	
P46663		BDKRB1	
P48039		MTNR1A	
P48426		PIP4K2A	
P48443		RXRG	
P48730		CSNK1D	
P48735		IDH2	
P48736		PIK3CG	
P48764		SLC9A3	
P49137		MAPKAPK2	
P49146		NPY2R	
P49286		MTNR1B	
P49327		FASN	
P49336		CDK8	
P49356		FNTB	
P49674		CSNK1E	
P49759		CLK1	
P49760		CLK2	
P49761		CLK3	
P49768		PSEN1	
P49770		EIF2B2	
P49840		GSK3A	
P49841		GSK3B	
P50053		KHK	
P50579		METAP2	
P50613		CDK7	
P50750		CDK9	
P51168		SCNN1B	
P51170		SCNN1G	
P51449		RORC	
P51531		SMARCA2	
P51532		SMARCA4	
P51617		IRAK1	
P51681		CCR5	
P51692		STAT5B	
P51787		KCNQ1	
P51788		CLCN2	
P51812		RPS6KA3	
P51813		BMX	
P51955		NEK2	
P52333		JAK3	
P52732		KIF11	
P53350		PLK1	
P53667		LIMK1	
P53671		LIMK2	
P53779		MAPK10	
P53985		SLC16A1	
P54687		BCAT1	
P54750		PDE1A	
P55055		NR1H2	
P55072		VCP	
P55201		BRPF1	
P56373		P2RX3	
P56817		BACE1	
P57059		SIK1	
P57789		KCNK10	
P58397		ADAMTS12	
P61619		SEC61A1	
P61964		WDR5	
P62942		FKBP1A	
P63267		ACTG2	
P68400		CSNK2A1	
P78356		PIP4K2B	
P78362		SRPK2	
P78527		PRKDC	
P80192		MAP3K9	
Q00534		CDK6	
Q00535		CDK5	
Q00536		CDK16	
Q00537		CDK17	
Q00987		MDM2	
Q01064		PDE1B	
Q01718		MC2R	
Q02127		DHODH	
Q02750		MAP2K1	
Q02763		TEK	
Q02779		MAP3K10	
Q03111		MLLT1	
Q03164		KMT2A	
Q03181		PPARD	
Q04771		ACVR1	
Q04912		MST1R	
Q05397		PTK2	
Q05469		LIPE	
Q06124		PTPN11	
Q06187		BTK	
Q06495		SLC34A1	
Q07002		CDK18	
Q07343		PDE4B	
Q07817		BCL2L1	
Q07820		MCL1	
Q07869		PPARA	
Q07889		SOS1	
Q07912		TNK2	
Q08211		DHX9	
Q08345		DDR1	
Q08881		ITK	
Q09428		ABCC8	
Q09472		EP300	
Q10469		MGAT2	
Q12830		BPTF	
Q12852		MAP3K12	
Q12866		MERTK	
Q12879		GRIN2A	
Q13085		ACACA	
Q13131		PRKAA1	
Q13133		NR1H3	
Q13153		PAK1	
Q13163		MAP2K5	
Q13164		MAPK7	
Q13177		PAK2	
Q13191		CBLB	
Q13315		ATM	
Q13393		PLD1	
Q13422		IKZF1	
Q13451		FKBP5	
Q13464		ROCK1	
Q13526		PIN1	
Q13535		ATR	
Q13546		RIPK1	
Q13547		HDAC1	
Q13574		DGKZ	
Q13627		DYRK1A	
Q13822		ENPP2	
