inchikey	portal_path	published_date	pains	toxicophore	cansar_id	rating_in_cell	rating_in_organism	rating_count	reference	source_id
YHHFKWKMXWRVTJ-OQKWZONESA-N	unsuitables/jib-04	2016-12-15	No	Yes	1354531	0	0	0		952
MOUNHKKCIGVIDI-UHFFFAOYSA-L	unsuitables/ami-1	2017-03-07	No	No	723373	0	0	0		953
XVBGRTMNFNMINE-UHFFFAOYSA-N	unsuitables/xmd17-109	2016-12-15	No	No	927800	0	0	0		954
OMKHWTRUYNAGFG-IEBDPFPHSA-N	unsuitables/dznep	2017-02-03	No	No	1117457	0	0	0		955
PZPPOCZWRGNKIR-PNVYSBBASA-N	unsuitables/chaetocin	2017-02-03	No	Yes	915616	0	0	0		956
ZWNKKZSRANLVEW-UHFFFAOYSA-N	unsuitables/epiblastin	2020-12-05	No	No	2922952	0	0	0	http://www.cell.com/cell-chemical-biology/abstract/S2451-9456(16)30085-X|http://www.cell.com/cell-reports/abstract/S2211-1247(16)30362-X?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112471630362X%3Fshowall%3Dtruehttp://www.cell.com/cell-reports/abstract/S2211-1247(16)30362-X?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112471630362X%3F|https://pubmed.ncbi.nlm.nih.gov/27049670|https://pubmed.ncbi.nlm.nih.gov/27149845	957
UXXQOJXBIDBUAC-UHFFFAOYSA-N	unsuitables/tandutinib	2016-12-09	No	No	848749	0	0	0		958
REFJWTPEDVJJIY-UHFFFAOYSA-N	unsuitables/quercetin	2016-12-09	Yes	Yes	1305802	0	0	0		959
PIMQWRZWLQKKBJ-SFHVURJKSA-N	unsuitables/dinaciclib	2016-12-09	No	No	256723	0	0	0		960
WMBWREPUVVBILR-WIYYLYMNSA-N	unsuitables/epigallocatechin-3-gallate-ecgc	2016-12-09	Yes	Yes	498738	0	0	0		961
