name	inchikey	smiles	resolved_from	lookup	resolved_title
ITACITINIB	KTBSXLIQKWEBRB-UHFFFAOYSA-N	C1CN(CCC1N2CC(C2)(CC#N)N3C=C(C=N3)C4=C5C=CNC5=NC=N4)C(=O)C6=C(C(=NC=C6)C(F)(F)F)F	PubChem	pubchem:name:ITACITINIB	Itacitinib
C3TD879	ODOJVROSIRINJT-LJQANCHMSA-N	CC1=CC2=C(C=CN=C2N1)C3=C(C=C(C=C3)NC(=O)[C@@H](CC(C)(C)C)N)C	PubChem	pubchem:name:C3TD879	(2R)-2-amino-4,4-dimethyl-N-[3-methyl-4-(2-methyl-1H-pyrrolo[2,3-b]pyridin-4-yl)phenyl]pentanamide
ART5537	BFMWIVWPPKENIN-AWEZNQCLSA-N	C[C@@H](C1=CC=CC=C1)N2CN(N3C=CC(=O)C(=C3C2=O)O)C4=NC=C(C5=C4C=NC=C5)Cl	PubChem	pubchem:name:ART5537	1-(4-chloro-2,7-naphthyridin-1-yl)-5-hydroxy-3-[(1S)-1-phenylethyl]-2H-pyrido[2,1-f][1,2,4]triazine-4,6-dione
BMS-986458	JALIPZPFONOAJA-ZKGBLMBJSA-N	C[C@@H]1CN(CC[C@H]1NC2=CC3=C(C=C2)C(=NN3C)C4CCC(=O)NC4=O)C5=NC=C(C(=N5)NC6=CC7=C(C=C6)N(C(=O)C7)C)Cl	PubChem	pubchem:name:BMS-986458	3-(6-(((3R,4R)-1-(5-chloro-4-((1-methyl-2-oxoindolin-5-yl)amino)pyrimidin-2-yl)-3-methylpiperidin-4-yl)amino)-1-methyl-1H-indazol-3-yl)piperidine-2,6-dione
BLU-654	MUYQEHKMQMHJNI-ZDUSSCGKSA-N	C[C@@H](C1=NC(=CC(=N1)NC2=NC=C(C(=C2)OC(C)C)C3=CN(N=C3)CC(C)(C)O)N)F	PubChem	pubchem:name:BLU-654	1-[4-[6-[[6-amino-2-[(1S)-1-fluoroethyl]pyrimidin-4-yl]amino]-4-propan-2-yloxy-3-pyridinyl]pyrazol-1-yl]-2-methylpropan-2-ol
CCT400028	ALNBIGSEWMWEGS-UHFFFAOYSA-N	COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)CC5=CC(=C(C=C5)C(=O)NCCCCCOCCCCCOC6=CC=C(C=C6)N7CCC(=O)NC7=O)OC	PubChem	pubchem:name:CCT400028	Aurora A degrader CCT400028
KT-253	CQFHGOWYJXQICA-FKDNKQOESA-N	CN1C2=C(C=CC(=C2)C3CCN(CC3)C(=O)C4CCC(CC4)NC(=O)[C@H]5[C@@H]([C@@]6(C7=C(C=C(C=C7)Cl)NC6=O)C8(N5)CCCCC8)C9=C(C(=CC=C9)Cl)F)N(C1=O)C1CCC(=O)NC1=O	PubChem	pubchem:name:KT-253	(3'R,4'S,5'R)-6''-chloro-4'-(3-chloro-2-fluorophenyl)-N-((1r,4R)-4-(4-(1-(2,6-dioxopiperidin-3-yl)-3-methyl-2-oxo-2,3-dihydro-1H-benzo[d]imidazol-5-yl)piperidine-1-carbonyl)cyclohexyl)-2''-oxodispiro[cyclohexane-1,2'-pyrrolidine-3',3''-indoline]-5'-carboxamide
S9-A13	DVGLTSTVSHOWJF-UHFFFAOYSA-N	CC1=C(C=C(C=C1)N2C3=C(C(CC(=O)N3)C(=O)C4=CC=C(S4)C)C(=N2)C)Cl	PubChem	pubchem:name:S9-A13	1-(3-chloro-4-methylphenyl)-3-methyl-4-(5-methylthiophene-2-carbonyl)-5,7-dihydro-4H-pyrazolo[5,4-b]pyridin-6-one
RPI-GLYT2-82	VDLHPYFVCAHCCZ-UHFFFAOYSA-N	CN(C)C1(CCOCC1)CNC(=O)C2=CC3=C(C=C2)N(CC3)C(=O)C4=CC=CC=C4	PubChem	pubchem:name:RPI-GLYT2-82	Rpi-glyt2-82
NUAK1-IN-2	YXYBHRORJSDZTQ-UHFFFAOYSA-N	CN1C2CC1CN(C2)C3=CC=C(C=C3)NC4=NC=C5C=CN(C5=N4)CC6CCOCC6	PubChem	pubchem:name:NUAK1-IN-2	Nuak1-IN-2
