inchikey	target_key	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_db	source	source_xref	xref_id
IQCKJUKAQJINMK-HUBRGWSESA-N	Q8TEK3	inhibitor			0.06	nM	binding	SPR; IC50 = 0.3 nM in enzymatic assay				Chemical Probes Portal	SGC0946	sgc0946	https://www.chemicalprobes.org/
IQCKJUKAQJINMK-HUBRGWSESA-N	Q8TEK3	inhibitor	IC50		8.8	nM	cell	in-cell western assay assessing methylation of protein substrate in MCF10A cells				Chemical Probes Portal	SGC0946	sgc0946	https://www.chemicalprobes.org/
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Q96LA8	inhibitor			0.01	uM	biochemical	Inhibition of 3H-SAM-dependent labeling of peptide substrate and quantification of 3H-labeled peptide.				Chemical Probes Portal	EPZ020411	epz020411	https://www.chemicalprobes.org/
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Q96LA8	inhibitor	IC50		0.0637	uM	cell	H3R2 methylation in PRMT6-overexpressing A375 cells.				Chemical Probes Portal	EPZ020411	epz020411	https://www.chemicalprobes.org/
WRUWGLUCNBMGPS-UHFFFAOYSA-N	Q9H8M2	antagonist			7.3		binding	TR-FRET, and BROMOscan profiling with N-methyl Kac mimetic: BRD9 pKD = 8.7.				Chemical Probes Portal	I-BRD9	i-brd9	https://www.chemicalprobes.org/
WRUWGLUCNBMGPS-UHFFFAOYSA-N	Q9H8M2	antagonist					cell	In HUT-78 cells, chemoproteomic competitive binding assays showed I-BRD9 was >625-fold selective for BRD9 over BRD3				Chemical Probes Portal	I-BRD9	i-brd9	https://www.chemicalprobes.org/
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	P51812	inhibitor			1	nM	biochemical					Chemical Probes Portal	BIX-02565	bix-02565	https://www.chemicalprobes.org/
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	P51812	inhibitor	IC50		20	nM	cell	Inhibition of substrate phosphorylation				Chemical Probes Portal	BIX-02565	bix-02565	https://www.chemicalprobes.org/
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	P43405	inhibitor			2.1	nM	biochemical	Radiometric assay; in a FRET-based assay, IC50 = 6 nM				Chemical Probes Portal	PRT062607	prt062607	https://www.chemicalprobes.org/
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	P43405	inhibitor	IC50	>=	0.16	uM	cell	Inhibition of protein substrate phosphorylation in B cells | 0.16-0.4 uM				Chemical Probes Portal	PRT062607	prt062607	https://www.chemicalprobes.org/
SCELLOWTHJGVIC-BGYRXZFFSA-N	Q13315	inhibitor			6.3	nM	biochemical					Chemical Probes Portal	KU-60019	ku-60019	https://www.chemicalprobes.org/
SCELLOWTHJGVIC-BGYRXZFFSA-N	Q13315	inhibitor					cell	Dose-dependent inhibition of protein substrate phosphorylation in U87 glioma cells				Chemical Probes Portal	KU-60019	ku-60019	https://www.chemicalprobes.org/
XCFLWTZSJYBCPF-UHFFFAOYSA-N	Q5S007	competitive inhibitor			1	nM	biochemical					Chemical Probes Portal	GNE7915	gne7915	https://www.chemicalprobes.org/
XCFLWTZSJYBCPF-UHFFFAOYSA-N	Q5S007	competitive inhibitor	IC50		9	nM	cell	Inhibition of autophosphorylation				Chemical Probes Portal	GNE7915	gne7915	https://www.chemicalprobes.org/
ZYVXTMKTGDARKR-UHFFFAOYSA-N	Q9Y463	inhibitor			17	nM	biochemical	in vitro radioactivity-based substrate phosphorylation assay				Chemical Probes Portal	AZ191	az191	https://www.chemicalprobes.org/
ZYVXTMKTGDARKR-UHFFFAOYSA-N	Q9Y463	inhibitor					cell	In cells, AZ191 dose-dependently inhibited DYRK1B > DYRK1A substrate phosphorylation.				Chemical Probes Portal	AZ191	az191	https://www.chemicalprobes.org/
XSMSNFMDVXXHGJ-UHFFFAOYSA-N	P43405	inhibitor			7.7	nM	biochemical	SYK enzymatic assay (Lance-based assay)				Chemical Probes Portal	Entospletinib	entospletinib	https://www.chemicalprobes.org/
XSMSNFMDVXXHGJ-UHFFFAOYSA-N	P43405	inhibitor	EC50		26	nM	cell	MSD assay detecting the substrate pBLNK				Chemical Probes Portal	Entospletinib	entospletinib	https://www.chemicalprobes.org/
ISOCDPQFIXDIMS-HSZRJFAPSA-N	O60674	inhibitor			2.2	nM	biochemical	Chemiluminescence activity based assay (ATP hydrolysis) | 2.2 nM JAK2				Chemical Probes Portal	XL019	xl019	https://www.chemicalprobes.org/
ISOCDPQFIXDIMS-HSZRJFAPSA-N	O60674	inhibitor			214	nM	biochemical	Chemiluminescence activity based assay (ATP hydrolysis) | 214 nM JAK3				Chemical Probes Portal	XL019	xl019	https://www.chemicalprobes.org/
ISOCDPQFIXDIMS-HSZRJFAPSA-N	O60674	inhibitor			134	nM	biochemical	Chemiluminescence activity based assay (ATP hydrolysis) | 134 nM JAK1				Chemical Probes Portal	XL019	xl019	https://www.chemicalprobes.org/
ISOCDPQFIXDIMS-HSZRJFAPSA-N	O60674	inhibitor	IC50		386.4	nM	cell	Immunoblotting detection of pSTAT1 and pSTAT3 | 386.4 nM pSTAT1				Chemical Probes Portal	XL019	xl019	https://www.chemicalprobes.org/
ISOCDPQFIXDIMS-HSZRJFAPSA-N	O60674	inhibitor	IC50		695	nM	cell	Immunoblotting detection of pSTAT1 and pSTAT3 | 695 nM pSTAT3				Chemical Probes Portal	XL019	xl019	https://www.chemicalprobes.org/
GZFYZYBWLCYBMI-MYZJJQSMSA-N	O15118	inhibitor	Ki		30	nM	cell	Cholesterol esterification and proteolytic cleavage of SREBP-2				Chemical Probes Portal	U18666A	u18666a	https://www.chemicalprobes.org/
HHKGVQGXRGQBBA-UHFFFAOYSA-N	Q02763	inhibitor			30	nM	biochemical	Homogenous time-resolved fluorescence assays detecting enzyme activity using peptide substrates.				Chemical Probes Portal	2-MT 63	2-mt-63	https://www.chemicalprobes.org/
HHKGVQGXRGQBBA-UHFFFAOYSA-N	Q02763	inhibitor	IC50		62	nM	cell	In EA.hy926 cells, the compound inhibited Ang-1-induces TIE2 autophosphorylation in a plate-based immunassay.				Chemical Probes Portal	2-MT 63	2-mt-63	https://www.chemicalprobes.org/
LTUGYAOMCKNTGG-UHFFFAOYSA-N	P55201	antagonist			0.08	uM	biochemical	Time-resolved fluorescence resonance energy transfer (TR-FRET) binding assay, pIC50=7.1.				Chemical Probes Portal	GSK-5959	gsk-5959	https://www.chemicalprobes.org/
LTUGYAOMCKNTGG-UHFFFAOYSA-N	P55201	antagonist	IC50		0.98	uM	cell	NanoBRET assay; pIC50=6.0				Chemical Probes Portal	GSK-5959	gsk-5959	https://www.chemicalprobes.org/
UOVSZRTTWLJPHE-HNXAPSNLSA-N	Q00987	antagonist			7	nM	biochemical	HTRF assay				Chemical Probes Portal	RO5353	ro5353	https://www.chemicalprobes.org/
UOVSZRTTWLJPHE-HNXAPSNLSA-N	Q00987	antagonist	IC50		0.007	uM	cell	Antiproliferative activity (MTT assay) averaged across multiple p53 wild-type cells (SJSA-1, HCT-116, RKO). RO5353 is 1023-fold selective for p53 wild type compared with p53 mutant cells.				Chemical Probes Portal	RO5353	ro5353	https://www.chemicalprobes.org/
CGCOPBXAGSCZNX-FNQJWKMRSA-N	Q00987	antagonist			6	nM	biochemical	HTRF assay.				Chemical Probes Portal	RO2468	ro2468	https://www.chemicalprobes.org/
