inchikey	source_db	property	ordinal	value
IQCKJUKAQJINMK-HUBRGWSESA-N	Chemical Probes Portal	rating_in_cell	0	3.75
IQCKJUKAQJINMK-HUBRGWSESA-N	Chemical Probes Portal	rating_in_organism	0	0
IQCKJUKAQJINMK-HUBRGWSESA-N	Chemical Probes Portal	rating_count	0	4
IQCKJUKAQJINMK-HUBRGWSESA-N	Chemical Probes Portal	unsuitable	0	No
IQCKJUKAQJINMK-HUBRGWSESA-N	Chemical Probes Portal	pains	0	No
IQCKJUKAQJINMK-HUBRGWSESA-N	Chemical Probes Portal	toxicophore	0	No
IQCKJUKAQJINMK-HUBRGWSESA-N	Chemical Probes Portal	published_date	0	2015-10-02
IQCKJUKAQJINMK-HUBRGWSESA-N	Chemical Probes Portal	canSAR_ID	0	828356
IQCKJUKAQJINMK-HUBRGWSESA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/sgc0946
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Chemical Probes Portal	rating_in_cell	0	2.6666666666666665
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Chemical Probes Portal	rating_in_organism	0	2.6666666666666665
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Chemical Probes Portal	rating_count	0	3
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Chemical Probes Portal	unsuitable	0	No
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Chemical Probes Portal	pains	0	No
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Chemical Probes Portal	toxicophore	0	No
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Chemical Probes Portal	published_date	0	2015-11-05
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Chemical Probes Portal	canSAR_ID	0	469025
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/epz020411
WRUWGLUCNBMGPS-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	3
WRUWGLUCNBMGPS-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
WRUWGLUCNBMGPS-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	3
WRUWGLUCNBMGPS-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	No
WRUWGLUCNBMGPS-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	No
WRUWGLUCNBMGPS-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	No
WRUWGLUCNBMGPS-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2016-07-29
WRUWGLUCNBMGPS-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	541825
WRUWGLUCNBMGPS-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/i-brd9
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	Chemical Probes Portal	rating_in_cell	0	3
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	Chemical Probes Portal	rating_in_organism	0	2
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	Chemical Probes Portal	rating_count	0	2
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	Chemical Probes Portal	unsuitable	0	No
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	Chemical Probes Portal	pains	0	No
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	Chemical Probes Portal	toxicophore	0	No
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	Chemical Probes Portal	published_date	0	2021-02-02
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	Chemical Probes Portal	canSAR_ID	0	592803
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/bix-02565
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	Chemical Probes Portal	rating_in_cell	0	3.6666666666666665
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	Chemical Probes Portal	rating_in_organism	0	3.6666666666666665
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	Chemical Probes Portal	rating_count	0	3
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	Chemical Probes Portal	unsuitable	0	No
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	Chemical Probes Portal	pains	0	No
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	Chemical Probes Portal	toxicophore	0	No
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	Chemical Probes Portal	published_date	0	2015-12-10
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	Chemical Probes Portal	canSAR_ID	0	267014
