inchikey	target_key	reason	raw	fragment	relation	value	unit	bioactivity_type	assay_description	source_db	source
TXEBNKKOLVBTFK-UHFFFAOYSA-N	P22455	scientific-notation factor not applied	0.6 X 10^5/(mol/L) s	0.6 X 10^5/(mol/L) s		0.6	M-1s-1		Omnia assay technology (Life Technologies); Incubation of recombinant FGFR4 with BLU9931 led to covalent modification of the receptor at Cys552, confirmed by mass shift and proteomics. In enzyme activity assays FGFR4 IC50=3 nM.	Chemical Probes Portal	BLU9931
LXRZVMYMQHNYJB-UNXOBOICSA-N	Q9UBE0	a duration, not a potency	15 nM; (32 - 46 nM, 0 - 8 h)	0 - 8 h)	>=	0	h	IC50	SUMO2/3 immunofluorescent Assay assessing the ratio of SUMO2/3 in the nuclear versus cytoplasm (treatment is followed by immediate washout and readings at 0 and 8 h) | 0 - 8 h)	Chemical Probes Portal	TAK-981
LXRZVMYMQHNYJB-UNXOBOICSA-N	Q9UBT2	a duration, not a potency	15 nM; (32 - 46 nM, 0 - 8 h)	0 - 8 h)	>=	0	h	IC50	SUMO2/3 immunofluorescent Assay assessing the ration of SUMO2/3 in the nuclear versus cytoplasm (treatment is followed by immediate washout and readings at 0 and 8 h) | 0 - 8 h)	Chemical Probes Portal	TAK-981
HRJWSEPIRZRGCL-UHFFFAOYSA-N	Q9NS75	range reads high to low	10 nM to 1 µM	10 nM to 1 µM	>=	10	uM	% inhibition	HAMI3379 concentration-dependently antagonized the LTC4-induced perfusion pressure increase and the negative effects of LTC4 on contractility | 10 nM to 1 µM	Chemical Probes Portal	DOI:10.1111/j.1476-5381.2010.00730.x
ARYUXFNGXHNNDM-UHFFFAOYSA-N	Q14833	a duration, not a potency	GluMax 182 h	GluMax 182 h		182	h		Thallium flux assays	Chemical Probes Portal	DOI:10.1021/jm9005065
WSEQXVZVJXJVFP-FQEVSTJZSA-N	P31645	range reads high to low	89-3% residual activity	89-3% residual activity	>=	89	%	activity	Escitalopram significantly decreased cell viability in a dose-dependent manner (25, 50, 100 and 125 μM) | 89-3% residual activity	Chemical Probes Portal	ESCITALOPRAM
NXQKSXLFSAEQCZ-SFHVURJKSA-N	P01116	rate constant, not a potency	9900 ± 1800  M–1 s–1	9900 ± 1800  M–1 s–1	>=	9900	M-1s-1		Mass Spectroscopy (Kinact/Ki) | 9900 ± 1800  M–1 s–1	Chemical Probes Portal	AMG-510
ZRPZPNYZFSJUPA-UHFFFAOYSA-N	P01116	rate constant, not a potency	1,100 ± 200 M−1 s−1	1100 ± 200 M−1 s−1		1100	M-1s-1		kobs/[I] determined by Biochemical Binding Assay | 1100 ± 200 M−1 s−1	Chemical Probes Portal	ARS-1620
XOQVZSSDIQQUGO-UHFFFAOYSA-N	P21802	scientific-notation factor not applied	kinact/KI = 43.45*10-2 per s/umol/L	kinact/KI = 43.45*10-2 per s/umol/L	=	43.45	M-1s-1		mass spectrometry	Chemical Probes Portal	DOI:10.1158/2159-8290.CD-23-0475
PTAMRJLIOCHJMQ-PYNGZGNASA-N	O60885	two numbers separated by '/'	98/100%	98/100%		98	%	Dmax	Degradation of BRD4 short/long in HeLa cells after 24 h treatment	Chemical Probes Portal	MZ1
WKDNQONLGXOZRG-HRNNMHKYSA-N	P56817	a duration, not a potency	9 h	9 h		9	h		binding assay, Bioacore	Chemical Probes Portal	DOI:10.3233/JAD-150834
FYSWLIFIYIVHPI-DDWISSAJSA-N	O60885	range reads high to low	98-85%	98-85%	>=	98	%	Dmax	Protein degradation quantified by WB | 98-85%	Chemical Probes Portal	MZP-54
KXBDTLQSDKGAEB-UHFFFAOYSA-N	Q06187	scientific-notation factor not applied	7.69 x 10^4 per M per sec	7.69 x 10^4 per M per sec		7.69	M-1s-1		Biochemical Assay IC50 (app) < 0.5 nM	Chemical Probes Portal	AVL-292
DFBDRVGWBHBJNR-BBNFHIFMSA-N	P03372	p-scale endpoint with a molar unit	9.86 (0.11 nM) ER downregulation; 9.55 (0.28 nM) PR antagonism; 10.4 (0.04 nM) anti-proliferation	9.86 (0.11 nM) ER downregulation		9.86	nM	pIC50	Measurement of Endogenous ERα and PR Levels in a Multiplexed Cell Assay, ERα Functional Antagonism Cell Assay cell proliferation assay | 9.86 (0.11 nM) ER downregulation	Chemical Probes Portal	AZD9496
DFBDRVGWBHBJNR-BBNFHIFMSA-N	P03372	p-scale endpoint with a molar unit	9.86 (0.11 nM) ER downregulation; 9.55 (0.28 nM) PR antagonism; 10.4 (0.04 nM) anti-proliferation	9.55 (0.28 nM) PR antagonism		9.55	nM	pIC50	Measurement of Endogenous ERα and PR Levels in a Multiplexed Cell Assay, ERα Functional Antagonism Cell Assay cell proliferation assay | 9.55 (0.28 nM) PR antagonism	Chemical Probes Portal	AZD9496
DFBDRVGWBHBJNR-BBNFHIFMSA-N	P03372	p-scale endpoint with a molar unit	9.86 (0.11 nM) ER downregulation; 9.55 (0.28 nM) PR antagonism; 10.4 (0.04 nM) anti-proliferation	10.4 (0.04 nM) anti-proliferation		10.4	nM	pIC50	Measurement of Endogenous ERα and PR Levels in a Multiplexed Cell Assay, ERα Functional Antagonism Cell Assay cell proliferation assay | 10.4 (0.04 nM) anti-proliferation	Chemical Probes Portal	AZD9496
JBGYKRAZYDNCNV-UHFFFAOYSA-N	P31751	two numbers separated by '/'	18/36 nM Hi/Lo ATP	18/36 nM Hi/Lo ATP		18	nM		TR‐FRET‐based in vitro kinase assays	Chemical Probes Portal	BAY1125976
JBGYKRAZYDNCNV-UHFFFAOYSA-N	P31749	two numbers separated by '/'	5.2/44 Hi/Lo ATP	5.2/44 Hi/Lo ATP		5.2			TR‐FRET‐based in vitro kinase assays	Chemical Probes Portal	BAY1125976
XFBJUMZGUOUWSC-UHFFFAOYSA-N	O00748	rate constant, not a potency	kinact 0.052 min–1	kinact 0.052 min–1	>=	0.052	min-1		Binding kinetics assay | kinact 0.052 min–1	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.5c00563
FUEYCNUHTBZPRF-SVBPBHIXSA-N	P07711	scientific-notation factor not applied	Kinact/Ki 6.83 ± 0.25 × 10*6 S-1 M-1	Kinact/Ki 6.83 ± 0.25 × 10*6 S-1 M-1		6.83	M-1s-1		Kinetic binding assay | Kinact/Ki 6.83 ± 0.25 × 10*6 S-1 M-1	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.4c00656
ZPCGODCPRDIFRQ-UHFFFAOYSA-N	Q9H0K1	implausible molar value	16 M	16 M		16	M	EC50	Concentration dependent nuclear translocation of CRTC3 in U2OS cells	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.5c01401
LTNDTFYBIKTRBQ-UHFFFAOYSA-N	P45984	rate constant, not a potency	kinact/KI 38,200 M–1·s–1	kinact/KI 38200 M–1·s–1	>=	38200	M-1s-1		Binding kinetics assay | kinact/KI 38200 M–1·s–1	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.5c00884
LTNDTFYBIKTRBQ-UHFFFAOYSA-N	P53779	rate constant, not a potency	kinact/KI 70,100 M–1·s–1	kinact/KI 70100 M–1·s–1	>=	70100	M-1s-1		Binding kinetics assay | kinact/KI 70100 M–1·s–1	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.5c00884
