inchikey	portal_path	published_date	pains	toxicophore	cansar_id	rating_in_cell	rating_in_organism	rating_count	reference	source_db	source	xref_id
YHHFKWKMXWRVTJ-OQKWZONESA-N	unsuitables/jib-04	2016-12-15	No	Yes	1354531	0	0	0		Chemical Probes Portal	JIB-04	https://www.chemicalprobes.org/
MOUNHKKCIGVIDI-UHFFFAOYSA-L	unsuitables/ami-1	2017-03-07	No	No	723373	0	0	0		Chemical Probes Portal	AMI-1	https://www.chemicalprobes.org/
XVBGRTMNFNMINE-UHFFFAOYSA-N	unsuitables/xmd17-109	2016-12-15	No	No	927800	0	0	0		Chemical Probes Portal	XMD17-109	https://www.chemicalprobes.org/
OMKHWTRUYNAGFG-IEBDPFPHSA-N	unsuitables/dznep	2017-02-03	No	No	1117457	0	0	0		Chemical Probes Portal	DZNep	https://www.chemicalprobes.org/
PZPPOCZWRGNKIR-PNVYSBBASA-N	unsuitables/chaetocin	2017-02-03	No	Yes	915616	0	0	0		Chemical Probes Portal	Chaetocin	https://www.chemicalprobes.org/
ZWNKKZSRANLVEW-UHFFFAOYSA-N	unsuitables/epiblastin	2020-12-05	No	No	2922952	0	0	0	http://www.cell.com/cell-chemical-biology/abstract/S2451-9456(16)30085-X|http://www.cell.com/cell-reports/abstract/S2211-1247(16)30362-X?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112471630362X%3Fshowall%3Dtruehttp://www.cell.com/cell-reports/abstract/S2211-1247(16)30362-X?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112471630362X%3F|https://pubmed.ncbi.nlm.nih.gov/27049670|https://pubmed.ncbi.nlm.nih.gov/27149845	Chemical Probes Portal	Epiblastin A	https://www.chemicalprobes.org/
UXXQOJXBIDBUAC-UHFFFAOYSA-N	unsuitables/tandutinib	2016-12-09	No	No	848749	0	0	0		Chemical Probes Portal	Tandutinib	https://www.chemicalprobes.org/
REFJWTPEDVJJIY-UHFFFAOYSA-N	unsuitables/quercetin	2016-12-09	Yes	Yes	1305802	0	0	0		Chemical Probes Portal	Quercetin	https://www.chemicalprobes.org/
PIMQWRZWLQKKBJ-SFHVURJKSA-N	unsuitables/dinaciclib	2016-12-09	No	No	256723	0	0	0		Chemical Probes Portal	Dinaciclib	https://www.chemicalprobes.org/
WMBWREPUVVBILR-WIYYLYMNSA-N	unsuitables/epigallocatechin-3-gallate-ecgc	2016-12-09	Yes	Yes	498738	0	0	0		Chemical Probes Portal	Epigallocatechin-3-gallate (ECGC)	https://www.chemicalprobes.org/
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	unsuitables/resveratrol	2016-12-09	No	No	96102	0	0	0		Chemical Probes Portal	Resveratrol	https://www.chemicalprobes.org/
FIAFUQMPZJWCLV-UHFFFAOYSA-N	unsuitables/suramin	2016-12-09	No	No	1009853	0	0	0		Chemical Probes Portal	Suramin	https://www.chemicalprobes.org/
ZEWQUBUPAILYHI-UHFFFAOYSA-N	unsuitables/trifluoperazine	2016-12-09	No	No	1899498	0	0	0		Chemical Probes Portal	Trifluoperazine	https://www.chemicalprobes.org/
RRKRXIFOHFBLHY-YEZSYGFXSA-M	unsuitables/fluoxetine-glucuronide	2016-12-09	No	No	3312909	0	0	0		Chemical Probes Portal	Fluoxetine glucuronide	https://www.chemicalprobes.org/
AOJJSUZBOXZQNB-TZSSRYMLSA-N	unsuitables/doxorubicin	2016-12-09	Yes	Yes	791569	0	0	0		Chemical Probes Portal	Doxorubicin	https://www.chemicalprobes.org/
UHTHHESEBZOYNR-UHFFFAOYSA-N	unsuitables/vandetanib	2016-12-09	No	No	233726	0	0	0		Chemical Probes Portal	Vandetanib	https://www.chemicalprobes.org/
RITAVMQDGBJQJZ-FMIVXFBMSA-N	unsuitables/axitinib	2016-12-09	No	No	1927385	0	0	0		Chemical Probes Portal	Axitinib	https://www.chemicalprobes.org/
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	unsuitables/nvp-tae-226	2016-12-09	No	No	512994	0	0	0		Chemical Probes Portal	NVP-TAE 226	https://www.chemicalprobes.org/
VAARYSWULJUGST-UHFFFAOYSA-N	unsuitables/pd173955	2016-12-09	No	No	158055	0	0	0		Chemical Probes Portal	PD173955	https://www.chemicalprobes.org/
ODPGGGTTYSGTGO-UHFFFAOYSA-N	unsuitables/ast-487	2016-12-09	No	No	764849	0	0	0		Chemical Probes Portal	AST 487	https://www.chemicalprobes.org/
WAEXFXRVDQXREF-UHFFFAOYSA-N	unsuitables/vorinostat	2017-04-10	No	Yes	1113023	0	0	0		Chemical Probes Portal	Vorinostat	https://www.chemicalprobes.org/
WINHZLLDWRZWRT-ATVHPVEESA-N	unsuitables/sunitinib	2016-12-09	No	No	154683	0	0	0		Chemical Probes Portal	Sunitinib	https://www.chemicalprobes.org/
HVXKQKFEHMGHSL-QKDCVEJESA-N	unsuitables/xl-647	2016-12-09	No	No	535317	0	0	0		Chemical Probes Portal	XL-647	https://www.chemicalprobes.org/
VMWNQDUVQKEIOC-CYBMUJFWSA-N	unsuitables/apomorphine	2016-12-09	Yes	Yes	1185273	0	0	0		Chemical Probes Portal	Apomorphine	https://www.chemicalprobes.org/
DYEFUKCXAQOFHX-UHFFFAOYSA-N	unsuitables/ebselen	2016-12-09	No	Yes	65636	0	0	0		Chemical Probes Portal	Ebselen	https://www.chemicalprobes.org/
