inchikey	organism	dose_value	dose_unit	route	dose_raw	source_db	source
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Other	5	mg/mL		5 mg/mL	Chemical Probes Portal	EPZ020411
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	Other				1,3, 10 (IV) mg/Kg; , 30, 100, 300 (PO) mg/Kg	Chemical Probes Portal	BIX-02565
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	Other	30	mg/kg		30 mg/kg	Chemical Probes Portal	PRT062607
XCFLWTZSJYBCPF-UHFFFAOYSA-N	Other	0.5	mg/kg		0.5 mg/kg	Chemical Probes Portal	GNE7915
XSMSNFMDVXXHGJ-UHFFFAOYSA-N	Other				0.4 (IV), 1 (PO) mg/Kg	Chemical Probes Portal	Entospletinib
ISOCDPQFIXDIMS-HSZRJFAPSA-N	Other	30	mg/kg		30-300 mg/Kg	Chemical Probes Portal	XL019
GZFYZYBWLCYBMI-MYZJJQSMSA-N	Other	10	mg/kg		10 mg/Kg	Chemical Probes Portal	U18666A
HHKGVQGXRGQBBA-UHFFFAOYSA-N	Other	1	mg/kg	IV	1 mg/kg (IV), 10 mg/kg (oral)	Chemical Probes Portal	2-MT 63
HHKGVQGXRGQBBA-UHFFFAOYSA-N	Other	10	mg/kg	PO	1 mg/kg (IV), 10 mg/kg (oral)	Chemical Probes Portal	2-MT 63
UOVSZRTTWLJPHE-HNXAPSNLSA-N	Other	10	mg/kg	PO	10 mg/kg (oral)	Chemical Probes Portal	RO5353
CGCOPBXAGSCZNX-FNQJWKMRSA-N	Other	10	mg/kg		10 mg/Kg QD	Chemical Probes Portal	RO2468
ARYVAQSYRLZVQD-UHFFFAOYSA-N	Other	10	mg/kg		10 mg/kg	Chemical Probes Portal	NMS-P118
SAGZIBJAQGBRQA-UHFFFAOYSA-N	Other	2	mg/kg		2 mg/kg, 4 mg/kg	Chemical Probes Portal	GW788388
SAGZIBJAQGBRQA-UHFFFAOYSA-N	Other	4	mg/kg		2 mg/kg, 4 mg/kg	Chemical Probes Portal	GW788388
ATUUNJCZCOMUKD-OKILXGFUSA-N	Other	30	mg/kg	PO	30 mg/Kg Oral, 2 mg/Kg IV	Chemical Probes Portal	MLi-2
ATUUNJCZCOMUKD-OKILXGFUSA-N	Other	2	mg/kg	IV	30 mg/Kg Oral, 2 mg/Kg IV	Chemical Probes Portal	MLi-2
KMESAVNRPDKZCQ-UHFFFAOYSA-N	Other	1.2	mg/kg	IV	1.2 mg/Kg IV, 3 mg/Kg PO	Chemical Probes Portal	BI-1935
KMESAVNRPDKZCQ-UHFFFAOYSA-N	Other	3	mg/kg	PO	1.2 mg/Kg IV, 3 mg/Kg PO	Chemical Probes Portal	BI-1935
ZDOBSAPHUUUOHX-OSYLJGHBSA-N	Other	10	mg/kg	PO	10 mg/Kg PO, 1 mg/Kg IV	Chemical Probes Portal	BI-2545
ZDOBSAPHUUUOHX-OSYLJGHBSA-N	Other	1	mg/kg	IV	10 mg/Kg PO, 1 mg/Kg IV	Chemical Probes Portal	BI-2545
BTSUNSRQYLVGIS-ADTYUTHVSA-N	Other	10	mg/kg		10 mg/Kg (not effective), 25 mg/Kg	Chemical Probes Portal	M-808
BTSUNSRQYLVGIS-ADTYUTHVSA-N	Other	25	mg/kg		10 mg/Kg (not effective), 25 mg/Kg	Chemical Probes Portal	M-808
JQNINBDKGLWYMU-GEAQBIRJSA-N	Other	60	mg/kg		30 and 60 mg/Kg , 50 and 100 mg/Kg	Chemical Probes Portal	AMG 176
JQNINBDKGLWYMU-GEAQBIRJSA-N	Other	100	mg/kg		30 and 60 mg/Kg , 50 and 100 mg/Kg	Chemical Probes Portal	AMG 176
VSZRYLHBOKTNBO-UHFFFAOYSA-N	Other	10	mg/kg		0.1-1-3-10-30 mg/Kg	Chemical Probes Portal	TP-020
CGECJCJUHCZZGO-UHFFFAOYSA-N	Other	1	mg/kg		1 mg/Kg	Chemical Probes Portal	MBM-55
OTKTZEZTFCAULO-DEOSSOPVSA-N	Other	10	mg/kg		1, 3, 10 mg/Kg	Chemical Probes Portal	GSK2973980A
XMNLWOQHMQRHDV-UHFFFAOYSA-N	Other	2	mg/kg	IV	2 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	NCT-505
