inchikey	property	ordinal	value	source_db	source
IQCKJUKAQJINMK-HUBRGWSESA-N	control_compound	0	SGC0649	Chemical Probes Portal	
WRUWGLUCNBMGPS-UHFFFAOYSA-N	control_compound	0	Not available	Chemical Probes Portal	
GZFYZYBWLCYBMI-MYZJJQSMSA-N	control_compound	0	Compound A	Chemical Probes Portal	
LTYNXERAWVCPAH-OHRKNAERSA-N	control_compound	0	Nor-cotransin	Chemical Probes Portal	
ATUUNJCZCOMUKD-OKILXGFUSA-N	control_compound	0	MLi-2-NC	Chemical Probes Portal	
XKBSPAZCFAIBJL-OAHLLOKOSA-N	control_compound	0	ZINC72453574	Chemical Probes Portal	
ZDOBSAPHUUUOHX-OSYLJGHBSA-N	control_compound	0	BI-3017	Chemical Probes Portal	
PROGRNRRJJYCNX-UHFFFAOYSA-N	control_compound	0	NC-3	Chemical Probes Portal	
VSZRYLHBOKTNBO-UHFFFAOYSA-N	control_compound	0	TP-020n	Chemical Probes Portal	
CGECJCJUHCZZGO-UHFFFAOYSA-N	control_compound	0	cpd 28a	Chemical Probes Portal	
BATCTBJIJJEPHM-UHFFFAOYSA-N	control_compound	0	PF-04875474	Chemical Probes Portal	
BSISGUIVBKDTQO-QIKYYPRYSA-N	control_compound	0	BAY-460	Chemical Probes Portal	
ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	control_compound	0	NI-198	Chemical Probes Portal	
SOXNKJCQBRQUMS-UHFFFAOYSA-N	control_compound	0	IMP-994	Chemical Probes Portal	
MPASHPJAIUOWCK-UHFFFAOYSA-N	control_compound	0	BAY-309	Chemical Probes Portal	
FYMVGXGSNIVSKY-NRFANRHFSA-N	control_compound	0	cpd 3	Chemical Probes Portal	
KLGQSVMIPOVQAX-UHFFFAOYSA-N	control_compound	0	LDW643	Chemical Probes Portal	
KHWCPNJRJCNVRI-UHFFFAOYSA-N	control_compound	0	GSK8573, with activity against BRD9	Chemical Probes Portal	
LVDRREOUMKACNJ-BKMJKUGQSA-N	control_compound	0	2S,3R-enantiomer	Chemical Probes Portal	
JKCSCHXVWPSGBG-OPKPGBGESA-N	control_compound	0	SD-36Me	Chemical Probes Portal	
ONBSHRSJOPSEGS-INIZCTEOSA-N	control_compound	0	9a	Chemical Probes Portal	
GBAKVEWPYUIGHN-UHFFFAOYSA-N	control_compound	0	BTZO-3	Chemical Probes Portal	
GBAKVEWPYUIGHN-UHFFFAOYSA-N	control_compound	1	BTZO-4	Chemical Probes Portal	
DJOVLOYCGXNVPI-UHFFFAOYSA-N	control_compound	0	OICR-0547	Chemical Probes Portal	
WGJCHHJGGFCCRS-DEYDLUNASA-N	control_compound	0	CMP98 (cis-cis) - inactive epimer on each side	Chemical Probes Portal	
WGJCHHJGGFCCRS-DEYDLUNASA-N	control_compound	1	CMP99 (cis-trans) - inactive epimer on one side, act as VHL inhibitor but not degrader	Chemical Probes Portal	
KNOUWGGQMADIBV-KRWDZBQOSA-N	control_compound	0	5-benzyl-N-[(3R)-5-methyl-4-oxo-2,3-dihydro-1,5-benzoxazepin-3-yl]-1,2-oxazole-3-carboxamide	Chemical Probes Portal	
LUHCYAOYQIFNRN-UHFFFAOYSA-N	control_compound	0	BSJ-Bump	Chemical Probes Portal	
BLNNXJOEJRKHAM-UHFFFAOYSA-N	control_compound	0	ZINC1848444290	Chemical Probes Portal	
CGWBJJZOKGZCSJ-UHFFFAOYSA-N	control_compound	0	ISOX-INACT (isolipophilic inactive isomer)	Chemical Probes Portal	
RUBYHLPRZRMTJO-MOVYNIQHSA-N	control_compound	0	THZ531R	Chemical Probes Portal	
RUBYHLPRZRMTJO-MOVYNIQHSA-N	control_compound	1	THZ532	Chemical Probes Portal	
RDALZZCKQFLGJP-UHFFFAOYSA-N	control_compound	0	cpd 7	Chemical Probes Portal	
JBHLOPKIPKTRSU-UHFFFAOYSA-N	control_compound	0	THPP-1-NC	Chemical Probes Portal	
RPMGXDCRCWWCRY-JTQLQIEISA-N	control_compound	0	BAY-604	Chemical Probes Portal	
SEDFZSHSBUXKAC-NIYFSFCBSA-N	control_compound	0	Compound 16	Chemical Probes Portal	
VRVJKILQRBSEAG-LFPIHBKWSA-N	control_compound	0	A-486	Chemical Probes Portal	
ZEGMEJVULDALSH-NSHDSACASA-N	control_compound	0	cpd 10	Chemical Probes Portal	
ORDHXXHTBUZRCN-NTEUORMPSA-N	control_compound	0	Cpd 28	Chemical Probes Portal	
YSVWFFNZZGLLAI-XNTOLAJGSA-N	control_compound	0	KISS1-543	Chemical Probes Portal	
KLHOCHQJHXNKAS-UHFFFAOYSA-N	control_compound	0	N-(5-(2,3-dihydrobenzo[b][1,4]dioxine-5-carboxamido)-2-methylphenyl)-2-(2-(pyrrolidin-1-yl)ethoxy)quinoline-6-carboxamide	Chemical Probes Portal	
BKLJDIJJOOQUFG-UHFFFAOYSA-N	control_compound	0	BAY-588	Chemical Probes Portal	
RRELDGDKULRRDM-UHFFFAOYSA-N	control_compound	0	TP-021n	Chemical Probes Portal	
IYHHRZBKXXKDDY-UHFFFAOYSA-N	control_compound	0	BI-5026	Chemical Probes Portal	
DYUTWRFEEOPXMN-UHFFFAOYSA-N	control_compound	0	BAY-070	Chemical Probes Portal	
AUYCSWFYKYVCLD-HXUWFJFHSA-N	control_compound	0	GNE-6689	Chemical Probes Portal	
QMHRLXNEGYTSRV-UHFFFAOYSA-N	control_compound	0	BI 0054	Chemical Probes Portal	
LQEHCKYYIXQEBM-FUKIBTTHSA-N	control_compound	0	A-1806262	Chemical Probes Portal	
WEGLOYDTDILXDA-OAHLLOKOSA-N	control_compound	0	BAY-294	Chemical Probes Portal	
CSJYMAFXYMYNCK-UHFFFAOYSA-N	control_compound	0	BAY-207	Chemical Probes Portal	
OAMLIJKKGZLNHE-UHFFFAOYSA-N	control_compound	0	MSD-CYP11B2-Negative-control	Chemical Probes Portal	
JTCAGRAKUAAYDY-OAHLLOKOSA-N	control_compound	0	CRTH2-negative-control	Chemical Probes Portal	
PXQATVYJKMMHAU-UHFFFAOYSA-N	control_compound	0	BI 9307	Chemical Probes Portal	
YNFDIGJKJPNFFD-SJORKVTESA-N	control_compound	0	BI 99990	Chemical Probes Portal	
RPHDOVLXDYWDGF-UHFFFAOYSA-N	control_compound	0	UCSF924NC	Chemical Probes Portal	
KVJFJJXCBRSCDY-UHFFFAOYSA-N	control_compound	0	WM-2474	Chemical Probes Portal	
PGIVGIFOWOVINL-GOSISDBHSA-N	control_compound	0	BAY-677	Chemical Probes Portal	
WZQLVEPIBAOOGF-RMMWZPCPSA-N	control_compound	0	GSK943	Chemical Probes Portal	
JZTTUZXIQIRVAB-FZEVHQGJSA-N	control_compound	0	BI 9446	Chemical Probes Portal	
VLLFGVHGKLDDLW-SFHVURJKSA-N	control_compound	0	cpd 10	Chemical Probes Portal	
UEMQPCYDWCSVCU-UHFFFAOYSA-N	control_compound	0	NI-198	Chemical Probes Portal	
WILMROCKORZEMQ-VJVIIGMYSA-N	control_compound	0	ISOAPOPTOLIDIN	Chemical Probes Portal	
NBDJDKAXIGWAIM-XZOQPEGZSA-N	control_compound	0	(S,S)-59	Chemical Probes Portal	
YQOLEILXOBUDMU-KRWDZBQOSA-N	control_compound	0	BAY-403	Chemical Probes Portal	
GACOFEKSDCOVMV-RRYXBOBMSA-N	control_compound	0	(+)-englerin A	Chemical Probes Portal	
