inchikey	xref_id	source_xref	raw	source_db	source
IQCKJUKAQJINMK-HUBRGWSESA-N	https://doi.org/	10.1038/ncomms2304	www.doi.org/10.1038/ncomms2304	Chemical Probes Portal	
IQCKJUKAQJINMK-HUBRGWSESA-N	https://pubmed.ncbi.nlm.nih.gov/	23250418	http://www.ncbi.nlm.nih.gov/pubmed/23250418	Chemical Probes Portal	
QMDKVNSQXPVCRD-RQNOJGIXSA-N	https://doi.org/	10.1021/acsmedchemlett.5b00071	www.doi.org/10.1021/acsmedchemlett.5b00071	Chemical Probes Portal	
QMDKVNSQXPVCRD-RQNOJGIXSA-N	https://pubmed.ncbi.nlm.nih.gov/	26101569	http://www.ncbi.nlm.nih.gov/pubmed/?term=26101569	Chemical Probes Portal	
WRUWGLUCNBMGPS-UHFFFAOYSA-N	https://doi.org/	10.1021/acs.jmedchem.5b00256	http://pubs.acs.org/doi/abs/10.1021/acs.jmedchem.5b00256	Chemical Probes Portal	
WRUWGLUCNBMGPS-UHFFFAOYSA-N	https://pubmed.ncbi.nlm.nih.gov/	25856009	https://www.ncbi.nlm.nih.gov/pubmed/25856009	Chemical Probes Portal	
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	https://doi.org/	10.1016/j.bmcl.2011.10.029	www.doi.org/10.1016/j.bmcl.2011.10.029	Chemical Probes Portal	
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	https://doi.org/	10.1124/jpet.111.189365	www.doi.org/10.1124/jpet.111.189365	Chemical Probes Portal	
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	https://pubmed.ncbi.nlm.nih.gov/	22056746	https://pubmed.ncbi.nlm.nih.gov/22056746/	Chemical Probes Portal	
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	https://pubmed.ncbi.nlm.nih.gov/	22128344	https://pubmed.ncbi.nlm.nih.gov/22128344/	Chemical Probes Portal	
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	https://doi.org/	10.1124/jpet.111.188441	www.doi.org/10.1124/jpet.111.188441	Chemical Probes Portal	
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	https://pubmed.ncbi.nlm.nih.gov/	22040680	http://www.ncbi.nlm.nih.gov/pubmed/22040680	Chemical Probes Portal	
SCELLOWTHJGVIC-BGYRXZFFSA-N	https://doi.org/	10.1158/1535-7163.MCT-09-0519	www.doi.org/10.1158/1535-7163.MCT-09-0519	Chemical Probes Portal	
SCELLOWTHJGVIC-BGYRXZFFSA-N	https://pubmed.ncbi.nlm.nih.gov/	19808981	http://www.ncbi.nlm.nih.gov/pubmed/19808981	Chemical Probes Portal	
XCFLWTZSJYBCPF-UHFFFAOYSA-N	https://doi.org/	10.1021/jm301020q	www.doi.org/10.1021/jm301020q	Chemical Probes Portal	
