resource	xref	inchikey
canSAR	828356	IQCKJUKAQJINMK-HUBRGWSESA-N
canSAR	469025	QMDKVNSQXPVCRD-RQNOJGIXSA-N
canSAR	541825	WRUWGLUCNBMGPS-UHFFFAOYSA-N
canSAR	592803	ZHMXXVNQAFCXKK-QGZVFWFLSA-N
canSAR	267014	TXGKRVFSSHPBAJ-JKSUJKDBSA-N
canSAR	856836	SCELLOWTHJGVIC-BGYRXZFFSA-N
canSAR	379695	XCFLWTZSJYBCPF-UHFFFAOYSA-N
canSAR	466178	ZYVXTMKTGDARKR-UHFFFAOYSA-N
canSAR	1354531	YHHFKWKMXWRVTJ-OQKWZONESA-N
canSAR	723373	MOUNHKKCIGVIDI-UHFFFAOYSA-L
canSAR	927800	XVBGRTMNFNMINE-UHFFFAOYSA-N
canSAR	1117457	OMKHWTRUYNAGFG-IEBDPFPHSA-N
canSAR	915616	PZPPOCZWRGNKIR-PNVYSBBASA-N
canSAR	2922952	ZWNKKZSRANLVEW-UHFFFAOYSA-N
canSAR	848749	UXXQOJXBIDBUAC-UHFFFAOYSA-N
canSAR	1305802	REFJWTPEDVJJIY-UHFFFAOYSA-N
canSAR	256723	PIMQWRZWLQKKBJ-SFHVURJKSA-N
canSAR	498738	WMBWREPUVVBILR-WIYYLYMNSA-N
canSAR	96102	LUKBXSAWLPMMSZ-OWOJBTEDSA-N
canSAR	1009853	FIAFUQMPZJWCLV-UHFFFAOYSA-N
canSAR	1899498	ZEWQUBUPAILYHI-UHFFFAOYSA-N
canSAR	3312909	RRKRXIFOHFBLHY-YEZSYGFXSA-M
canSAR	791569	AOJJSUZBOXZQNB-TZSSRYMLSA-N
canSAR	233726	UHTHHESEBZOYNR-UHFFFAOYSA-N
canSAR	1927385	RITAVMQDGBJQJZ-FMIVXFBMSA-N
canSAR	512994	UYJNQQDJUOUFQJ-UHFFFAOYSA-N
canSAR	158055	VAARYSWULJUGST-UHFFFAOYSA-N
canSAR	764849	ODPGGGTTYSGTGO-UHFFFAOYSA-N
canSAR	1113023	WAEXFXRVDQXREF-UHFFFAOYSA-N
canSAR	154683	WINHZLLDWRZWRT-ATVHPVEESA-N
canSAR	535317	HVXKQKFEHMGHSL-QKDCVEJESA-N
canSAR	1185273	VMWNQDUVQKEIOC-CYBMUJFWSA-N
canSAR	65636	DYEFUKCXAQOFHX-UHFFFAOYSA-N
canSAR	1241698	IQPNAANSBPBGFQ-UHFFFAOYSA-N
canSAR	1161291	KZNIFHPLKGYRTM-UHFFFAOYSA-N
canSAR	1795385	ZIUSSTSXXLLKKK-KOBPDPAPSA-N
