inchikey	organism	dose_value	dose_unit	route	dose_raw	source_db	source
QMDKVNSQXPVCRD-RQNOJGIXSA-N	Other	5	mg/mL		5 mg/mL	Chemical Probes Portal	
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	Other				1,3, 10 (IV) mg/Kg; , 30, 100, 300 (PO) mg/Kg	Chemical Probes Portal	
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	Other	30	mg/kg		30 mg/kg	Chemical Probes Portal	
XCFLWTZSJYBCPF-UHFFFAOYSA-N	Other	0.5	mg/kg		0.5 mg/kg	Chemical Probes Portal	
XSMSNFMDVXXHGJ-UHFFFAOYSA-N	Other				0.4 (IV), 1 (PO) mg/Kg	Chemical Probes Portal	
ISOCDPQFIXDIMS-HSZRJFAPSA-N	Other	30	mg/kg		30-300 mg/Kg	Chemical Probes Portal	
GZFYZYBWLCYBMI-MYZJJQSMSA-N	Other	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
HHKGVQGXRGQBBA-UHFFFAOYSA-N	Other	1	mg/kg	IV	1 mg/kg (IV), 10 mg/kg (oral)	Chemical Probes Portal	
HHKGVQGXRGQBBA-UHFFFAOYSA-N	Other	10	mg/kg	PO	1 mg/kg (IV), 10 mg/kg (oral)	Chemical Probes Portal	
UOVSZRTTWLJPHE-HNXAPSNLSA-N	Other	10	mg/kg	PO	10 mg/kg (oral)	Chemical Probes Portal	
CGCOPBXAGSCZNX-FNQJWKMRSA-N	Other	10	mg/kg		10 mg/Kg QD	Chemical Probes Portal	
ARYVAQSYRLZVQD-UHFFFAOYSA-N	Other	10	mg/kg		10 mg/kg	Chemical Probes Portal	
SAGZIBJAQGBRQA-UHFFFAOYSA-N	Other	2	mg/kg		2 mg/kg, 4 mg/kg	Chemical Probes Portal	
SAGZIBJAQGBRQA-UHFFFAOYSA-N	Other	4	mg/kg		2 mg/kg, 4 mg/kg	Chemical Probes Portal	
ATUUNJCZCOMUKD-OKILXGFUSA-N	Other	30	mg/kg	PO	30 mg/Kg Oral, 2 mg/Kg IV	Chemical Probes Portal	
ATUUNJCZCOMUKD-OKILXGFUSA-N	Other	2	mg/kg	IV	30 mg/Kg Oral, 2 mg/Kg IV	Chemical Probes Portal	
KMESAVNRPDKZCQ-UHFFFAOYSA-N	Other	1.2	mg/kg	IV	1.2 mg/Kg IV, 3 mg/Kg PO	Chemical Probes Portal	
KMESAVNRPDKZCQ-UHFFFAOYSA-N	Other	3	mg/kg	PO	1.2 mg/Kg IV, 3 mg/Kg PO	Chemical Probes Portal	
ZDOBSAPHUUUOHX-OSYLJGHBSA-N	Other	10	mg/kg	PO	10 mg/Kg PO, 1 mg/Kg IV	Chemical Probes Portal	
ZDOBSAPHUUUOHX-OSYLJGHBSA-N	Other	1	mg/kg	IV	10 mg/Kg PO, 1 mg/Kg IV	Chemical Probes Portal	
BTSUNSRQYLVGIS-ADTYUTHVSA-N	Other	10	mg/kg		10 mg/Kg (not effective), 25 mg/Kg	Chemical Probes Portal	
BTSUNSRQYLVGIS-ADTYUTHVSA-N	Other	25	mg/kg		10 mg/Kg (not effective), 25 mg/Kg	Chemical Probes Portal	
JQNINBDKGLWYMU-GEAQBIRJSA-N	Other	60	mg/kg		30 and 60 mg/Kg , 50 and 100 mg/Kg	Chemical Probes Portal	
JQNINBDKGLWYMU-GEAQBIRJSA-N	Other	100	mg/kg		30 and 60 mg/Kg , 50 and 100 mg/Kg	Chemical Probes Portal	
VSZRYLHBOKTNBO-UHFFFAOYSA-N	Other	10	mg/kg		0.1-1-3-10-30 mg/Kg	Chemical Probes Portal	
CGECJCJUHCZZGO-UHFFFAOYSA-N	Other	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
OTKTZEZTFCAULO-DEOSSOPVSA-N	Other	10	mg/kg		1, 3, 10 mg/Kg	Chemical Probes Portal	
XMNLWOQHMQRHDV-UHFFFAOYSA-N	Other	2	mg/kg	IV	2 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
XMNLWOQHMQRHDV-UHFFFAOYSA-N	Other	10	mg/kg	PO	2 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
BATCTBJIJJEPHM-UHFFFAOYSA-N	Other	1	mg/kg	PO	1 mg/Kg PO, 0.5 mg/Kg IV	Chemical Probes Portal	
BATCTBJIJJEPHM-UHFFFAOYSA-N	Other	0.5	mg/kg	IV	1 mg/Kg PO, 0.5 mg/Kg IV	Chemical Probes Portal	
QCQQONWEDCOTBV-UHFFFAOYSA-N	Other	5	mg/kg		5-30 mg/Kg	Chemical Probes Portal	
XUYMIRYNRKXKOR-HMHJJOSWSA-N	Other	15	mg/kg		15-100 mg/Kg	Chemical Probes Portal	
WUJVPELCYCESAP-UHFFFAOYSA-N	Other	30	mg/kg		30 mg/Kg	Chemical Probes Portal	
ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	Mouse	3	mg/kg	PO	3 mg/kg (oral), 1 mg/kg (IV)	Chemical Probes Portal	
ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	Mouse	1	mg/kg	IV	3 mg/kg (oral), 1 mg/kg (IV)	Chemical Probes Portal	
NBTNHSGBRGTFJS-UHFFFAOYSA-N	Rat	5	mg/kg		5 mg/kg	Chemical Probes Portal	
KYWWJENKIMRJBI-UHFFFAOYSA-N	Other	50	mg/kg		30 (r), 50 (m) mg/kg/day, 15, 50 mg/Kg (R), 20, 60, and 120 mg/kg/day (ham), 50 mg/Kg (mon)Rab	Chemical Probes Portal	
KYWWJENKIMRJBI-UHFFFAOYSA-N	Other	120	mg/kg/day		30 (r), 50 (m) mg/kg/day, 15, 50 mg/Kg (R), 20, 60, and 120 mg/kg/day (ham), 50 mg/Kg (mon)Rab	Chemical Probes Portal	
KYWWJENKIMRJBI-UHFFFAOYSA-N	Other	50	mg/kg		30 (r), 50 (m) mg/kg/day, 15, 50 mg/Kg (R), 20, 60, and 120 mg/kg/day (ham), 50 mg/Kg (mon)Rab	Chemical Probes Portal	
MPASHPJAIUOWCK-UHFFFAOYSA-N	Rat	100	mg/kg		25, 50, 100 mg/Kg	Chemical Probes Portal	
JVCWPUFNLFSKFS-UHFFFAOYSA-N	Mouse	30	mg/kg		3, 10, 30 mg/Kg	Chemical Probes Portal	
KHWCPNJRJCNVRI-UHFFFAOYSA-N	Mouse	30	mg/kg		30 mg/kg	Chemical Probes Portal	
ZGBAJMQHJDFTQJ-DEOSSOPVSA-N	Mouse	30	mg/kg		30 mg/kg	Chemical Probes Portal	
TXEBNKKOLVBTFK-UHFFFAOYSA-N	Other	100	mg/kg		10, 30 and 100 mg/kg	Chemical Probes Portal	
CQCWHSDMJBAGDC-UHFFFAOYSA-N	Other	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO, 5-10-30 mg/Kg PO BID, Reviewer suggested: max 30 mg/Kg	Chemical Probes Portal	
CQCWHSDMJBAGDC-UHFFFAOYSA-N	Other	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO, 5-10-30 mg/Kg PO BID, Reviewer suggested: max 30 mg/Kg	Chemical Probes Portal	
CQCWHSDMJBAGDC-UHFFFAOYSA-N	Other	10	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO, 5-10-30 mg/Kg PO BID, Reviewer suggested: max 30 mg/Kg	Chemical Probes Portal	
CQCWHSDMJBAGDC-UHFFFAOYSA-N	Other	10	mg/kg		1 mg/Kg IV, 5 mg/Kg PO, 5-10-30 mg/Kg PO BID, Reviewer suggested: max 30 mg/Kg	Chemical Probes Portal	
DSUZLJDXUJUTGI-LLVKDONJSA-N	Mouse	1	mg/kg	IV	1 mg/Kg (IV), 10 mg/Kg (PO)	Chemical Probes Portal	
DSUZLJDXUJUTGI-LLVKDONJSA-N	Mouse	10	mg/kg	PO	1 mg/Kg (IV), 10 mg/Kg (PO)	Chemical Probes Portal	
VWEDZTZAXHMZIL-UHFFFAOYSA-N	Mouse	0.1	mg/kg		0.1 to 10 mg/Kg	Chemical Probes Portal	
PKCDDUHJAFVJJB-VLZXCDOPSA-N	Other	5	mg/kg		5 mg/kg, 50-75 mg/Kg Oral (Reviewer Suggested)	Chemical Probes Portal	
PKCDDUHJAFVJJB-VLZXCDOPSA-N	Other	50	mg/kg	PO	5 mg/kg, 50-75 mg/Kg Oral (Reviewer Suggested)	Chemical Probes Portal	
JGQPZPLJOBHHBK-UFXYQILXSA-N	Mouse	10	mg/kg		10 mg/Kg, Reviewers suggest: 7.5 mg/Kg BID	Chemical Probes Portal	
JGQPZPLJOBHHBK-UFXYQILXSA-N	Mouse	7.5	mg/kg		10 mg/Kg, Reviewers suggest: 7.5 mg/Kg BID	Chemical Probes Portal	
XSMABFRQESMONQ-SFHVURJKSA-N	Mouse	50	mg/kg		5 , 10, 25, 50 mg/Kg	Chemical Probes Portal	
NGEBYTLALFOQKI-HDJSIYSDSA-N	Other	20	mg/kg		0.5 (M), 2 (R), 1 (D) mg/kg IV, 1 (M), 5 (R), 1 (D) mg/kg PO, Reviewer suggest: 20 mg/Kg (M), 0.5-5 mg/Kg (R)	Chemical Probes Portal	
NGEBYTLALFOQKI-HDJSIYSDSA-N	Other	0.5	mg/kg		0.5 (M), 2 (R), 1 (D) mg/kg IV, 1 (M), 5 (R), 1 (D) mg/kg PO, Reviewer suggest: 20 mg/Kg (M), 0.5-5 mg/Kg (R)	Chemical Probes Portal	
RENRQMCACQEWFC-UGKGYDQZSA-N	Other	1	mg/kg		1 to 30 mg/Kg (R), 0.1 to 10 mg/Kg (D), 1 (IV), 10 (PO) mg/Kg (m)	Chemical Probes Portal	
RENRQMCACQEWFC-UGKGYDQZSA-N	Other	0.1	mg/kg	IV	1 to 30 mg/Kg (R), 0.1 to 10 mg/Kg (D), 1 (IV), 10 (PO) mg/Kg (m)	Chemical Probes Portal	
JKCSCHXVWPSGBG-OPKPGBGESA-N	Mouse	25	mg/kg		25 mg/Kg, 50 mg/Kg, 100 mg/Kg	Chemical Probes Portal	
JKCSCHXVWPSGBG-OPKPGBGESA-N	Mouse	50	mg/kg		25 mg/Kg, 50 mg/Kg, 100 mg/Kg	Chemical Probes Portal	
JKCSCHXVWPSGBG-OPKPGBGESA-N	Mouse	100	mg/kg		25 mg/Kg, 50 mg/Kg, 100 mg/Kg	Chemical Probes Portal	
MPMKMQHJHDHPBE-RUZDIDTESA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 5-30 mg/Kg PO	Chemical Probes Portal	
MPMKMQHJHDHPBE-RUZDIDTESA-N	Rat	5	mg/kg	PO	1 mg/Kg IV, 5-30 mg/Kg PO	Chemical Probes Portal	
HNLHOKSDTBAERS-CWIPYCOQSA-N	Other	0.5	mg/kg	IV	0.5 mg/Kg (IV), 5 mg/Kg (PO)	Chemical Probes Portal	
HNLHOKSDTBAERS-CWIPYCOQSA-N	Other	5	mg/kg	PO	0.5 mg/Kg (IV), 5 mg/Kg (PO)	Chemical Probes Portal	
MXUSGDMIHGLCNC-HNNXBMFYSA-N	Other	10	mg/kg	PO	10 mg/Kg PO, 3 mg/Kg IV	Chemical Probes Portal	
MXUSGDMIHGLCNC-HNNXBMFYSA-N	Other	3	mg/kg	IV	10 mg/Kg PO, 3 mg/Kg IV	Chemical Probes Portal	
LXRZVMYMQHNYJB-UNXOBOICSA-N	Rat				1 (IV), 10 (PO) mg/Kg	Chemical Probes Portal	
RUPXKSLKGSSZCP-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
ONBSHRSJOPSEGS-INIZCTEOSA-N	Other	3	mg/kg	IV	3 mg/Kg (IV), 10 mg/Kg (PO)	Chemical Probes Portal	
ONBSHRSJOPSEGS-INIZCTEOSA-N	Other	10	mg/kg	PO	3 mg/Kg (IV), 10 mg/Kg (PO)	Chemical Probes Portal	
TVTXCJFHQKSQQM-LJQIRTBHSA-N	Mouse	50	mg/kg	PO	50 mg/kg (oral); 5 mg/kg (IV)	Chemical Probes Portal	
TVTXCJFHQKSQQM-LJQIRTBHSA-N	Mouse	5	mg/kg	IV	50 mg/kg (oral); 5 mg/kg (IV)	Chemical Probes Portal	
GBJVVSCPOBPEIT-UHFFFAOYSA-N	Mouse	150	mg/kg		150 mg/kg	Chemical Probes Portal	
NBOJHRYUGLRASX-UHFFFAOYSA-N	Other	10	mg/kg	IP	10 mg/Kg IP, 1-30 mg/Kg PO	Chemical Probes Portal	
NBOJHRYUGLRASX-UHFFFAOYSA-N	Other	1	mg/kg	PO	10 mg/Kg IP, 1-30 mg/Kg PO	Chemical Probes Portal	
IDKAKZRYYDCJDU-HBMMIIHUSA-N	Mouse	25	mg/kg		25-200 mg/kg	Chemical Probes Portal	
SGIWFELWJPNFDH-UHFFFAOYSA-N	Mouse	10	mg/kg	PO	10 mg/Kg PO, 20 mg/Kg IP, 50 mg/Kg IP	Chemical Probes Portal	
SGIWFELWJPNFDH-UHFFFAOYSA-N	Mouse	20	mg/kg	IP	10 mg/Kg PO, 20 mg/Kg IP, 50 mg/Kg IP	Chemical Probes Portal	
SGIWFELWJPNFDH-UHFFFAOYSA-N	Mouse	50	mg/kg	IP	10 mg/Kg PO, 20 mg/Kg IP, 50 mg/Kg IP	Chemical Probes Portal	
QADPYRIHXKWUSV-UHFFFAOYSA-N	Mouse				5 IV, 20 PO mg/Kg	Chemical Probes Portal	
YYDUWLSETXNJJT-MTJSOVHGSA-N	Other	50	mg/kg		50-100 mg/Kg	Chemical Probes Portal	
BLNNXJOEJRKHAM-UHFFFAOYSA-N	Mouse	30	ug		30 ug	Chemical Probes Portal	
ZMNWFTYYYCSSTF-SOAUALDESA-N	Other	10	mg/kg	PO	10 mg/Kg PO, 5 mg/Kg IV	Chemical Probes Portal	
