inchikey	verdict	pains	toxicophore	rating_in_cell	rating_in_organism	rating_count	published_date	source_db	source
IQCKJUKAQJINMK-HUBRGWSESA-N	recommended	No	No	3.75	0	4	2015-10-02	Chemical Probes Portal	
QMDKVNSQXPVCRD-RQNOJGIXSA-N	recommended	No	No	2.6666666666666665	2.6666666666666665	3	2015-11-05	Chemical Probes Portal	
WRUWGLUCNBMGPS-UHFFFAOYSA-N	recommended	No	No	3	0	3	2016-07-29	Chemical Probes Portal	
ZHMXXVNQAFCXKK-QGZVFWFLSA-N	recommended	No	No	3	2	2	2021-02-02	Chemical Probes Portal	
TXGKRVFSSHPBAJ-JKSUJKDBSA-N	recommended	No	No	3.6666666666666665	3.6666666666666665	3	2015-12-10	Chemical Probes Portal	
SCELLOWTHJGVIC-BGYRXZFFSA-N	recommended	No	Yes	2	1.6666666666666667	3	2015-12-10	Chemical Probes Portal	
XCFLWTZSJYBCPF-UHFFFAOYSA-N	recommended	No	No	3	3	3	2015-12-10	Chemical Probes Portal	
ZYVXTMKTGDARKR-UHFFFAOYSA-N	recommended	No	No	3	0	3	2015-12-10	Chemical Probes Portal	
YHHFKWKMXWRVTJ-OQKWZONESA-N	unsuitable	No	Yes	0	0	0	2016-12-15	Chemical Probes Portal	
MOUNHKKCIGVIDI-UHFFFAOYSA-L	unsuitable	No	No	0	0	0	2017-03-07	Chemical Probes Portal	
XVBGRTMNFNMINE-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-15	Chemical Probes Portal	
OMKHWTRUYNAGFG-IEBDPFPHSA-N	unsuitable	No	No	0	0	0	2017-02-03	Chemical Probes Portal	
PZPPOCZWRGNKIR-PNVYSBBASA-N	unsuitable	No	Yes	0	0	0	2017-02-03	Chemical Probes Portal	
ZWNKKZSRANLVEW-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2020-12-05	Chemical Probes Portal	
UXXQOJXBIDBUAC-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
REFJWTPEDVJJIY-UHFFFAOYSA-N	unsuitable	Yes	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
PIMQWRZWLQKKBJ-SFHVURJKSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
WMBWREPUVVBILR-WIYYLYMNSA-N	unsuitable	Yes	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
FIAFUQMPZJWCLV-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
ZEWQUBUPAILYHI-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
RRKRXIFOHFBLHY-YEZSYGFXSA-M	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
AOJJSUZBOXZQNB-TZSSRYMLSA-N	unsuitable	Yes	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
UHTHHESEBZOYNR-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
RITAVMQDGBJQJZ-FMIVXFBMSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
VAARYSWULJUGST-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
ODPGGGTTYSGTGO-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
WAEXFXRVDQXREF-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-04-10	Chemical Probes Portal	
WINHZLLDWRZWRT-ATVHPVEESA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
HVXKQKFEHMGHSL-QKDCVEJESA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
VMWNQDUVQKEIOC-CYBMUJFWSA-N	unsuitable	Yes	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
DYEFUKCXAQOFHX-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
IQPNAANSBPBGFQ-UHFFFAOYSA-N	unsuitable	Yes	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
KZNIFHPLKGYRTM-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
ZIUSSTSXXLLKKK-KOBPDPAPSA-N	unsuitable	No	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
IZEKFCXSFNUWAM-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
KTEIFNKAUNYNJU-GFCCVEGCSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
IYIKLHRQXLHMJQ-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
MPVGZUGXCQEXTM-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
QDPVYZNVVQQULH-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
RTIXKCRFFJGDFG-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
QQWUGDVOUVUTOY-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
GUBJNPWVIUFSTR-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
