target_key	level	ordinal	value	source_db	source
O00141	class	0	Kinase	Chemical Probes Portal	
O00141	subclass	0	AGC	Chemical Probes Portal	
O00255	class	0	Epigenetic	Chemical Probes Portal	
O00255	subclass	0	Scaffold Protein	Chemical Probes Portal	
O00257	class	0	Epigenetic	Chemical Probes Portal	
O00257	subclass	0	Methyl-lysine reader	Chemical Probes Portal	
O00311	class	0	Kinase	Chemical Probes Portal	
O00311	subclass	0	Ser/Thr Kinase	Chemical Probes Portal	
O00329	class	0	Lipid kinase	Chemical Probes Portal	
O00329	class	1	Kinase	Chemical Probes Portal	
O00329	subclass	0	Class I	Chemical Probes Portal	
O00329	subclass	1	PI3/PI4	Chemical Probes Portal	
O00329	subclass	2	PI3/PI4 family	Chemical Probes Portal	
O00329	subclass	3	PI3/PI4-kinase	Chemical Probes Portal	
O00411	class	0	Enzyme	Chemical Probes Portal	
O00411	subclass	0	RNA Polymerase	Chemical Probes Portal	
O00444	class	0	Protein kinase	Chemical Probes Portal	
O00444	class	1	Kinase	Chemical Probes Portal	
O00444	subclass	0	Other	Chemical Probes Portal	
O00444	subclass	1	Ser/Thr kinase	Chemical Probes Portal	
O00444	subclass	2	Ser/Thr Kinase	Chemical Probes Portal	
O00487	class	0	Enzyme	Chemical Probes Portal	
O00487	subclass	0	Peptidase	Chemical Probes Portal	
O00519	class	0	Lipid metabolism	Chemical Probes Portal	
O00519	class	1	Enzyme	Chemical Probes Portal	
O00519	subclass	0	Serine Hydrolase	Chemical Probes Portal	
O00519	subclass	1	Amidase	Chemical Probes Portal	
O00625	class	0	Other	Chemical Probes Portal	
O00625	subclass	0	Cupin	Chemical Probes Portal	
O00748	class	0	Enzyme	Chemical Probes Portal	
O00748	subclass	0	carboxylesterase/lipase	Chemical Probes Portal	
O00763	class	0	Enzyme	Chemical Probes Portal	
O14578	class	0	Kinase	Chemical Probes Portal	
O14578	subclass	0	AGC	Chemical Probes Portal	
O14672	class	0	Other	Chemical Probes Portal	
O14672	subclass	0	ADAM family	Chemical Probes Portal	
O14684	class	0	Enzyme	Chemical Probes Portal	
O14684	subclass	0	Synthase	Chemical Probes Portal	
O14733	class	0	Kinase	Chemical Probes Portal	
O14733	subclass	0	STE	Chemical Probes Portal	
O14744	class	0	Epigenetic	Chemical Probes Portal	
O14744	subclass	0	Methyltransferase	Chemical Probes Portal	
O14744	subclass	1	Protein methyltransferase	Chemical Probes Portal	
O14757	class	0	Protein kinase	Chemical Probes Portal	
O14757	class	1	Kinase	Chemical Probes Portal	
O14757	subclass	0	CAMK	Chemical Probes Portal	
O14842	class	0	GPCR	Chemical Probes Portal	
O14842	subclass	0	Free fatty acid receptor	Chemical Probes Portal	
O14842	subclass	1	Free fatty acid receptors	Chemical Probes Portal	
O14920	class	0	Kinase	Chemical Probes Portal	
O14920	subclass	0	Serine kinase	Chemical Probes Portal	
O14920	subclass	1	Ser/Thr Kinase	Chemical Probes Portal	
O14936	class	0	Kinase	Chemical Probes Portal	
O14936	subclass	0	CAMK	Chemical Probes Portal	
O14939	class	0	Enzyme	Chemical Probes Portal	
O14939	subclass	0	Phospholipase	Chemical Probes Portal	
O14965	class	0	Kinase	Chemical Probes Portal	
O14965	subclass	0	Ser/Thr kinase	Chemical Probes Portal	
O14965	subclass	1	Ser/Thr Kinase	Chemical Probes Portal	
O14965	subclass	2	cell cycle-regulated kinase	Chemical Probes Portal	
O14976	class	0	Kinase	Chemical Probes Portal	
O14976	subclass	0	Ser/Thr Kinase	Chemical Probes Portal	
O15054	class	0	Epigenetic	Chemical Probes Portal	
O15054	subclass	0	Lysine demethylase	Chemical Probes Portal	
O15075	class	0	Kinase	Chemical Probes Portal	
O15075	subclass	0	CAMK	Chemical Probes Portal	
O15118	class	0	Other	Chemical Probes Portal	
O15118	subclass	0	Intracellular Cholesterol Transporter	Chemical Probes Portal	
O15164	class	0	Epigenetic	Chemical Probes Portal	
O15164	subclass	0	Tripartite Motif Family	Chemical Probes Portal	
O15294	class	0	Enzyme	Chemical Probes Portal	
O15294	subclass	0	Glycosyltransferase	Chemical Probes Portal	
O15297	class	0	Enzyme	Chemical Probes Portal	
O15297	subclass	0	Phosphatase	Chemical Probes Portal	
O15379	class	0	Epigenetic	Chemical Probes Portal	
O15379	subclass	0	HDAC	Chemical Probes Portal	
O15379	subclass	1	Histone deacetylase	Chemical Probes Portal	
O15382	class	0	Enzyme	Chemical Probes Portal	
O15382	subclass	0	Amino acid transaminase	Chemical Probes Portal	
O15427	class	0	Transporter	Chemical Probes Portal	
O15427	subclass	0	Monocarboxylate transporter	Chemical Probes Portal	
O15530	class	0	Kinase	Chemical Probes Portal	
O15530	subclass	0	AGC	Chemical Probes Portal	
O15550	class	0	Epigenetic	Chemical Probes Portal	
O15550	subclass	0	Lysine demethylase	Chemical Probes Portal	
O15552	class	0	GPCR	Chemical Probes Portal	
O15552	subclass	0	Free fatty acid receptor	Chemical Probes Portal	
O15554	class	0	Ion Channel	Chemical Probes Portal	
O15554	subclass	0	Potassium channel	Chemical Probes Portal	
O43175	class	0	Enzyme	Chemical Probes Portal	
O43175	subclass	0	Dehydrogenase	Chemical Probes Portal	
O43194	class	0	GPCR	Chemical Probes Portal	
O43318	class	0	Kinase	Chemical Probes Portal	
O43318	subclass	0	TKL	Chemical Probes Portal	
O43353	class	0	Kinase	Chemical Probes Portal	
O43353	subclass	0	TKL	Chemical Probes Portal	
O43526	class	0	Ion Channel	Chemical Probes Portal	
O43526	subclass	0	Potassium Channel	Chemical Probes Portal	
O43613	class	0	GPCR	Chemical Probes Portal	
O43613	subclass	0	Orexin/Hypocretin receptor	Chemical Probes Portal	
O43614	class	0	GPCR	Chemical Probes Portal	
O43614	subclass	0	Orexin Receptor	Chemical Probes Portal	
O43614	subclass	1	Orexin receptor	Chemical Probes Portal	
O43614	subclass	2	Orexin 2 receptor	Chemical Probes Portal	
O43683	class	0	Kinase	Chemical Probes Portal	
O43683	subclass	0	Ser/Thr Protein Kinase	Chemical Probes Portal	
O43739	class	0	Cytohesin	Chemical Probes Portal	
O60260	class	0	Ubiquitin-protein ligase	Chemical Probes Portal	
O60260	subclass	0	Parkinson disease protein	Chemical Probes Portal	
O60285	class	0	Kinase	Chemical Probes Portal	
O60285	subclass	0	CAMK	Chemical Probes Portal	
O60341	class	0	Epigenetic	Chemical Probes Portal	
O60502	class	0	Enzyme	Chemical Probes Portal	
O60502	subclass	0	Hydrolase	Chemical Probes Portal	
O60551	class	0	Other post-translational modification	Chemical Probes Portal	
O60551	subclass	0	Acyltransferase	Chemical Probes Portal	
O60674	class	0	Protein kinase	Chemical Probes Portal	
O60674	class	1	Kinase	Chemical Probes Portal	
O60674	subclass	0	TK	Chemical Probes Portal	
O60674	subclass	1	Tyrosine kinase	Chemical Probes Portal	
O60678	class	0	Epigenetic	Chemical Probes Portal	
O60678	subclass	0	Protein methyltransferase	Chemical Probes Portal	
O60678	subclass	1	Methyltransferase	Chemical Probes Portal	
O60741	class	0	Ion Channel	Chemical Probes Portal	
O60741	subclass	0	Potassium/Sodium Channel	Chemical Probes Portal	
O60885	class	0	Epigenetic	Chemical Probes Portal	
O60885	subclass	0	Bromodomain	Chemical Probes Portal	
O60911	class	0	Protein metabolism	Chemical Probes Portal	
O60911	subclass	0	Protease	Chemical Probes Portal	
O75116	class	0	Kinase	Chemical Probes Portal	
O75116	subclass	0	AGC	Chemical Probes Portal	
O75164	class	0	Epigenetic	Chemical Probes Portal	
O75164	subclass	0	Histone demethylase	Chemical Probes Portal	
O75306	class	0	Enzyme	Chemical Probes Portal	
O75306	subclass	0	Dehydrogenase	Chemical Probes Portal	
O75385	class	0	Kinase	Chemical Probes Portal	
O75385	subclass	0	Autophagy Activating Kinases	Chemical Probes Portal	
O75417	class	0	Enzyme	Chemical Probes Portal	
O75417	subclass	0	DNA Polymerase	Chemical Probes Portal	
O75460	class	0	Kinase	Chemical Probes Portal	
O75460	subclass	0	Ser/Thr Kinase	Chemical Probes Portal	
O75530	class	0	Epigenetic	Chemical Probes Portal	
O75530	subclass	0	Polycomb family	Chemical Probes Portal	
O75575	class	0	CGRP-receptor component protein	Chemical Probes Portal	
O75643	class	0	Enzyme	Chemical Probes Portal	
O75643	subclass	0	Helicase	Chemical Probes Portal	
O75716	class	0	Kinase	Chemical Probes Portal	
O75716	subclass	0	Ser/Thr Kinase	Chemical Probes Portal	
O75762	class	0	Transient Receptor	Chemical Probes Portal	
O75762	class	1	Ion Channel	Chemical Probes Portal	
O75762	subclass	0	Transient receptor, TRPV subfamily	Chemical Probes Portal	
O75874	class	0	Enzyme	Chemical Probes Portal	
O75874	class	1	Kinase	Chemical Probes Portal	
O75874	subclass	0	Dehydrogenase	Chemical Probes Portal	
O75907	class	0	Other	Chemical Probes Portal	
O75907	class	1	Enzyme	Chemical Probes Portal	
O75907	subclass	0	Diacylglycerol O-acyltransferase	Chemical Probes Portal	
O75907	subclass	1	Acyltransferase	Chemical Probes Portal	
O75914	class	0	Protein kinase	Chemical Probes Portal	
O75914	subclass	0	STE	Chemical Probes Portal	
O76039	class	0	Kinase	Chemical Probes Portal	
O76039	subclass	0	CMGC	Chemical Probes Portal	
O76083	class	0	Nucleic acid metabolism	Chemical Probes Portal	
O76083	subclass	0	Phosphodiesterase	Chemical Probes Portal	
O94768	class	0	Kinase	Chemical Probes Portal	
O94768	subclass	0	CAMK	Chemical Probes Portal	
O94782	class	0	Other post-translational modification	Chemical Probes Portal	
O94782	subclass	0	Deubiquitinase	Chemical Probes Portal	
O94921	class	0	Kinase	Chemical Probes Portal	
O94921	subclass	0	CMGC	Chemical Probes Portal	
O94925	class	0	Enzyme	Chemical Probes Portal	
O94925	subclass	0	Glutaminase	Chemical Probes Portal	
O94953	class	0	Epigenetic	Chemical Probes Portal	
O94953	subclass	0	Histone demethylase	Chemical Probes Portal	
O95069	class	0	Ion Channel	Chemical Probes Portal	
O95069	subclass	0	Potassium Channel	Chemical Probes Portal	
O95251	class	0	Epigenetic	Chemical Probes Portal	
O95251	subclass	0	Histone Acetyltransferase	Chemical Probes Portal	
O95271	class	0	Other post-translational modification	Chemical Probes Portal	
O95271	subclass	0	PARP	Chemical Probes Portal	
O95497	class	0	Vanin	Chemical Probes Portal	
O95497	subclass	0	Biotinidase	Chemical Probes Portal	
O95696	class	0	Epigenetic	Chemical Probes Portal	
O95696	subclass	0	Bromodomain	Chemical Probes Portal	
O95785	class	0	Transcription factor	Chemical Probes Portal	
O95785	subclass	0	Zinc Finger	Chemical Probes Portal	
O95835	class	0	Kinase	Chemical Probes Portal	
O95835	subclass	0	AGC	Chemical Probes Portal	
O95848	class	0	Epigenetic	Chemical Probes Portal	
O95848	subclass	0	Nudix	Chemical Probes Portal	
O95931	class	0	Epigenetic	Chemical Probes Portal	
O95931	subclass	0	Methyl-lysine reader	Chemical Probes Portal	
O96013	class	0	Protein kinase	Chemical Probes Portal	
O96013	class	1	Kinase	Chemical Probes Portal	
O96013	subclass	0	STE	Chemical Probes Portal	
O96017	class	0	Protein kinase	Chemical Probes Portal	
O96017	subclass	0	CAMK	Chemical Probes Portal	
O96028	class	0	Epigenetic	Chemical Probes Portal	
O96028	subclass	0	Methyltransferase	Chemical Probes Portal	
P00338	class	0	Enzyme	Chemical Probes Portal	
P00338	subclass	0	LDH family	Chemical Probes Portal	
P00352	class	0	Other	Chemical Probes Portal	
P00352	subclass	0	aldehyde dehydrogenase	Chemical Probes Portal	
P00519	class	0	Kinase	Chemical Probes Portal	
P00519	subclass	0	TK	Chemical Probes Portal	
P00533	class	0	Kinase	Chemical Probes Portal	
P00533	class	1	Protein kinase	Chemical Probes Portal	
P00533	subclass	0	RTK	Chemical Probes Portal	
P00533	subclass	1	TK	Chemical Probes Portal	
P00751	class	0	Other	Chemical Probes Portal	
P00751	subclass	0	Serine Protease	Chemical Probes Portal	
P00797	class	0	Enzyme	Chemical Probes Portal	
P00797	subclass	0	Angiotensinogenase	Chemical Probes Portal	
P00918	class	0	Enzyme	Chemical Probes Portal	
P00918	subclass	0	Anhydrase family	Chemical Probes Portal	
P01111	class	0	Enzyme	Chemical Probes Portal	
P01111	subclass	0	GTPase	Chemical Probes Portal	
P01112	class	0	Enzyme	Chemical Probes Portal	
P01112	subclass	0	GTPase	Chemical Probes Portal	
P01116	class	0	Enzyme	Chemical Probes Portal	
P01116	class	1	Kinase	Chemical Probes Portal	
P01116	subclass	0	GTPase	Chemical Probes Portal	
P01116	subclass	1	Ras Family	Chemical Probes Portal	
P01137	class	0	Catalytic receptor	Chemical Probes Portal	
P01137	subclass	0	Transforming Growth Factor	Chemical Probes Portal	
P03372	class	0	Other	Chemical Probes Portal	
