target_key	type	name
O00141	protein	SGK1
O00255	protein	MEN1
O00257	protein	CBX4
O00311	protein	CDC7
O00329	protein	PIK3CD
O00411	protein	POLRMT
O00444	protein	PLK4
O00487	protein	PSMD14
O00519	protein	FAAH
O00625	protein	PIR
O00748	protein	CES2
O00763	protein	ACACB
O14578	protein	CIT
O14672	protein	ADAM10
O14684	protein	PTGES
O14733	protein	MAP2K7
O14744	protein	PRMT5
O14757	protein	CHEK1
O14842	protein	FFAR1
O14920	protein	IKBKB
O14936	protein	CASK
O14939	protein	PLD2
O14965	protein	AURKA
O14976	protein	GAK
O15054	protein	KDM6B
O15075	protein	DCLK1
O15118	protein	NPC1
O15164	protein	TRIM24
O15294	protein	OGT
O15297	protein	PPM1D
O15379	protein	HDAC3
O15382	protein	BCAT2
O15427	protein	SLC16A3
O15530	protein	PDPK1
O15550	protein	KDM6A
O15552	protein	FFAR2
O15554	protein	KCNN4
O43175	protein	PHGDH
O43194	protein	GPR39
O43318	protein	MAP3K7
O43353	protein	RIPK2
O43526	protein	KCNQ2
O43613	protein	HCRTR1
O43614	protein	HCRTR2
O43683	protein	BUB1
O43739	protein	CYTH3
O60260	protein	PRKN
O60285	protein	NUAK1
O60341	protein	KDM1A
O60502	protein	OGA
O60551	protein	NMT2
O60674	protein	JAK2
O60678	protein	PRMT3
O60741	protein	HCN1
O60885	protein	BRD4
O60911	protein	CTSV
O75116	protein	ROCK2
O75164	protein	KDM4A
O75306	protein	NDUFS2
O75385	protein	ULK1
O75417	protein	POLQ
O75460	protein	ERN1
O75530	protein	EED
O75575	protein	CRCP
O75643	protein	SNRNP200
O75716	protein	STK16
O75762	protein	TRPA1
O75874	protein	IDH1
O75907	protein	DGAT1
O75914	protein	PAK3
O76039	protein	CDKL5
O76083	protein	PDE9A
O94768	protein	STK17B
O94782	protein	USP1
O94921	protein	CDK14
O94925	protein	GLS
O94953	protein	KDM4B
O95069	protein	KCNK2
O95251	protein	KAT7
O95271	protein	TNKS
O95497	protein	VNN1
O95696	protein	BRD1
O95785	protein	WIZ
O95835	protein	LATS1
O95848	protein	NUDT14
O95931	protein	CBX7
O96013	protein	PAK4
O96017	protein	CHEK2
O96028	protein	NSD2
P00338	protein	LDHA
P00352	protein	ALDH1A1
P00519	protein	ABL1
P00533	protein	EGFR
P00751	protein	CFB
P00797	protein	REN
P00918	protein	CA2
P01111	protein	NRAS
P01112	protein	HRAS
P01116	protein	KRAS
P01137	protein	TGFB1
P03372	protein	ESR1
P03951	protein	F11
P04035	protein	HMGCR
P04150	protein	NR3C1
P04626	protein	ERBB2
P04629	protein	NTRK1
P06213	protein	INSR
P06239	protein	LCK
P06241	protein	FYN
P06493	protein	CDK1
P06576	protein	ATP5F1B
P07195	protein	LDHB
P07333	protein	CSF1R
P07437	protein	TUBB
P07550	protein	ADRB2
P07711	protein	CTSL
P07900	protein	HSP90AA1
P07947	protein	YES1
P07948	protein	LYN
P07949	protein	RET
P08069	protein	IGF1R
P08172	protein	CHRM2
P08173	protein	CHRM4
P08235	protein	NR3C2
P08238	protein	HSP90AB1
P08246	protein	ELANE
P08581	protein	MET
P08709	protein	F7
P08922	protein	ROS1
P09619	protein	PDGFRB
P09874	protein	PARP1
P09936	protein	UCHL1
P09960	protein	LTA4H
P10275	protein	AR
P10415	protein	BCL2
P10636	protein	MAPT
P10721	protein	KIT
P11166	protein	SLC2A1
P11229	protein	CHRM1
P11309	protein	PIM1
P11362	protein	FGFR1
P11586	protein	MTHFD1
P11597	protein	CETP
P11802	protein	CDK4
P12931	protein	SRC
P13569	protein	CFTR
P13995	protein	MTHFD2
P14174	protein	MIF
P14616	protein	INSRR
P14902	protein	IDO1
P15056	protein	BRAF
P15170	protein	GSPT1
P16234	protein	PDGFRA
P17706	protein	PTPN2
P17948	protein	FLT1
P18031	protein	PTPN1
P18089	protein	ADRA2B
P19099	protein	CYP11B2
P19634	protein	SLC9A1
P19784	protein	CSNK2A2
P19793	protein	RXRA
P20292	protein	ALOX5AP
P20309	protein	CHRM3
P20701	protein	ITGAL
P21452	protein	TACR2
P21453	protein	S1PR1
P21554	protein	CNR1
P21589	protein	NT5E
P21675	protein	TAF1
P21730	protein	C5AR1
P21802	protein	FGFR2
P21860	protein	ERBB3
P21917	protein	DRD4
P22314	protein	UBA1
P22413	protein	ENPP1
P22455	protein	FGFR4
P22607	protein	FGFR3
P22888	protein	LHCGR
P23219	protein	PTGS1
P23458	protein	JAK1
P23743	protein	DGKA
P23946	protein	CMA1
P24530	protein	EDNRB
P24941	protein	CDK2
