target_key	source_db	property	ordinal	value
O00141	Chemical Probes Portal	class	0	Kinase
O00141	Chemical Probes Portal	subClass	0	AGC
O00255	Chemical Probes Portal	class	0	Epigenetic
O00255	Chemical Probes Portal	subClass	0	Scaffold Protein
O00257	Chemical Probes Portal	class	0	Epigenetic
O00257	Chemical Probes Portal	subClass	0	Methyl-lysine reader
O00311	Chemical Probes Portal	class	0	Kinase
O00311	Chemical Probes Portal	subClass	0	Ser/Thr Kinase
O00329	Chemical Probes Portal	class	0	Lipid kinase
O00329	Chemical Probes Portal	class	1	Kinase
O00329	Chemical Probes Portal	subClass	0	Class I
O00329	Chemical Probes Portal	subClass	1	PI3/PI4
O00329	Chemical Probes Portal	subClass	2	PI3/PI4 family
O00329	Chemical Probes Portal	subClass	3	PI3/PI4-kinase
O00411	Chemical Probes Portal	class	0	Enzyme
O00411	Chemical Probes Portal	subClass	0	RNA Polymerase
O00444	Chemical Probes Portal	class	0	Protein kinase
O00444	Chemical Probes Portal	class	1	Kinase
O00444	Chemical Probes Portal	subClass	0	Other
O00444	Chemical Probes Portal	subClass	1	Ser/Thr kinase
O00444	Chemical Probes Portal	subClass	2	Ser/Thr Kinase
O00487	Chemical Probes Portal	class	0	Enzyme
O00487	Chemical Probes Portal	subClass	0	Peptidase
O00519	Chemical Probes Portal	class	0	Lipid metabolism
O00519	Chemical Probes Portal	class	1	Enzyme
O00519	Chemical Probes Portal	subClass	0	Serine Hydrolase
O00519	Chemical Probes Portal	subClass	1	Amidase
O00625	Chemical Probes Portal	class	0	Other
O00625	Chemical Probes Portal	subClass	0	Cupin
O00748	Chemical Probes Portal	class	0	Enzyme
O00748	Chemical Probes Portal	subClass	0	carboxylesterase/lipase
O00763	Chemical Probes Portal	class	0	Enzyme
O14578	Chemical Probes Portal	class	0	Kinase
O14578	Chemical Probes Portal	subClass	0	AGC
O14672	Chemical Probes Portal	class	0	Other
O14672	Chemical Probes Portal	subClass	0	ADAM family
O14684	Chemical Probes Portal	class	0	Enzyme
O14684	Chemical Probes Portal	subClass	0	Synthase
