uniprot_id	target_key	hgnc	species
O00141	O00141	SGK1	
O00255	O00255	MEN1	
O00257	O00257	CBX4	
O00311	O00311	CDC7	
O00329	O00329	PIK3CD	
O00411	O00411	POLRMT	
O00444	O00444	PLK4	
O00487	O00487	PSMD14	
O00519	O00519	FAAH	
O00625	O00625	PIR	
O00748	O00748	CES2	
O00763	O00763	ACACB	
O14578	O14578	CIT	
O14672	O14672	ADAM10	
O14684	O14684	PTGES	
O14733	O14733	MAP2K7	
O14744	O14744	PRMT5	
O14757	O14757	CHEK1	
O14842	O14842	FFAR1	
O14920	O14920	IKBKB	
O14936	O14936	CASK	
O14939	O14939	PLD2	
O14965	O14965	AURKA	
O14976	O14976	GAK	
O15054	O15054	KDM6B	
O15075	O15075	DCLK1	
O15118	O15118	NPC1	
O15164	O15164	TRIM24	
O15294	O15294	OGT	
O15297	O15297	PPM1D	
O15379	O15379	HDAC3	
O15382	O15382	BCAT2	
O15427	O15427	SLC16A3	
O15530	O15530	PDPK1	
O15550	O15550	KDM6A	
O15552	O15552	FFAR2	
O15554	O15554	KCNN4	
O43175	O43175	PHGDH	
O43194	O43194	GPR39	
O43318	O43318	MAP3K7	
O43353	O43353	RIPK2	
O43526	O43526	KCNQ2	
O43613	O43613	HCRTR1	
O43614	O43614	HCRTR2	
O43683	O43683	BUB1	
O43739	O43739	CYTH3	
O60260	O60260	PRKN	
O60285	O60285	NUAK1	
O60341	O60341	KDM1A	
O60502	O60502	OGA	
O60551	O60551	NMT2	
O60674	O60674	JAK2	
O60678	O60678	PRMT3	
O60741	O60741	HCN1	
O60885	O60885	BRD4	
O60911	O60911	CTSV	
O75116	O75116	ROCK2	
O75164	O75164	KDM4A	
O75306	O75306	NDUFS2	
O75385	O75385	ULK1	
O75417	O75417	POLQ	
O75460	O75460	ERN1	
O75530	O75530	EED	
O75575	O75575	CRCP	
O75643	O75643	SNRNP200	
O75716	O75716	STK16	
O75762	O75762	TRPA1	
O75874	O75874	IDH1	
O75907	O75907	DGAT1	
O75914	O75914	PAK3	
O76039	O76039	CDKL5	
O76083	O76083	PDE9A	
O94768	O94768	STK17B	
O94782	O94782	USP1	
O94921	O94921	CDK14	
O94925	O94925	GLS	
O94953	O94953	KDM4B	
O95069	O95069	KCNK2	
O95251	O95251	KAT7	
O95271	O95271	TNKS	
O95497	O95497	VNN1	
O95696	O95696	BRD1	
O95785	O95785	WIZ	
O95835	O95835	LATS1	
O95848	O95848	NUDT14	
O95931	O95931	CBX7	
O96013	O96013	PAK4	
O96017	O96017	CHEK2	
O96028	O96028	NSD2	
P00338	P00338	LDHA	
P00352	P00352	ALDH1A1	
P00519	P00519	ABL1	
P00533	P00533	EGFR	
P00751	P00751	CFB	
P00797	P00797	REN	
P00918	P00918	CA2	
P01111	P01111	NRAS	
P01112	P01112	HRAS	
P01116	P01116	KRAS	
P01137	P01137	TGFB1	
P03372	P03372	ESR1	
P03951	P03951	F11	
P04035	P04035	HMGCR	
P04150	P04150	NR3C1	
P04626	P04626	ERBB2	
P04629	P04629	NTRK1	
P06213	P06213	INSR	
P06239	P06239	LCK	
P06241	P06241	FYN	
P06493	P06493	CDK1	
P06576	P06576	ATP5F1B	
P07195	P07195	LDHB	
P07333	P07333	CSF1R	
P07437	P07437	TUBB	
P07550	P07550	ADRB2	
P07711	P07711	CTSL	
P07900	P07900	HSP90AA1	
P07947	P07947	YES1	
P07948	P07948	LYN	
P07949	P07949	RET	
P08069	P08069	IGF1R	
P08172	P08172	CHRM2	
P08173	P08173	CHRM4	
P08235	P08235	NR3C2	
P08238	P08238	HSP90AB1	
P08246	P08246	ELANE	
P08581	P08581	MET	
P08709	P08709	F7	
P08922	P08922	ROS1	
P09619	P09619	PDGFRB	
P09874	P09874	PARP1	
P09936	P09936	UCHL1	
P09960	P09960	LTA4H	
P10275	P10275	AR	
P10415	P10415	BCL2	
P10636	P10636	MAPT	
P10721	P10721	KIT	
P11166	P11166	SLC2A1	
P11229	P11229	CHRM1	
P11309	P11309	PIM1	
P11362	P11362	FGFR1	
P11586	P11586	MTHFD1	
P11597	P11597	CETP	
P11802	P11802	CDK4	
P12931	P12931	SRC	
P13569	P13569	CFTR	
P13995	P13995	MTHFD2	
P14174	P14174	MIF	
P14616	P14616	INSRR	
P14902	P14902	IDO1	
P15056	P15056	BRAF	
P15170	P15170	GSPT1	
P16234	P16234	PDGFRA	
P17706	P17706	PTPN2	
P17948	P17948	FLT1	
P18031	P18031	PTPN1	
P18089	P18089	ADRA2B	
P19099	P19099	CYP11B2	
P19634	P19634	SLC9A1	
P19784	P19784	CSNK2A2	
P19793	P19793	RXRA	
P20292	P20292	ALOX5AP	
P20309	P20309	CHRM3	
P20701	P20701	ITGAL	
P21452	P21452	TACR2	
P21453	P21453	S1PR1	
P21554	P21554	CNR1	
P21589	P21589	NT5E	
P21675	P21675	TAF1	
P21730	P21730	C5AR1	
P21802	P21802	FGFR2	
P21860	P21860	ERBB3	
P21917	P21917	DRD4	
P22314	P22314	UBA1	
P22413	P22413	ENPP1	
P22455	P22455	FGFR4	
P22607	P22607	FGFR3	
P22888	P22888	LHCGR	
P23219	P23219	PTGS1	
P23458	P23458	JAK1	
P23743	P23743	DGKA	
P23946	P23946	CMA1	
P24530	P24530	EDNRB	
P24941	P24941	CDK2	
P25090	P25090	FPR2	
P25098	P25098	GRK2	
P25100	P25100	ADRA1D	
P25101	P25101	EDNRA	
P25103	P25103	TACR1	
P25105	P25105	PTAFR	
P25116	P25116	F2R	
P25440	P25440	BRD2	
P25774	P25774	CTSS	
P25929	P25929	NPY1R	
P26358	P26358	DNMT1	
P27361	P27361	MAPK3	
P28065	P28065	PSMB9	
P28221	P28221	HTR1D	
P28223	P28223	HTR2A	
P28335	P28335	HTR2C	
P28347	P28347	TEAD1	
P28482	P28482	MAPK1	
P28702	P28702	RXRB	
P28799	P28799	GRN	
P28845	P28845	HSD11B1	
P29274	P29274	ADORA2A	
P29275	P29275	ADORA2B	
P29371	P29371	TACR3	
P29597	P29597	TYK2	
P30291	P30291	WEE1	
P30419	P30419	NMT1	
P30518	P30518	AVPR2	
P30530	P30530	AXL	
P30559	P30559	OXTR	
P30968	P30968	GNRHR	
P31153	P31153	MAT2A	
P31639	P31639	SLC5A2	
P31644	P31644	GABRA5	
P31645	P31645	SLC6A4	
P31749	P31749	AKT1	
P31751	P31751	AKT2	
P31939	P31939	ATIC	
P32239	P32239	CCKBR	
P32245	P32245	MC4R	
P32246	P32246	CCR1	
P32247	P32247	BRS3	
P32745	P32745	SSTR3	
P33981	P33981	TTK	
P34913	P34913	EPHX2	
P34969	P34969	HTR7	
P35408	P35408	PTGER4	
P35462	P35462	DRD3	
P35557	P35557	GCK	
P35590	P35590	TIE1	
P35916	P35916	FLT4	
P35968	P35968	KDR	
P36507	P36507	MAP2K2	
P36544	P36544	CHRNA7	
P36639	P36639	NUDT1	
P36888	P36888	FLT3	
P36896	P36896	ACVR1B	
P36897	P36897	TGFBR1	
P36969	P36969	GPX4	
P37023	P37023	ACVRL1	
P37088	P37088	SCNN1A	
P37288	P37288	AVPR1A	
P37840	P37840	SNCA	
P39748	P39748	FEN1	
P39900	P39900	MMP12	
P40337	P40337	VHL	
P40763	P40763	STAT3	
P41143	P41143	OPRD1	
P41145	P41145	OPRK1	
P41146	P41146	OPRL1	
P41182	P41182	BCL6	
P41586	P41586	ADCYAP1R1	
P41594	P41594	GRM5	
P41595	P41595	HTR2B	
P42226	P42226	STAT6	
P42330	P42330	AKR1C3	
P42336	P42336	PIK3CA	
P42338	P42338	PIK3CB	
P42345	P42345	MTOR	
P42568	P42568	MLLT3	
P43003	P43003	SLC1A3	
P43004	P43004	SLC1A2	
P43088	P43088	PTGFR	
P43116	P43116	PTGER2	
P43119	P43119	PTGIR	
P43235	P43235	CTSK	
P43354	P43354	NR4A2	
P43405	P43405	SYK	
P43490	P43490	NAMPT	
P45452	P45452	MMP13	
P45983	P45983	MAPK8	
P45984	P45984	MAPK9	
P45985	P45985	MAP2K4	
P46092	P46092	CCR10	
P46663	P46663	BDKRB1	
P48039	P48039	MTNR1A	
P48426	P48426	PIP4K2A	
P48443	P48443	RXRG	
P48730	P48730	CSNK1D	
P48735	P48735	IDH2	
P48736	P48736	PIK3CG	
P48764	P48764	SLC9A3	
P49137	P49137	MAPKAPK2	
P49146	P49146	NPY2R	
P49286	P49286	MTNR1B	
P49327	P49327	FASN	
P49336	P49336	CDK8	
P49356	P49356	FNTB	
P49674	P49674	CSNK1E	
P49759	P49759	CLK1	
P49760	P49760	CLK2	
P49761	P49761	CLK3	
P49768	P49768	PSEN1	
P49770	P49770	EIF2B2	
P49840	P49840	GSK3A	
P49841	P49841	GSK3B	
P50053	P50053	KHK	
P50579	P50579	METAP2	
P50613	P50613	CDK7	
P50750	P50750	CDK9	
P51168	P51168	SCNN1B	
P51170	P51170	SCNN1G	
P51449	P51449	RORC	
P51531	P51531	SMARCA2	
P51532	P51532	SMARCA4	
P51617	P51617	IRAK1	
P51681	P51681	CCR5	
P51692	P51692	STAT5B	
P51787	P51787	KCNQ1	
P51788	P51788	CLCN2	
P51812	P51812	RPS6KA3	
P51813	P51813	BMX	
P51955	P51955	NEK2	
P52333	P52333	JAK3	
P52732	P52732	KIF11	
P53350	P53350	PLK1	
P53667	P53667	LIMK1	
P53671	P53671	LIMK2	
P53779	P53779	MAPK10	
P53985	P53985	SLC16A1	
P54687	P54687	BCAT1	
P54750	P54750	PDE1A	
P55055	P55055	NR1H2	
P55072	P55072	VCP	
P55201	P55201	BRPF1	
P56373	P56373	P2RX3	
P56817	P56817	BACE1	
P57059	P57059	SIK1	
P57789	P57789	KCNK10	
P58397	P58397	ADAMTS12	
P61619	P61619	SEC61A1	
P61964	P61964	WDR5	
P62942	P62942	FKBP1A	
P63267	P63267	ACTG2	
P68400	P68400	CSNK2A1	
P78356	P78356	PIP4K2B	
P78362	P78362	SRPK2	
P78527	P78527	PRKDC	
P80192	P80192	MAP3K9	
Q00534	Q00534	CDK6	
Q00535	Q00535	CDK5	
Q00536	Q00536	CDK16	
Q00537	Q00537	CDK17	
Q00987	Q00987	MDM2	
Q01064	Q01064	PDE1B	
Q01718	Q01718	MC2R	
Q02127	Q02127	DHODH	
Q02750	Q02750	MAP2K1	
Q02763	Q02763	TEK	
Q02779	Q02779	MAP3K10	
Q03111	Q03111	MLLT1	
Q03164	Q03164	KMT2A	
Q03181	Q03181	PPARD	
Q04771	Q04771	ACVR1	
Q04912	Q04912	MST1R	
Q05397	Q05397	PTK2	
Q05469	Q05469	LIPE	
Q06124	Q06124	PTPN11	
Q06187	Q06187	BTK	
Q06495	Q06495	SLC34A1	
Q07002	Q07002	CDK18	
Q07343	Q07343	PDE4B	
Q07817	Q07817	BCL2L1	
Q07820	Q07820	MCL1	
Q07869	Q07869	PPARA	
Q07889	Q07889	SOS1	
Q07912	Q07912	TNK2	
Q08211	Q08211	DHX9	
Q08345	Q08345	DDR1	
Q08881	Q08881	ITK	
Q09428	Q09428	ABCC8	
Q09472	Q09472	EP300	
Q10469	Q10469	MGAT2	
Q12830	Q12830	BPTF	
Q12852	Q12852	MAP3K12	
Q12866	Q12866	MERTK	
Q12879	Q12879	GRIN2A	
Q13085	Q13085	ACACA	
Q13131	Q13131	PRKAA1	
Q13133	Q13133	NR1H3	
Q13153	Q13153	PAK1	
Q13163	Q13163	MAP2K5	
Q13164	Q13164	MAPK7	
Q13177	Q13177	PAK2	
