inchikey	name	smiles	chembl_id	cansar_id	portal_path	published_date	pains	toxicophore	rating_in_cell	rating_in_organism	rating_count	reference	source_db
YHHFKWKMXWRVTJ-OQKWZONESA-N	JIB-04	Clc1ccc(N/N=C(\c2ccccc2)c2ccccn2)nc1		1354531	unsuitables/jib-04	2016-12-15	No	Yes	0	0	0		Chemical Probes Portal
MOUNHKKCIGVIDI-UHFFFAOYSA-L	AMI-1	O=C(Nc1ccc2c(O)cc(S(=O)(=O)[O-])cc2c1)Nc1ccc2c(O)cc(S(=O)(=O)[O-])cc2c1.[Na+].[Na+]	CHEMBL3109656	723373	unsuitables/ami-1	2017-03-07	No	No	0	0	0		Chemical Probes Portal
XVBGRTMNFNMINE-UHFFFAOYSA-N	XMD17-109	CCOc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)c1ccccc1C(=O)N2C	CHEMBL2381340	927800	unsuitables/xmd17-109	2016-12-15	No	No	0	0	0		Chemical Probes Portal
OMKHWTRUYNAGFG-IEBDPFPHSA-N	DZNep	Nc1nccc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O		1117457	unsuitables/dznep	2017-02-03	No	No	0	0	0		Chemical Probes Portal
PZPPOCZWRGNKIR-PNVYSBBASA-N	Chaetocin	CN1C(=O)[C@@]23C[C@]4([C@]56C[C@@]78SS[C@@](CO)(C(=O)N7[C@H]5Nc5ccccc56)N(C)C8=O)c5ccccc5N[C@@H]4N2C(=O)[C@]1(CO)SS3	CHEMBL1089316	915616	unsuitables/chaetocin	2017-02-03	No	Yes	0	0	0		Chemical Probes Portal
ZWNKKZSRANLVEW-UHFFFAOYSA-N	Epiblastin A	Nc1nc(N)c2nc(-c3cccc(Cl)c3)c(N)nc2n1		2922952	unsuitables/epiblastin	2020-12-05	No	No	0	0	0	http://www.cell.com/cell-chemical-biology/abstract/S2451-9456(16)30085-X|http://www.cell.com/cell-reports/abstract/S2211-1247(16)30362-X?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112471630362X%3Fshowall%3Dtruehttp://www.cell.com/cell-reports/abstract/S2211-1247(16)30362-X?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112471630362X%3F|https://pubmed.ncbi.nlm.nih.gov/27049670|https://pubmed.ncbi.nlm.nih.gov/27149845	Chemical Probes Portal
UXXQOJXBIDBUAC-UHFFFAOYSA-N	Tandutinib	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1	CHEMBL124660	848749	unsuitables/tandutinib	2016-12-09	No	No	0	0	0		Chemical Probes Portal
REFJWTPEDVJJIY-UHFFFAOYSA-N	Quercetin	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12		1305802	unsuitables/quercetin	2016-12-09	Yes	Yes	0	0	0		Chemical Probes Portal
PIMQWRZWLQKKBJ-SFHVURJKSA-N	Dinaciclib	CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12		256723	unsuitables/dinaciclib	2016-12-09	No	No	0	0	0		Chemical Probes Portal
WMBWREPUVVBILR-WIYYLYMNSA-N	Epigallocatechin-3-gallate (ECGC)	O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	CHEMBL297453	498738	unsuitables/epigallocatechin-3-gallate-ecgc	2016-12-09	Yes	Yes	0	0	0		Chemical Probes Portal
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	Resveratrol	Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1	CHEMBL165	96102	unsuitables/resveratrol	2016-12-09	No	No	0	0	0		Chemical Probes Portal
FIAFUQMPZJWCLV-UHFFFAOYSA-N	Suramin	Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1		1009853	unsuitables/suramin	2016-12-09	No	No	0	0	0		Chemical Probes Portal
ZEWQUBUPAILYHI-UHFFFAOYSA-N	Trifluoperazine	CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1		1899498	unsuitables/trifluoperazine	2016-12-09	No	No	0	0	0		Chemical Probes Portal
RRKRXIFOHFBLHY-YEZSYGFXSA-M	Fluoxetine glucuronide	CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O.[Na+]		3312909	unsuitables/fluoxetine-glucuronide	2016-12-09	No	No	0	0	0		Chemical Probes Portal
AOJJSUZBOXZQNB-TZSSRYMLSA-N	Doxorubicin	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1	CHEMBL53463	791569	unsuitables/doxorubicin	2016-12-09	Yes	Yes	0	0	0		Chemical Probes Portal
UHTHHESEBZOYNR-UHFFFAOYSA-N	Vandetanib	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1		233726	unsuitables/vandetanib	2016-12-09	No	No	0	0	0		Chemical Probes Portal
RITAVMQDGBJQJZ-FMIVXFBMSA-N	Axitinib	CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1		1927385	unsuitables/axitinib	2016-12-09	No	No	0	0	0		Chemical Probes Portal
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	NVP-TAE 226	CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl	CHEMBL458997	512994	unsuitables/nvp-tae-226	2016-12-09	No	No	0	0	0		Chemical Probes Portal
VAARYSWULJUGST-UHFFFAOYSA-N	PD173955	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1		158055	unsuitables/pd173955	2016-12-09	No	No	0	0	0		Chemical Probes Portal
