inchikey,target_key,moa,bioactivity_type,relation,value,unit,assay_type,assay_description,cell_line,concentration,concentration_unit,source_db,source,source_xref,xref_id
SGTNSNPWRIOYBX-MHZLTWQESA-N,TSHR,,pActMean,,4.75,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:3,
SGTNSNPWRIOYBX-MHZLTWQESA-N,CYP3A4,,pActMean,,5.618,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:3,
SGTNSNPWRIOYBX-MHZLTWQESA-N,ABCC1,,pActMean,,6.95,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:3,
KJHKTHWMRKYKJE-SUGCFTRWSA-N,ABCB1,,pActMean,,4.99,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:4,
KJHKTHWMRKYKJE-SUGCFTRWSA-N,KCNH2,,pActMean,,5.07,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:4,
KJHKTHWMRKYKJE-SUGCFTRWSA-N,CYP3A4,,pActMean,,6.13,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:4,
PTKHFRNHJULJKT-UHFFFAOYSA-N,HRH3,,pActMean,,9.23142857142857,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:9,
RQCXKDWOCUJWQZ-UHFFFAOYSA-N,ADK,,pActMean,,8.7,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:11,
IQVRBWUUXZMOPW-PKNBQFBNSA-N,ADORA2A,,pActMean,,7.14705882352941,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:12,
IQVRBWUUXZMOPW-PKNBQFBNSA-N,ADORA1,,pActMean,,5.73111111111111,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:12,
IQVRBWUUXZMOPW-PKNBQFBNSA-N,ADORA3,,pActMean,,5.35,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:12,
IQVRBWUUXZMOPW-PKNBQFBNSA-N,ADORA2B,,pActMean,,5.74,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:12,
WBWFIUAVMCNYPG-BQYQJAHWSA-N,ADORA2B,,pActMean,,5.09,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:15,
WBWFIUAVMCNYPG-BQYQJAHWSA-N,ADORA2A,,pActMean,,7.055,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:15,
WBWFIUAVMCNYPG-BQYQJAHWSA-N,AHR,,pActMean,,5.48,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:15,
WBWFIUAVMCNYPG-BQYQJAHWSA-N,MAOB,,pActMean,,7.02714285714286,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:15,
XSDQTOBWRPYKKA-UHFFFAOYSA-N,ADORA2A,,pActMean,,5.11333333333333,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:16,
XSDQTOBWRPYKKA-UHFFFAOYSA-N,SLC9A1,,pActMean,,4.22,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:16,
XSDQTOBWRPYKKA-UHFFFAOYSA-N,SLC22A1,,pActMean,,4.24,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:16,
XSDQTOBWRPYKKA-UHFFFAOYSA-N,HSD17B10,,pActMean,,4.5,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:16,
UTLPKQYUXOEJIL-UHFFFAOYSA-N,ADORA1,,pActMean,,6.2525,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:17,
UTLPKQYUXOEJIL-UHFFFAOYSA-N,ADORA2A,,pActMean,,8.81230769230769,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:17,
UTLPKQYUXOEJIL-UHFFFAOYSA-N,CYP3A4,,pActMean,,4.5,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:17,
UTLPKQYUXOEJIL-UHFFFAOYSA-N,HSD17B10,,pActMean,,4.6,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:17,
UTLPKQYUXOEJIL-UHFFFAOYSA-N,ADORA3,,pActMean,,5.92,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:17,
UTLPKQYUXOEJIL-UHFFFAOYSA-N,ADORA2B,,pActMean,,5.95,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:17,
UTLPKQYUXOEJIL-UHFFFAOYSA-N,ALOX15,,pActMean,,4.7,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:17,
MSJODEOZODDVGW-UHFFFAOYSA-N,MTOR,,pActMean,,5.23,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:18,
MSJODEOZODDVGW-UHFFFAOYSA-N,HIF1A,,pActMean,,5.3,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:18,
MSJODEOZODDVGW-UHFFFAOYSA-N,ADORA1,,pActMean,,8.355,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:18,
MSJODEOZODDVGW-UHFFFAOYSA-N,ADORA3,,pActMean,,7.13416666666667,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:18,
MSJODEOZODDVGW-UHFFFAOYSA-N,ADORA2A,,pActMean,,9.09928571428572,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:18,
MSJODEOZODDVGW-UHFFFAOYSA-N,ADORA2B,,pActMean,,7.46375,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:18,
JADDQZYHOWSFJD-FLNNQWSLSA-N,ADORA2B,,pActMean,,6.47631578947369,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:19,
JADDQZYHOWSFJD-FLNNQWSLSA-N,ADORA2A/ADORA2B,,pActMean,,6.87,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:19,
JADDQZYHOWSFJD-FLNNQWSLSA-N,ADORA2A,,pActMean,,7.6428,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:19,
JADDQZYHOWSFJD-FLNNQWSLSA-N,ADORA1,,pActMean,,7.91382352941177,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:19,
JADDQZYHOWSFJD-FLNNQWSLSA-N,ADORA3,,pActMean,,7.34810810810811,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:19,
JADDQZYHOWSFJD-FLNNQWSLSA-N,MAPK1,,pActMean,,5.05,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:19,
JADDQZYHOWSFJD-FLNNQWSLSA-N,RXFP1,,pActMean,,5.9,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:19,
FFBDFADSZUINTG-UHFFFAOYSA-N,ADORA2A,,pActMean,,6.6408,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:21,
FFBDFADSZUINTG-UHFFFAOYSA-N,ADORA1,,pActMean,,8.53972222222222,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:21,
FFBDFADSZUINTG-UHFFFAOYSA-N,ADORA3,,pActMean,,5.89833333333333,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:21,
FFBDFADSZUINTG-UHFFFAOYSA-N,ADORA2A/ADORA2B,,pActMean,,6.8,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:21,
FFBDFADSZUINTG-UHFFFAOYSA-N,ADORA2B,,pActMean,,7.016,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:21,
DNDONDMNEQXUBC-HBGPKNEHSA-N,ADORA1,,pActMean,,5.98,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:22,
DNDONDMNEQXUBC-HBGPKNEHSA-N,ADORA2B,,pActMean,,7.09,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:22,
DNDONDMNEQXUBC-HBGPKNEHSA-N,ADORA2A,,pActMean,,5.81,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:22,
PJFMAVHETLRJHJ-UHFFFAOYSA-N,ADORA1,,pActMean,,5.87,-log10(M),,,,,,SPARK-PNAS,,IndexSpark1.01:23,
