target_key,type,name
AADAT,protein,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"
AAK1,protein,AP2-associated protein kinase 1
ABCB1,protein,ATP-dependent translocase ABCB1
ABCB11,protein,Bile salt export pump
ABCC1,protein,Multidrug resistance-associated protein 1
ABCC2,protein,ATP-binding cassette sub-family C member 2
ABCC4,protein,ATP-binding cassette sub-family C member 4
ABCC8/KCNJ11,complex,ATP-binding cassette sub-family C member 8 / ATP-sensitive inward rectifier potassium channel 11
ABCC9,protein,ATP-binding cassette sub-family C member 9
ABCG2,protein,Broad substrate specificity ATP-binding cassette transporter ABCG2
ABHD12,protein,Lysophosphatidylserine lipase ABHD12
ABHD6,protein,Monoacylglycerol lipase ABHD6
ABL1,protein,Tyrosine-protein kinase ABL1
ABL2,protein,Tyrosine-protein kinase ABL2
ABL2/ABL1,complex,Tyrosine-protein kinase ABL2 / Tyrosine-protein kinase ABL1
ACACA,protein,Acetyl-CoA carboxylase 1
ACACB,protein,Acetyl-CoA carboxylase 2
ACE,protein,Angiotensin-converting enzyme
ACHE,protein,Acetylcholinesterase
ACLY,protein,ATP-citrate synthase
ACVR1,protein,Activin receptor type-1
ACVR1B,protein,Activin receptor type-1B
ACVR2A,protein,Activin receptor type-2A
ACVR2B,protein,Activin receptor type-2B
ACVRL1,protein,Activin receptor type-1-like
ADAM17,protein,Disintegrin and metalloproteinase domain-containing protein 17
ADAMTS4,protein,A disintegrin and metalloproteinase with thrombospondin motifs 4
ADAMTS5,protein,A disintegrin and metalloproteinase with thrombospondin motifs 5
ADK,protein,Adenosine kinase
ADORA1,protein,Adenosine receptor A1
ADORA2A,protein,Adenosine receptor A2a
ADORA2A/ADORA2B,complex,Adenosine receptor A2a / Adenosine receptor A2b
ADORA2B,protein,Adenosine receptor A2b
ADORA3,protein,Adenosine receptor A3
ADRA1A,protein,Alpha-1D adrenergic receptor
