uniprot_id,target_key,hgnc,species
Q8N5Z0,AADAT,AADAT,Homo sapiens
Q2M2I8,AAK1,AAK1,Homo sapiens
P08183,ABCB1,ABCB1,Homo sapiens
O95342,ABCB11,ABCB11,Homo sapiens
P33527,ABCC1,ABCC1,Homo sapiens
Q92887,ABCC2,ABCC2,Homo sapiens
O15439,ABCC4,ABCC4,Homo sapiens
Q09428,ABCC8/KCNJ11,ABCC8,Homo sapiens
Q14654,ABCC8/KCNJ11,KCNJ11,Homo sapiens
O60706,ABCC9,ABCC9,Homo sapiens
Q9UNQ0,ABCG2,ABCG2,Homo sapiens
Q8N2K0,ABHD12,ABHD12,Homo sapiens
Q9BV23,ABHD6,ABHD6,Homo sapiens
P00519,ABL1,ABL1,Homo sapiens
P42684,ABL2,ABL2,Homo sapiens
P00519,ABL2/ABL1,ABL1,Homo sapiens
P42684,ABL2/ABL1,ABL2,Homo sapiens
Q13085,ACACA,ACACA,Homo sapiens
O00763,ACACB,ACACB,Homo sapiens
P12821,ACE,ACE,Homo sapiens
P22303,ACHE,ACHE,Homo sapiens
P53396,ACLY,ACLY,Homo sapiens
Q04771,ACVR1,ACVR1,Homo sapiens
P36896,ACVR1B,ACVR1B,Homo sapiens
P27037,ACVR2A,ACVR2A,Homo sapiens
Q13705,ACVR2B,ACVR2B,Homo sapiens
P37023,ACVRL1,ACVRL1,Homo sapiens
P78536,ADAM17,ADAM17,Homo sapiens
O75173,ADAMTS4,ADAMTS4,Homo sapiens
Q9UNA0,ADAMTS5,ADAMTS5,Homo sapiens
P55263,ADK,ADK,Homo sapiens
P30542,ADORA1,ADORA1,Homo sapiens
P29274,ADORA2A,ADORA2A,Homo sapiens
P29274,ADORA2A/ADORA2B,ADORA2A,Homo sapiens
P29275,ADORA2A/ADORA2B,ADORA2B,Homo sapiens
P29275,ADORA2B,ADORA2B,Homo sapiens
P0DMS8,ADORA3,ADORA3,Homo sapiens
P25100,ADRA1A,ADRA1A,Homo sapiens
P25100,ADRA1A/ADRA1B/ADRA1D,ADRA1A,Homo sapiens
P35368,ADRA1A/ADRA1B/ADRA1D,ADRA1B,Homo sapiens
P25100,ADRA1A/ADRA1B/ADRA1D,ADRA1D,Homo sapiens
P35368,ADRA1B,ADRA1B,Homo sapiens
P25100,ADRA1D,ADRA1D,Homo sapiens
P08913,ADRA2A,ADRA2A,Homo sapiens
P18089,ADRA2B,ADRA2B,Homo sapiens
P18825,ADRA2C,ADRA2C,Homo sapiens
P25100,ADRA2C/ADRA2A/ADRA1B/ADRA1A/ADRA1D/ADRA2B,ADRA1A,Homo sapiens
P35368,ADRA2C/ADRA2A/ADRA1B/ADRA1A/ADRA1D/ADRA2B,ADRA1B,Homo sapiens
P25100,ADRA2C/ADRA2A/ADRA1B/ADRA1A/ADRA1D/ADRA2B,ADRA1D,Homo sapiens
P08913,ADRA2C/ADRA2A/ADRA1B/ADRA1A/ADRA1D/ADRA2B,ADRA2A,Homo sapiens
P18089,ADRA2C/ADRA2A/ADRA1B/ADRA1A/ADRA1D/ADRA2B,ADRA2B,Homo sapiens
P18825,ADRA2C/ADRA2A/ADRA1B/ADRA1A/ADRA1D/ADRA2B,ADRA2C,Homo sapiens
P08588,ADRB1,ADRB1,Homo sapiens
P07550,ADRB2,ADRB2,Homo sapiens
P13945,ADRB3,ADRB3,Homo sapiens
P30556,AGTR1,AGTR1,Homo sapiens
P35869,AHR,AHR,Homo sapiens
P14550,AKR1A1,AKR1A1,Homo sapiens
P15121,AKR1B1,AKR1B1,Homo sapiens
O60218,AKR1B10,AKR1B10,Homo sapiens
Q04828,AKR1C1,AKR1C1,Homo sapiens
P52895,AKR1C2,AKR1C2,Homo sapiens
P42330,AKR1C3,AKR1C3,Homo sapiens
P17516,AKR1C4,AKR1C4,Homo sapiens
P31749,AKT1,AKT1,Homo sapiens
P31751,AKT2,AKT2,Homo sapiens
Q9Y243,AKT3,AKT3,Homo sapiens
Q8TES7,ALB,ALB,Homo sapiens
P00352,ALDH1A1,ALDH1A1,Homo sapiens
P05091,ALDH2,ALDH2,Homo sapiens
P30838,ALDH3A1,ALDH3A1,Homo sapiens
Q9UM73,ALK,ALK,Homo sapiens
P18054,ALOX12,ALOX12,Homo sapiens
P16050,ALOX15,ALOX15,Homo sapiens
P09917,ALOX5,ALOX5,Homo sapiens
P20292,ALOX5AP,ALOX5AP,Homo sapiens
P05186,ALPL,ALPL,Homo sapiens
P10696,ALPPL2,ALPPL2,Homo sapiens
P0DUB6,AMY1A/AMY1B/AMY1C,AMY1A,Homo sapiens
P0DTE7,AMY1A/AMY1B/AMY1C,AMY1B,Homo sapiens
P0DTE8,AMY1A/AMY1B/AMY1C,AMY1C,Homo sapiens
Q8NFD2,ANKK1,ANKK1,Homo sapiens
P15144,ANPEP,ANPEP,Homo sapiens
Q06278,AOX1,AOX1,Homo sapiens
P27695,APEX1,APEX1,Homo sapiens
P31941,APOBEC3A,APOBEC3A,Homo sapiens
Q9HC16,APOBEC3G,APOBEC3G,Homo sapiens
P05067,APP,APP,Homo sapiens
P10275,AR,AR,Homo sapiens
P10398,ARAF,ARAF,Homo sapiens
Q9Y4P1,ATG4B,ATG4B,Homo sapiens
P31939,ATIC,ATIC,Homo sapiens
P05023,ATP1A1,ATP1A1,Homo sapiens
O14965,AURKA,AURKA,Homo sapiens
Q96GD4,AURKB,AURKB,Homo sapiens
Q9UQB9,AURKC,AURKC,Homo sapiens
P37288,AVPR1A,AVPR1A,Homo sapiens
P47901,AVPR1B,AVPR1B,Homo sapiens
P30518,AVPR2,AVPR2,Homo sapiens
Q9Y2T1,AXIN2,AXIN2,Homo sapiens
P30530,AXL,AXL,Homo sapiens
P25100,Adra1d/Adra1a,Adra1a,Homo sapiens
P25100,Adra1d/Adra1a,Adra1d,Homo sapiens
P56817,BACE1,BACE1,Homo sapiens
Q9Y5Z0,BACE2,BACE2,Homo sapiens
Q92934,BAD,BAD,Homo sapiens
O75936,BBOX1,BBOX1,Homo sapiens
P06276,BCHE,BCHE,Homo sapiens
P10415,BCL2,BCL2,Homo sapiens
Q16548,BCL2A1,BCL2A1,Homo sapiens
Q07817,BCL2L1,BCL2L1,Homo sapiens
Q9HD36,BCL2L10,BCL2L10,Homo sapiens
Q92843,BCL2L2,BCL2L2,Homo sapiens
P00519,BCR/ABL1,ABL1,Homo sapiens
P11274,BCR/ABL1,BCR,Homo sapiens
Q13490,BIRC2,BIRC2,Homo sapiens
Q13489,BIRC3,BIRC3,Homo sapiens
P51451,BLK,BLK,Homo sapiens
P54132,BLM,BLM,Homo sapiens
Q9NSY1,BMP2K,BMP2K,Homo sapiens
P36894,BMPR1A,BMPR1A,Homo sapiens
O00238,BMPR1B,BMPR1B,Homo sapiens
Q13873,BMPR2,BMPR2,Homo sapiens
P51813,BMX,BMX,Homo sapiens
P15056,BRAF,BRAF,Homo sapiens
P38398,BRCA1,BRCA1,Homo sapiens
P25440,BRD2,BRD2,Homo sapiens
Q15059,BRD3,BRD3,Homo sapiens
O60885,BRD4,BRD4,Homo sapiens
Q58F21,BRDT,BRDT,Homo sapiens
Q8TDC3,BRSK1,BRSK1,Homo sapiens
Q8IWQ3,BRSK2,BRSK2,Homo sapiens
Q9NSI6,BRWD1,BRWD1,Homo sapiens
Q06187,BTK,BTK,Homo sapiens
P00915,CA1,CA1,Homo sapiens
O43570,CA12,CA12,Homo sapiens
Q8N1Q1,CA13,CA13,Homo sapiens
Q9ULX7,CA14,CA14,Homo sapiens
P00918,CA2,CA2,Homo sapiens
P07451,CA3,CA3,Homo sapiens
P22748,CA4,CA4,Homo sapiens
P00915,CA4/CA14/CA5A/CA7/CA5B/CA3/CA2/CA13/CA1/CA12/CA6/CA9,CA1,Homo sapiens
O43570,CA4/CA14/CA5A/CA7/CA5B/CA3/CA2/CA13/CA1/CA12/CA6/CA9,CA12,Homo sapiens
Q8N1Q1,CA4/CA14/CA5A/CA7/CA5B/CA3/CA2/CA13/CA1/CA12/CA6/CA9,CA13,Homo sapiens
Q9ULX7,CA4/CA14/CA5A/CA7/CA5B/CA3/CA2/CA13/CA1/CA12/CA6/CA9,CA14,Homo sapiens
P00918,CA4/CA14/CA5A/CA7/CA5B/CA3/CA2/CA13/CA1/CA12/CA6/CA9,CA2,Homo sapiens
P07451,CA4/CA14/CA5A/CA7/CA5B/CA3/CA2/CA13/CA1/CA12/CA6/CA9,CA3,Homo sapiens
P22748,CA4/CA14/CA5A/CA7/CA5B/CA3/CA2/CA13/CA1/CA12/CA6/CA9,CA4,Homo sapiens
P35218,CA4/CA14/CA5A/CA7/CA5B/CA3/CA2/CA13/CA1/CA12/CA6/CA9,CA5A,Homo sapiens
Q9Y2D0,CA4/CA14/CA5A/CA7/CA5B/CA3/CA2/CA13/CA1/CA12/CA6/CA9,CA5B,Homo sapiens
P23280,CA4/CA14/CA5A/CA7/CA5B/CA3/CA2/CA13/CA1/CA12/CA6/CA9,CA6,Homo sapiens
P43166,CA4/CA14/CA5A/CA7/CA5B/CA3/CA2/CA13/CA1/CA12/CA6/CA9,CA7,Homo sapiens
Q16790,CA4/CA14/CA5A/CA7/CA5B/CA3/CA2/CA13/CA1/CA12/CA6/CA9,CA9,Homo sapiens
P35218,CA5A,CA5A,Homo sapiens
P35218,CA5A/CA5B,CA5A,Homo sapiens
Q9Y2D0,CA5A/CA5B,CA5B,Homo sapiens
Q9Y2D0,CA5B,CA5B,Homo sapiens
P23280,CA6,CA6,Homo sapiens
P43166,CA7,CA7,Homo sapiens
Q16790,CA9,CA9,Homo sapiens
Q00975,CACNA1B,CACNA1B,Homo sapiens
Q13936,CACNA1C,CACNA1C,Homo sapiens
Q01668,CACNA1D,CACNA1D,Homo sapiens
O43497,CACNA1G,CACNA1G,Homo sapiens
O95180,CACNA1H,CACNA1H,Homo sapiens
P54289,CACNA2D1,CACNA2D1,Homo sapiens
Q13936,CACNB2/CACNA1C,CACNA1C,Homo sapiens
Q08289,CACNB2/CACNA1C,CACNB2,Homo sapiens
P0DP23,CALM1/CALM3/CALM2,CALM1,Homo sapiens
P0DP24,CALM1/CALM3/CALM2,CALM2,Homo sapiens
P0DP25,CALM1/CALM3/CALM2,CALM3,Homo sapiens
Q14012,CAMK1,CAMK1,Homo sapiens
Q8IU85,CAMK1D,CAMK1D,Homo sapiens
Q96NX5,CAMK1G,CAMK1G,Homo sapiens
Q9UQM7,CAMK2A,CAMK2A,Homo sapiens
Q13554,CAMK2B,CAMK2B,Homo sapiens
Q13557,CAMK2D,CAMK2D,Homo sapiens
Q9UQM7,CAMK2D/CAMK2B/CAMK2G/CAMK2A,CAMK2A,Homo sapiens
Q13554,CAMK2D/CAMK2B/CAMK2G/CAMK2A,CAMK2B,Homo sapiens
Q13557,CAMK2D/CAMK2B/CAMK2G/CAMK2A,CAMK2D,Homo sapiens
Q13555,CAMK2D/CAMK2B/CAMK2G/CAMK2A,CAMK2G,Homo sapiens
Q13555,CAMK2G,CAMK2G,Homo sapiens
Q16566,CAMK4,CAMK4,Homo sapiens
Q8N5S9,CAMKK1,CAMKK1,Homo sapiens
Q96RR4,CAMKK2,CAMKK2,Homo sapiens
P07384,CAPN1/CAPNS1,CAPN1,Homo sapiens
P04632,CAPN1/CAPNS1,CAPNS1,Homo sapiens
Q86X55,CARM1,CARM1,Homo sapiens
P29466,CASP1,CASP1,Homo sapiens
P42574,CASP3,CASP3,Homo sapiens
P41180,CASR,CASR,Homo sapiens
P16152,CBR1,CBR1,Homo sapiens
P32238,CCKAR,CCKAR,Homo sapiens
P32239,CCKBR,CCKBR,Homo sapiens
P13500,CCL2,CCL2,Homo sapiens
P78396,CCNA1/CDK2,CCNA1,Homo sapiens
P24941,CCNA1/CDK2,CDK2,Homo sapiens
P20248,CCNA2/CDK1,CCNA2,Homo sapiens
P06493,CCNA2/CDK1,CDK1,Homo sapiens
P20248,CCNA2/CDK2,CCNA2,Homo sapiens
P24941,CCNA2/CDK2,CDK2,Homo sapiens
P14635,CCNB3/CDK1/CCNB1/CCNB2,CCNB1,Homo sapiens
O95067,CCNB3/CDK1/CCNB1/CCNB2,CCNB2,Homo sapiens
Q8WWL7,CCNB3/CDK1/CCNB1/CCNB2,CCNB3,Homo sapiens
P06493,CCNB3/CDK1/CCNB1/CCNB2,CDK1,Homo sapiens
P24385,CCND1/CDK4,CCND1,Homo sapiens
P11802,CCND1/CDK4,CDK4,Homo sapiens
P24385,CCND1/CDK6,CCND1,Homo sapiens
Q00534,CCND1/CDK6,CDK6,Homo sapiens
P24864,CCNE1/CDK2,CCNE1,Homo sapiens
P24941,CCNE1/CDK2,CDK2,Homo sapiens
P24864,CCNE1/CDK3,CCNE1,Homo sapiens
Q00526,CCNE1/CDK3,CDK3,Homo sapiens
P24864,CCNE2/CDK2/CCNE1,CCNE1,Homo sapiens
O96020,CCNE2/CDK2/CCNE1,CCNE2,Homo sapiens
P24941,CCNE2/CDK2/CCNE1,CDK2,Homo sapiens
O75909,CCNK/CDK9,CCNK,Homo sapiens
P50750,CCNK/CDK9,CDK9,Homo sapiens
P41597,CCR2,CCR2,Homo sapiens
P51679,CCR4,CCR4,Homo sapiens
P51681,CCR5,CCR5,Homo sapiens
P51686,CCR9,CCR9,Homo sapiens
P28907,CD38,CD38,Homo sapiens
P30304,CDC25A,CDC25A,Homo sapiens
P30305,CDC25B,CDC25B,Homo sapiens
P30307,CDC25C,CDC25C,Homo sapiens
Q5VT25,CDC42BPA,CDC42BPA,Homo sapiens
Q9Y5S2,CDC42BPB,CDC42BPB,Homo sapiens
Q6DT37,CDC42BPG,CDC42BPG,Homo sapiens
O00311,CDC7,CDC7,Homo sapiens
P06493,CDK1,CDK1,Homo sapiens
P14635,CDK1/CCNB1,CCNB1,Homo sapiens
P06493,CDK1/CCNB1,CDK1,Homo sapiens
Q9UQ88,CDK11A,CDK11A,Homo sapiens
P21127,CDK11B,CDK11B,Homo sapiens
O94921,CDK14,CDK14,Homo sapiens
Q00536,CDK16,CDK16,Homo sapiens
Q00537,CDK17,CDK17,Homo sapiens
Q07002,CDK18,CDK18,Homo sapiens
Q9BWU1,CDK19,CDK19,Homo sapiens
P24941,CDK2,CDK2,Homo sapiens
P78396,CDK2/CCNA1/CCNA2,CCNA1,Homo sapiens
P20248,CDK2/CCNA1/CCNA2,CCNA2,Homo sapiens
P24941,CDK2/CCNA1/CCNA2,CDK2,Homo sapiens
Q00526,CDK3,CDK3,Homo sapiens
P11802,CDK4,CDK4,Homo sapiens
Q00535,CDK5,CDK5,Homo sapiens
Q00535,CDK5R1/CDK5,CDK5,Homo sapiens
Q15078,CDK5R1/CDK5,CDK5R1,Homo sapiens
Q00534,CDK6,CDK6,Homo sapiens
P50613,CDK7,CDK7,Homo sapiens
P51946,CDK7/CCNH,CCNH,Homo sapiens
P50613,CDK7/CCNH,CDK7,Homo sapiens
P49336,CDK8,CDK8,Homo sapiens
P50750,CDK9,CDK9,Homo sapiens
O60563,CDK9/CCNT1,CCNT1,Homo sapiens
P50750,CDK9/CCNT1,CDK9,Homo sapiens
Q9UNI1,CELA1,CELA1,Homo sapiens
P23141,CES1,CES1,Homo sapiens
P23141,CES2,CES2,Homo sapiens
P13569,CFTR,CFTR,Homo sapiens
O14757,CHEK1,CHEK1,Homo sapiens
O96017,CHEK2,CHEK2,Homo sapiens
P11229,CHRM1,CHRM1,Homo sapiens
P08172,CHRM2,CHRM2,Homo sapiens
P20309,CHRM3,CHRM3,Homo sapiens
P08173,CHRM4,CHRM4,Homo sapiens
P08912,CHRM5,CHRM5,Homo sapiens
P02708,CHRNA1,CHRNA1,Homo sapiens
P32297,CHRNA3,CHRNA3,Homo sapiens
P32297,CHRNA3/CHRNB1/CHRNB4/CHRNB2/CHRNB3,CHRNA3,Homo sapiens
P11230,CHRNA3/CHRNB1/CHRNB4/CHRNB2/CHRNB3,CHRNB1,Homo sapiens
P17787,CHRNA3/CHRNB1/CHRNB4/CHRNB2/CHRNB3,CHRNB2,Homo sapiens
Q05901,CHRNA3/CHRNB1/CHRNB4/CHRNB2/CHRNB3,CHRNB3,Homo sapiens
P30926,CHRNA3/CHRNB1/CHRNB4/CHRNB2/CHRNB3,CHRNB4,Homo sapiens
P32297,CHRNA3/CHRNB4,CHRNA3,Homo sapiens
P30926,CHRNA3/CHRNB4,CHRNB4,Homo sapiens
P43681,CHRNA4,CHRNA4,Homo sapiens
P43681,CHRNA4/CHRNB2,CHRNA4,Homo sapiens
P17787,CHRNA4/CHRNB2,CHRNB2,Homo sapiens
P32297,CHRNA5/CHRNA3/CHRNB4/CHRNB2,CHRNA3,Homo sapiens
P30532,CHRNA5/CHRNA3/CHRNB4/CHRNB2,CHRNA5,Homo sapiens
P17787,CHRNA5/CHRNA3/CHRNB4/CHRNB2,CHRNB2,Homo sapiens
P30926,CHRNA5/CHRNA3/CHRNB4/CHRNB2,CHRNB4,Homo sapiens
P36544,CHRNA7,CHRNA7,Homo sapiens
P02708,CHRNB1/CHRNA1/CHRNG/CHRND,CHRNA1,Homo sapiens
P11230,CHRNB1/CHRNA1/CHRNG/CHRND,CHRNB1,Homo sapiens
Q07001,CHRNB1/CHRNA1/CHRNG/CHRND,CHRND,Homo sapiens
P07510,CHRNB1/CHRNA1/CHRNG/CHRND,CHRNG,Homo sapiens
P32297,CHRNB3/CHRNA6/CHRNB2/CHRNA3,CHRNA3,Homo sapiens
Q15825,CHRNB3/CHRNA6/CHRNB2/CHRNA3,CHRNA6,Homo sapiens
P17787,CHRNB3/CHRNA6/CHRNB2/CHRNA3,CHRNB2,Homo sapiens
Q05901,CHRNB3/CHRNA6/CHRNB2/CHRNA3,CHRNB3,Homo sapiens
P02708,CHRNB4/CHRNA1,CHRNA1,Homo sapiens
P30926,CHRNB4/CHRNA1,CHRNB4,Homo sapiens
P43681,CHRNB4/CHRNA4,CHRNA4,Homo sapiens
P30926,CHRNB4/CHRNA4,CHRNB4,Homo sapiens
P02708,CHRND/CHRNE/CHRNB1/CHRNG/CHRNA1,CHRNA1,Homo sapiens
P11230,CHRND/CHRNE/CHRNB1/CHRNG/CHRNA1,CHRNB1,Homo sapiens
Q07001,CHRND/CHRNE/CHRNB1/CHRNG/CHRNA1,CHRND,Homo sapiens
Q04844,CHRND/CHRNE/CHRNB1/CHRNG/CHRNA1,CHRNE,Homo sapiens
P07510,CHRND/CHRNE/CHRNB1/CHRNG/CHRNA1,CHRNG,Homo sapiens
O15111,CHUK,CHUK,Homo sapiens
O14578,CIT,CIT,Homo sapiens
P49759,CLK1,CLK1,Homo sapiens
P49760,CLK2,CLK2,Homo sapiens
P49761,CLK3,CLK3,Homo sapiens
Q9HAZ1,CLK4,CLK4,Homo sapiens
P23946,CMA1,CMA1,Homo sapiens
P21554,CNR1,CNR1,Homo sapiens
P34972,CNR2,CNR2,Homo sapiens
Q8NI60,COQ8A,COQ8A,Homo sapiens
Q96D53,COQ8B,COQ8B,Homo sapiens
Q92793,CREBBP,CREBBP,Homo sapiens
P34998,CRHR1,CRHR1,Homo sapiens
P07333,CSF1R,CSF1R,Homo sapiens
P41240,CSK,CSK,Homo sapiens
Q8N752,CSNK1A1L,CSNK1A1L,Homo sapiens
P48730,CSNK1D,CSNK1D,Homo sapiens
P49674,CSNK1E,CSNK1E,Homo sapiens
Q9HCP0,CSNK1G1,CSNK1G1,Homo sapiens
P78368,CSNK1G2,CSNK1G2,Homo sapiens
Q9Y6M4,CSNK1G3,CSNK1G3,Homo sapiens
P68400,CSNK2A1,CSNK2A1,Homo sapiens
P19784,CSNK2A2,CSNK2A2,Homo sapiens
P68400,CSNK2B/CSNK2A2/CSNK2A1,CSNK2A1,Homo sapiens
P19784,CSNK2B/CSNK2A2/CSNK2A1,CSNK2A2,Homo sapiens
P67870,CSNK2B/CSNK2A2/CSNK2A1,CSNK2B,Homo sapiens
P17538,CTRB1,CTRB1,Homo sapiens
P07858,CTSB,CTSB,Homo sapiens
P53634,CTSC,CTSC,Homo sapiens
P07339,CTSD,CTSD,Homo sapiens
P09668,CTSH,CTSH,Homo sapiens
P43235,CTSK,CTSK,Homo sapiens
P07711,CTSL,CTSL,Homo sapiens
P25774,CTSS,CTSS,Homo sapiens
O60911,CTSV,CTSV,Homo sapiens
P49238,CX3CR1,CX3CR1,Homo sapiens
P10145,CXCL8,CXCL8,Homo sapiens
P25024,CXCR1,CXCR1,Homo sapiens
P25025,CXCR2,CXCR2,Homo sapiens
P25024,CXCR2/CXCR1,CXCR1,Homo sapiens
P25025,CXCR2/CXCR1,CXCR2,Homo sapiens
P61073,CXCR4,CXCR4,Homo sapiens
P15538,CYP11B1,CYP11B1,Homo sapiens
P19099,CYP11B2,CYP11B2,Homo sapiens
P05093,CYP17A1,CYP17A1,Homo sapiens
P11511,CYP19A1,CYP19A1,Homo sapiens
P04798,CYP1A1,CYP1A1,Homo sapiens
P05177,CYP1A2,CYP1A2,Homo sapiens
Q16678,CYP1B1,CYP1B1,Homo sapiens
Q07973,CYP24A1,CYP24A1,Homo sapiens
O43174,CYP26A1,CYP26A1,Homo sapiens
Q16696,CYP2A13,CYP2A13,Homo sapiens
P11509,CYP2A6,CYP2A6,Homo sapiens
P20813,CYP2B6,CYP2B6,Homo sapiens
P33261,CYP2C19,CYP2C19,Homo sapiens
P10632,CYP2C8,CYP2C8,Homo sapiens
P11712,CYP2C9,CYP2C9,Homo sapiens
P10635,CYP2D6,CYP2D6,Homo sapiens
P51589,CYP2J2,CYP2J2,Homo sapiens
P08684,CYP3A4,CYP3A4,Homo sapiens
P20815,CYP3A5,CYP3A5,Homo sapiens
P78329,CYP4F2,CYP4F2,Homo sapiens
Q16850,CYP51A1,CYP51A1,Homo sapiens
Q9Y271,CYSLTR1,CYSLTR1,Homo sapiens
Q9NS75,CYSLTR2,CYSLTR2,Homo sapiens
Q9Y4D2,DAGLA,DAGLA,Homo sapiens
Q8NCG7,DAGLB,DAGLB,Homo sapiens
P14920,DAO,DAO,Homo sapiens
P53355,DAPK1,DAPK1,Homo sapiens
Q9UIK4,DAPK2,DAPK2,Homo sapiens
O43293,DAPK3,DAPK3,Homo sapiens
O15075,DCLK1,DCLK1,Homo sapiens
Q8N568,DCLK2,DCLK2,Homo sapiens
Q9C098,DCLK3,DCLK3,Homo sapiens
Q99489,DDO,DDO,Homo sapiens
Q08345,DDR1,DDR1,Homo sapiens
Q16832,DDR2,DDR2,Homo sapiens
O75907,DGAT1,DGAT1,Homo sapiens
P00374,DHFR,DHFR,Homo sapiens
Q02127,DHODH,DHODH,Homo sapiens
Q9BPW9,DHRS9,DHRS9,Homo sapiens
Q09013,DMPK,DMPK,Homo sapiens
P26358,DNMT1,DNMT1,Homo sapiens
Q9Y6K1,DNMT3A,DNMT3A,Homo sapiens
Q9UBC3,DNMT3B,DNMT3B,Homo sapiens
Q9Y6K1,DNMT3L/DNMT3A,DNMT3A,Homo sapiens
Q9UJW3,DNMT3L/DNMT3A,DNMT3L,Homo sapiens
Q8TEK3,DOT1L,DOT1L,Homo sapiens
P27487,DPP4,DPP4,Homo sapiens
Q9UHL4,DPP7,DPP7,Homo sapiens
Q6V1X1,DPP8,DPP8,Homo sapiens
Q86TI2,DPP9,DPP9,Homo sapiens
P21728,DRD1,DRD1,Homo sapiens
P14416,DRD2,DRD2,Homo sapiens
P35462,DRD3,DRD3,Homo sapiens
P21917,DRD4,DRD4,Homo sapiens
P21918,DRD5,DRD5,Homo sapiens
Q13627,DYRK1A,DYRK1A,Homo sapiens
Q9Y463,DYRK1B,DYRK1B,Homo sapiens
Q92630,DYRK2,DYRK2,Homo sapiens
P14416,Drd2,Drd2,Homo sapiens
Q13627,Dyrk1a,Dyrk1a,Homo sapiens
Q15125,EBP,EBP,Homo sapiens
O75530,EED/SUZ12/EZH2,EED,Homo sapiens
Q15910,EED/SUZ12/EZH2,EZH2,Homo sapiens
Q15022,EED/SUZ12/EZH2,SUZ12,Homo sapiens
O00418,EEF2K,EEF2K,Homo sapiens
P00533,EGFR,EGFR,Homo sapiens
