Key,Virtual Compound Preferred Name,EUbOPEN Compound ID,Compound SMILES,Compound InChi Key,Protein Family,Target ID,NCBI Gene ID,UniProt ID,Synonyms,Mode of Action,Negative Control (In Case of Probe),Affinity Biochemical (nM),Affinity Biochemical Definition,Affinity Biochemical Assay Type,Affinity Biochemical Source Knowledge,Affinity Biochemical Relation,Affinity On-target Cellular (nM),Affinity On-target Cellular Definition,Affinity On-target Cellular Assay Type,Affinity on-target cellular Source Knowledge,Affinity On-target Cellular Relation,Selectivity Number of Off-targets,Selectivity Platform,Selectivity Platform Number of Targets,Selectivity Remarks,Selectivity Source Knowledge,CG-Set,Recommended Concentration,,,,,,,EUB0000366a
EUB0000004c_BRD7@BRD,BI-9564,EUB0000004c,COc1cc(-c2cn(C)c(=O)c3cnccc23)c(OC)cc1CN(C)C,BJFSUDWKXGMUKA-UHFFFAOYSA-N,Bromodomain,BRD7@BRD,29117,Q9NPI1,"CELTIX1, BP75",Inhibitor,,73,Kd,Competition binding assay (DiscoverX),"https://doi.org/10.1021/acs.jmedchem.5b01865,  https://www.thesgc.org/chemical-probes/BI-9564",=,1000,IC50,Recovery After Photobleaching (FRAP) assay U2OS cells,,,0,"Bromodomain panel, literature",48,"Screened at 10 µM in DSF assays, dTm(BRD7) = 6.47 K, dTm(BRD9) = 9.21 K, closest target: dTm(CERC2) = 5.61 K, all other bromodomains",https://doi.org/10.1021/acs.jmedchem.5b01865,Epigenetic set,1 µM,,,,,,,EUB0000386aBDA
EUB0000004c_BRD9@BRD,BI-9564,EUB0000004c,COc1cc(-c2cn(C)c(=O)c3cnccc23)c(OC)cc1CN(C)C,BJFSUDWKXGMUKA-UHFFFAOYSA-N,Bromodomain,BRD9@BRD,65980,Q9H8M2,FLJ13441,Inhibitor,,5.9,Kd,Competition binding assay (DiscoverX),"https://doi.org/10.1021/acs.jmedchem.5b01865,  https://www.thesgc.org/chemical-probes/BI-9564",=,100,IC50,Recovery After Photobleaching (FRAP) assay U2OS cells,,,0,"Bromodomain panel, literature",48,"Screened at 10 µM in DSF assays, dTm(BRD7) = 6.47 K, dTm(BRD9) = 9.21 K, closest target: dTm(CERC2) = 5.61 K, all other bromodomains",https://doi.org/10.1021/acs.jmedchem.5b01865,Epigenetic set,1 µM,,,,,,,EUB0000394a
EUB0000005b_NTRK1,DDR-TRK-1 (D2202-1),EUB0000005b,Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)CN(c3cncnc3)C[C@@H]4C)cc(C(F)(F)F)c2)cn1,CMJJZRAAQMUAFH-INIZCTEOSA-N,Protein Kinase,NTRK1,4914,P04629,"TRK, TRKA, MTC",Inhibitor,DDR-TRK-1N (380079),43,IC50,Enzymatic inhibition assay,https://www.thesgc.org/chemical-probes/DDR-TRK-1,=,448,IC50,NanoBRET assay (HEK293T cells),,=,3,ScanMAX (DiscoverX),468,"Screened at 1 µM, in vitro activity of closest targets: Kd(CDK11) = 370 nM, Kd(EPHA8) = 550 nM, Kd(MUSK) = 530 nM",https://www.thesgc.org/chemical-probes/DDR-TRK-1,Kinase set,1 µM,,,,,,,EUB0000406aCl
EUB0000005b_NTRK2,DDR-TRK-1 (D2202-1),EUB0000005b,Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)CN(c3cncnc3)C[C@@H]4C)cc(C(F)(F)F)c2)cn1,CMJJZRAAQMUAFH-INIZCTEOSA-N,Protein Kinase,NTRK2,4915,Q16620,TRKB,Inhibitor,DDR-TRK-1N (380079),3.6,IC50,Enzymatic inhibition assay,https://www.thesgc.org/chemical-probes/DDR-TRK-1,=,14,IC50,NanoBRET assay (HEK293T cells),,=,3,ScanMAX (DiscoverX),468,"Screened at 1 µM, in vitro activity of closest targets: Kd(CDK11) = 370 nM, Kd(EPHA8) = 550 nM, Kd(MUSK) = 530 nM",https://www.thesgc.org/chemical-probes/DDR-TRK-1,Kinase set,1 µM,,,,,,,EUB0000408aCl
EUB0000005b_NTRK3,DDR-TRK-1 (D2202-1),EUB0000005b,Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)CN(c3cncnc3)C[C@@H]4C)cc(C(F)(F)F)c2)cn1,CMJJZRAAQMUAFH-INIZCTEOSA-N,Protein Kinase,NTRK3,4916,Q16288,TRKC,Inhibitor,DDR-TRK-1N (380079),2.9,IC50,Enzymatic inhibition assay,https://www.thesgc.org/chemical-probes/DDR-TRK-1,=,,,,,,3,ScanMAX (DiscoverX),468,"Screened at 1 µM, in vitro activity of closest targets: Kd(CDK11) = 370 nM, Kd(EPHA8) = 550 nM, Kd(MUSK) = 530 nM",https://www.thesgc.org/chemical-probes/DDR-TRK-1,Kinase set,1 µM,,,,,,,EUB0000410aCl
EUB0000005b_DDR1,DDR-TRK-1 (D2202-1),EUB0000005b,Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)CN(c3cncnc3)C[C@@H]4C)cc(C(F)(F)F)c2)cn1,CMJJZRAAQMUAFH-INIZCTEOSA-N,Protein Kinase,DDR1,780,Q08345,"RTK6, CD167",Inhibitor,DDR-TRK-1N (380079),27,IC50,Enzymatic inhibition assay,https://www.thesgc.org/chemical-probes/DDR-TRK-1,=,104,IC50,NanoBRET assay (HEK293T cells),,=,3,ScanMAX (DiscoverX),468,"Screened at 1 µM, in vitro activity of closest targets: Kd(CDK11) = 370 nM, Kd(EPHA8) = 550 nM, Kd(MUSK) = 530 nM",https://www.thesgc.org/chemical-probes/DDR-TRK-1,Kinase set,1 µM,,,,,,,EUB0000437aCl
EUB0000005b_DDR2,DDR-TRK-1 (D2202-1),EUB0000005b,Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)CN(c3cncnc3)C[C@@H]4C)cc(C(F)(F)F)c2)cn1,CMJJZRAAQMUAFH-INIZCTEOSA-N,Protein Kinase,DDR2,4921,Q16832,TKT,Inhibitor,DDR-TRK-1N (380079),3.5,IC50,Enzymatic inhibition assay,https://www.thesgc.org/chemical-probes/DDR-TRK-1,=,175,IC50,NanoBRET assay (HEK293T cells),,=,3,ScanMAX (DiscoverX),468,"Screened at 1 µM, in vitro activity of closest targets: Kd(CDK11) = 370 nM, Kd(EPHA8) = 550 nM, Kd(MUSK) = 530 nM",https://www.thesgc.org/chemical-probes/DDR-TRK-1,Kinase set,1 µM,,,,,,,EUB0000449a
EUB0000006b_JAK3@kinase 1,FM-381,EUB0000006b,CN(C)C(=O)/C(C#N)=C/c1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,GJMZWYLOARVASY-NTCAYCPXSA-N,Protein Kinase,JAK3@kinase 1,3718,P52333,"L-JAK, JAKL, LJAK, JAK3_HUMAN, JAK-3",Inhibitor,FM-479,0.154,IC50,Radiometric inhibition assay,"https://doi.org/10.1016/j.chembiol.2016.10.008,  https://www.thesgc.org/chemical-probes/FM-381",=,100,IC50,NanoBRET assay (HEK293T cells),,=,0,Kinase panel (ProQinase),410,No targets with >70% inhibition at 100 nM and 500 nM,"https://doi.org/10.1016/j.chembiol.2016.10.008,  https://www.thesgc.org/chemical-probes/FM-381",Kinase set,100 nM,,,,,,,EUB0000477aCl
EUB0000007b_JAK3@kinase 1,FM-479,EUB0000007b,CN(C)C(=O)/C(C#N)=C/c1ccc(-c2nc3cnc4c(ccn4C)c3n2C2CCCCC2)o1,RPIGHLXKDWUGDT-DTQAZKPQSA-N,Protein Kinase,JAK3@kinase 1,3718,P52333,"L-JAK, JAKL, LJAK, JAK3_HUMAN, JAK-3",Negative control for FM-381,,,Negative Control,,https://www.thesgc.org/chemical-probes/FM-381,,,,,,,,,,,,Kinase set,100 nM,,,,,,,EUB0000480a
EUB0000008b_CLK4,MU1210,EUB0000008b,CN1C=C(C2=NC3=C(OC=C3C4=CC(C5=CC=NC=C5)=CC=C4)C=C2)C=N1,HEAGNKNMQVIVMM-UHFFFAOYSA-N,Protein Kinase,CLK4,57396,Q9HAZ1,,Inhibitor,MU140,12,IC50,Eurofins radiometric assay,https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312,=,23,Ki,NanoBRET assay (in HEK293T cells),https://www.thesgc.org/chemical-probes/MU1210,=,,Eurofins kinase panel,210,"Screened at 1 µM, closest targets as % of activity: HIPK2 (99%), HIPK3 (94%), GSK3A (90%); Eurofins binding assay: IC50(HIPK1) = 187 nM, IC50(HIPK2) = 23 nM, IC50(CLK3) >3 µM; In-cellular potency (NanoBRET assay in HEK293T cells): Ki(HIPK2) >10 µM, Ki(HIPK4) = 5.41 µM",https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312,Kinase set,1 µM,,,,,,,EUB0000499a
EUB0000008b_DYRK1A,MU1210,EUB0000008b,CN1C=C(C2=NC3=C(OC=C3C4=CC(C5=CC=NC=C5)=CC=C4)C=C2)C=N1,HEAGNKNMQVIVMM-UHFFFAOYSA-N,Protein Kinase,DYRK1A,1859,Q13627,,Inhibitor,MU140,213,IC50,Eurofins radiometric assay,https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312,=,6580,Ki,NanoBRET assay (in HEK293T cells),https://www.thesgc.org/chemical-probes/MU1210,=,,Eurofins kinase panel,210,"Screened at 1 µM, closest targets as % of activity: HIPK2 (99%), HIPK3 (94%), GSK3A (90%); Eurofins binding assay: IC50(HIPK1) = 187 nM, IC50(HIPK2) = 23 nM, IC50(CLK3) >3 µM; In-cellular potency (NanoBRET assay in HEK293T cells): Ki(HIPK2) >10 µM, Ki(HIPK4) = 5.41 µM",https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312,Kinase set,1 µM,,,,,,,EUB0000529a
EUB0000008b_DYRK1B,MU1210,EUB0000008b,CN1C=C(C2=NC3=C(OC=C3C4=CC(C5=CC=NC=C5)=CC=C4)C=C2)C=N1,HEAGNKNMQVIVMM-UHFFFAOYSA-N,Protein Kinase,DYRK1B,8445,Q92630,,Inhibitor,MU140,956,IC50,Eurofins radiometric assay,https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312,=,10000,Ki,NanoBRET assay (in HEK293T cells),https://www.thesgc.org/chemical-probes/MU1210,=,,Eurofins kinase panel,210,"Screened at 1 µM, closest targets as % of activity: HIPK2 (99%), HIPK3 (94%), GSK3A (90%); Eurofins binding assay: IC50(HIPK1) = 187 nM, IC50(HIPK2) = 23 nM, IC50(CLK3) >3 µM; In-cellular potency (NanoBRET assay in HEK293T cells): Ki(HIPK2) >10 µM, Ki(HIPK4) = 5.41 µM",https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312,Kinase set,1 µM,,,,,,,EUB0000531a
EUB0000008b_DYRK2,MU1210,EUB0000008b,CN1C=C(C2=NC3=C(OC=C3C4=CC(C5=CC=NC=C5)=CC=C4)C=C2)C=N1,HEAGNKNMQVIVMM-UHFFFAOYSA-N,Protein Kinase,DYRK2,9149,Q9Y463,MIRK,Inhibitor,MU140,1309,IC50,Eurofins radiometric assay,https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312,=,1700,Ki,NanoBRET assay (in HEK293T cells),https://www.thesgc.org/chemical-probes/MU1210,=,,Eurofins kinase panel,210,"Screened at 1 µM, closest targets as % of activity: HIPK2 (99%), HIPK3 (94%), GSK3A (90%); Eurofins binding assay: IC50(HIPK1) = 187 nM, IC50(HIPK2) = 23 nM, IC50(CLK3) >3 µM; In-cellular potency (NanoBRET assay in HEK293T cells): Ki(HIPK2) >10 µM, Ki(HIPK4) = 5.41 µM",https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312,Kinase set,1 µM,,,,,,,EUB0000534a
EUB0000008b_CLK1,MU1210,EUB0000008b,CN1C=C(C2=NC3=C(OC=C3C4=CC(C5=CC=NC=C5)=CC=C4)C=C2)C=N1,HEAGNKNMQVIVMM-UHFFFAOYSA-N,Protein Kinase,CLK1,1195,P49759,,Inhibitor,MU140,8,IC50,Biochemical activity assay (Reaction Biology),https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312,=,84,Ki,NanoBRET assay (in HEK293T cells),https://www.thesgc.org/chemical-probes/MU1210,=,,Eurofins kinase panel,210,"Screened at 1 µM, closest targets as % of activity: HIPK2 (99%), HIPK3 (94%), GSK3A (90%); Eurofins binding assay: IC50(HIPK1) = 187 nM, IC50(HIPK2) = 23 nM, IC50(CLK3) >3 µM; In-cellular potency (NanoBRET assay in HEK293T cells): Ki(HIPK2) >10 µM, Ki(HIPK4) = 5.41 µM",https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312,Kinase set,1 µM,,,,,,,
EUB0000008b_CLK2,MU1210,EUB0000008b,CN1C=C(C2=NC3=C(OC=C3C4=CC(C5=CC=NC=C5)=CC=C4)C=C2)C=N1,HEAGNKNMQVIVMM-UHFFFAOYSA-N,Protein Kinase,CLK2,1196,P49760,,Inhibitor,MU140,20,IC50,Biochemical activity assay (Reaction Biology),https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312,=,91,Ki,NanoBRET assay (in HEK293T cells),https://www.thesgc.org/chemical-probes/MU1210,=,,Eurofins kinase panel,210,"Screened at 1 µM, closest targets as % of activity: HIPK2 (99%), HIPK3 (94%), GSK3A (90%); Eurofins binding assay: IC50(HIPK1) = 187 nM, IC50(HIPK2) = 23 nM, IC50(CLK3) >3 µM; In-cellular potency (NanoBRET assay in HEK293T cells): Ki(HIPK2) >10 µM, Ki(HIPK4) = 5.41 µM",https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312,Kinase set,1 µM,,,,,,,
EUB0000009b_CLK1,MU140,EUB0000009b,Cn1cc(-c2ccc3occ(-c4ccccc4-c4ccccc4)c3n2)cn1,QSBNKGGRYOLZND-UHFFFAOYSA-N,Protein Kinase,CLK1,1195,P49759,,Negative control for MU1210,,,Negative Control,,https://www.thesgc.org/chemical-probes/MU1210,,,,,,,,,,,,Kinase set,1 µM,,,,,,,
EUB0000009b_CLK2,MU140,EUB0000009b,Cn1cc(-c2ccc3occ(-c4ccccc4-c4ccccc4)c3n2)cn1,QSBNKGGRYOLZND-UHFFFAOYSA-N,Protein Kinase,CLK2,1196,P49760,,Negative control for MU1210,,,Negative Control,,https://www.thesgc.org/chemical-probes/MU1210,,,,,,,,,,,,Kinase set,1 µM,,,,,,,
EUB0000009b_CLK4,MU140,EUB0000009b,Cn1cc(-c2ccc3occ(-c4ccccc4-c4ccccc4)c3n2)cn1,QSBNKGGRYOLZND-UHFFFAOYSA-N,Protein Kinase,CLK4,57396,Q9HAZ1,,Negative control for MU1210,,,Negative Control,,https://www.thesgc.org/chemical-probes/MU1210,,,,,,,,,,,,Kinase set,1 µM,,,,,,,
EUB0000014b_PIKFYVE,YM-201636,EUB0000014b,O=C(C1=CC=C(N)N=C1)NC2=CC(C3=NC4=C(OC5=C4C=CC=N5)C(N6CCOCC6)=N3)=CC=C2,YBPIBGNBHHGLEB-UHFFFAOYSA-N,lipid-kinase,PIKFYVE,200576,Q9Y2I7,"CFD, FAB1, HEL37, PIP5K, PIP5K3, ZFYVE29",Inhibitor,,33,IC50,Radiometric assay (50 µM ATP),https://doi.org/10.1038/sj.embor.7401155,=,,,,,,1,KinomeScan (DiscoverX),448,"Screened at 1 µM, closest target as % of contr. PIK3CB (9.8%); Selective over PI3P, PI4P, PI34P, PI45P at 800 nM (radiolabel incorporation assay in NIH3T3 cells)",https://doi.org/10.1038/sj.embor.7401155,Kinase set,1 µM,,,,,,,
EUB0000023b_SRPK1,SRPKIN-1,EUB0000023b,O=S(C1=CC=CC(C2=C(CC)C=C3C(C(C)(C)C(NC4=C5C=CC(C#N)=C4)=C5C3=O)=C2)=C1)(F)=O,TWKWEBMGDALHPN-UHFFFAOYSA-N,Protein Kinase,SRPK1,6732,Q96SB4,SFRSK1,Covalent inhibitor,,1.68,IC50,Biochemical activity assay (Reaction Biology),https://pubs.acs.org/doi/full/10.1021/acs.jmedchem.2c01705,=,,,,,,5,Ambit KINOMEscan,402,"In vitro selectivity, screened at 1 µM, targets >90% of Ctrl. RET, LTK, PYK2,FLT3, ALK;  KiNativ Technology screen against 265 kinases at 5 µM, Hela cells, highly selective after washout",https://www.sciencedirect.com/science/article/pii/S2451945618300357?via%3Dihub,Kinase set,1 µM,,,,,,,
EUB0000023b_SRPK2,SRPKIN-1,EUB0000023b,O=S(C1=CC=CC(C2=C(CC)C=C3C(C(C)(C)C(NC4=C5C=CC(C#N)=C4)=C5C3=O)=C2)=C1)(F)=O,TWKWEBMGDALHPN-UHFFFAOYSA-N,Protein Kinase,SRPK2,6733,P78362,SFRSK2,Covalent inhibitor,,2.54,IC50,Biochemical activity assay (Reaction Biology),https://pubs.acs.org/doi/full/10.1021/acs.jmedchem.2c01705,=,,,,,,5,Ambit KINOMEscan,402,"In vitro selectivity, screened at 1 µM, targets >90% of Ctrl. RET, LTK, PYK2,FLT3, ALK;  KiNativ Technology screen against 265 kinases at 5 µM, Hela cells, highly selective after washout",https://www.sciencedirect.com/science/article/pii/S2451945618300357?via%3Dihub,Kinase set,1 µM,,,,,,,
EUB0000023b_SRPK3,SRPKIN-1,EUB0000023b,O=S(C1=CC=CC(C2=C(CC)C=C3C(C(C)(C)C(NC4=C5C=CC(C#N)=C4)=C5C3=O)=C2)=C1)(F)=O,TWKWEBMGDALHPN-UHFFFAOYSA-N,Protein Kinase,SRPK3,26576,Q9UPE1,MSSK1,Covalent inhibitor,,4.81,IC50,Biochemical activity assay (Reaction Biology),https://pubs.acs.org/doi/full/10.1021/acs.jmedchem.2c01705,=,,,,,,5,Ambit KINOMEscan,402,"In vitro selectivity, screened at 1 µM, targets >90% of Ctrl. RET, LTK, PYK2,FLT3, ALK;  KiNativ Technology screen against 265 kinases at 5 µM, Hela cells, highly selective after washout",https://www.sciencedirect.com/science/article/pii/S2451945618300357?via%3Dihub,Kinase set,1 µM,,,,,,,
EUB0000034d_PRMT6@Methyltransferase,MS023,EUB0000034d,CC(C)Oc1ccc(-c2c[nH]cc2CN(C)CCN)cc1,FMTVWAGUJRUAKE-UHFFFAOYSA-N,HMT,PRMT6@Methyltransferase,55170,Q96LA8,FLJ10559,Inhibitor,MS094,4,IC50,Scintillation proximity assay (SPA),"https://doi.org/10.1021/acschembio.5b00839,  https://www.thesgc.org/chemical-probes/MS023",=,56,IC50,Western Blot (inhibition of PRMT6 methyltransferase activity in HEK293 cells),,=,0,"Methyltransferase panel, literature",25,"Screened at 1 µM and 10 µM, highly selective within methyltransferase family; Selective over 9 reader proteins (UHRF1, BRPF1, WDR5, HGDF2, TDRD3, RBBP1, FXR1, EED, and SND1) in DSF assays: all enzymes dTm",https://doi.org/10.1021/acschembio.5b00839,Epigenetic set,1 µM,,,,,,,
EUB0000034d_PRMT8@Methyltransferase,MS023,EUB0000034d,CC(C)Oc1ccc(-c2c[nH]cc2CN(C)CCN)cc1,FMTVWAGUJRUAKE-UHFFFAOYSA-N,HMT,PRMT8@Methyltransferase,56341,Q9NR22,,Inhibitor,MS094,5,IC50,Scintillation proximity assay (SPA),"https://doi.org/10.1021/acschembio.5b00839,  https://www.thesgc.org/chemical-probes/MS023",=,,,,,,0,"Methyltransferase panel, literature",25,"Screened at 1 µM and 10 µM, highly selective within methyltransferase family; Selective over 9 reader proteins (UHRF1, BRPF1, WDR5, HGDF2, TDRD3, RBBP1, FXR1, EED, and SND1) in DSF assays: all enzymes dTm",https://doi.org/10.1021/acschembio.5b00839,Epigenetic set,1 µM,,,,,,,
EUB0000034d_PRMT1@Methyltransferase,MS023,EUB0000034d,CC(C)Oc1ccc(-c2c[nH]cc2CN(C)CCN)cc1,FMTVWAGUJRUAKE-UHFFFAOYSA-N,HMT,PRMT1@Methyltransferase,3276,Q99873,"HCP1, ANM1",Inhibitor,MS094,30,IC50,Scintillation proximity assay (SPA),"https://doi.org/10.1021/acschembio.5b00839,  https://www.thesgc.org/chemical-probes/MS023",=,9,IC50,Western Blot (inhibition of PRMT1 methyltransferase activity in MCF7 cells),,=,0,"Methyltransferase panel, literature",25,"Screened at 1 µM and 10 µM, highly selective within methyltransferase family; Selective over 9 reader proteins (UHRF1, BRPF1, WDR5, HGDF2, TDRD3, RBBP1, FXR1, EED, and SND1) in DSF assays: all enzymes dTm",https://doi.org/10.1021/acschembio.5b00839,Epigenetic set,1 µM,,,,,,,
