inchikey	smiles	chembl_id	name
KVLFRAWTRWDEDF-IRXDYDNUSA-N	COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO	CHEMBL1801204	AZD-8055
IWMCPJZTADUIFX-UHFFFAOYSA-N	COc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	CHEMBL2012582	LRRK2-IN-1
VUVUVNZRUGEAHB-CYBMUJFWSA-N	COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12	CHEMBL2017291	I-BET151
CPRAGQJXBLMUEL-UHFFFAOYSA-N	Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1	CHEMBL1972466	TGX-221
DEZZLWQELQORIU-RELWKKBWSA-N	OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1	CHEMBL525191	GDC-0879
OMZCMEYTWSXEPZ-UHFFFAOYSA-N	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1	CHEMBL31965	CANERTINIB
ULXXDDBFHOBEHA-CWDCEQMOSA-N	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	CHEMBL1173655	AFATINIB
JNAHVYVRKWKWKQ-CYBMUJFWSA-N	C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1	CHEMBL506871	VELIPARIB
ITTRLTNMFYIYPA-UHFFFAOYSA-N	C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1	CHEMBL1229592	WZ4002
CVWXJKQAOSCOAB-UHFFFAOYSA-N	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1	CHEMBL576982	QUIZARTINIB
XRKYMMUGXMWDAO-UHFFFAOYSA-N	O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1	CHEMBL222102	KU-55933
LHNIIDJUOCFXAP-UHFFFAOYSA-N	CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	CHEMBL521851	PICTILISIB
IFRGXKKQHBVPCQ-UHFFFAOYSA-N	CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O	CHEMBL1214827	ONALESPIB
WBKCKEHGXNWYMO-UHFFFAOYSA-N	CCOC(=O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1	CHEMBL3183531	GSK-J4
BCZUAADEACICHN-UHFFFAOYSA-N	Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1	CHEMBL1236107	SGX-523
BCFGMOOMADDAQU-UHFFFAOYSA-N	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1	CHEMBL554	LAPATINIB
LIRYPHYGHXZJBZ-UHFFFAOYSA-N	CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1	CHEMBL2103875	TRAMETINIB
STUWGJZDJHPWGZ-LBPRGKRZSA-N	Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1	CHEMBL2396661	ALPELISIB
PGFQXGLPJUCTOI-WYMLVPIESA-N	C/C(=C\C(=O)Nc1ccccc1C(=O)O)c1ccc2ccccc2c1	CHEMBL27323	BIBR1532
IFSDAJWBUCMOAH-HNNXBMFYSA-N	CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1	CHEMBL2216870	IDELALISIB
MUOKSQABCJCOPU-UHFFFAOYSA-N	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	CHEMBL1230165	SILMITASERTIB
VRQMAABPASPXMW-HDICACEKSA-N	COc1cc(CCc2cc(NC(=O)c3ccc(N4C[C@H](C)N[C@H](C)C4)cc3)n[nH]2)cc(OC)c1	CHEMBL3348846	AZD-4547
DNVXATUJJDPFDM-KRWDZBQOSA-N	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2	CHEMBL1957266	(+)-JQ1
HXMGCTFLLWPVFM-GOSISDBHSA-N	O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2ccc(OC[C@H](O)CO)cc21	CHEMBL2152944	skepinone-L
LQBVNQSMGBZMKD-UHFFFAOYSA-N	CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1	CHEMBL3137309	VENETOCLAX
ONIQOQHATWINJY-UHFFFAOYSA-N	COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC	CHEMBL2105717	CABOZANTINIB
HFNKQEVNSGCOJV-OAHLLOKOSA-N	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1	CHEMBL1789941	RUXOLITINIB
IRTDIKMSKMREGO-OAHLLOKOSA-N	Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1	CHEMBL2165191	AZD-6482
