target_key	type	name
GABA-A receptor; anion channel	family	GABA-A receptor; anion channel
Glutamate NMDA receptor	family	Glutamate NMDA receptor
Glutamate receptor ionotropic, AMPA	family	Glutamate receptor ionotropic, AMPA
Cyclin-dependent kinase 4/cyclin D	family	Cyclin-dependent kinase 4/cyclin D
Glutamate [NMDA] receptor	family	Glutamate [NMDA] receptor
Serotonin 3 (5-HT3) receptor	family	Serotonin 3 (5-HT3) receptor
Sulfonylurea receptors; K-ATP channels	family	Sulfonylurea receptors; K-ATP channels
Tubulin	family	Tubulin
Sodium/potassium-transporting ATPase	family	Sodium/potassium-transporting ATPase
Casein kinase II	family	Casein kinase II
CDK3/cyclin E	family	CDK3/cyclin E
Glycine receptor	family	Glycine receptor
AMP-activated protein kinase, AMPK	family	AMP-activated protein kinase, AMPK
Glutamate (NMDA/AMPA/Kainate)	family	Glutamate (NMDA/AMPA/Kainate)
Nicotinic Acetylcholine Receptor	family	Nicotinic Acetylcholine Receptor
CDK9/Cyclin T	family	CDK9/Cyclin T
CDK1/Cyclin A	family	CDK1/Cyclin A
Neuronal acetylcholine receptor; alpha3/beta4	complex	Neuronal acetylcholine receptor; alpha3/beta4
Glutamate NMDA receptor; GRIN1/GRIN2B	complex	Glutamate NMDA receptor; GRIN1/GRIN2B
Integrin alpha-V/beta-3	complex	Integrin alpha-V/beta-3
Cyclin-dependent kinase 1/cyclin B1	complex	Cyclin-dependent kinase 1/cyclin B1
Cyclin-dependent kinase 5/CDK5 activator 1	complex	Cyclin-dependent kinase 5/CDK5 activator 1
Glutamate NMDA receptor; GRIN1/GRIN2A	complex	Glutamate NMDA receptor; GRIN1/GRIN2A
Neuronal acetylcholine receptor; alpha4/beta2	complex	Neuronal acetylcholine receptor; alpha4/beta2
Cyclin-dependent kinase 2/cyclin E1	complex	Cyclin-dependent kinase 2/cyclin E1
Cyclin-dependent kinase 4/cyclin D1	complex	Cyclin-dependent kinase 4/cyclin D1
Hepatitis C virus serine protease, NS3/NS4A	complex	Hepatitis C virus serine protease, NS3/NS4A
Sulfonylurea receptor 1, Kir6.2	complex	Sulfonylurea receptor 1, Kir6.2
Calcitonin-gene-related peptide receptor; CALCRL/RAMP1	complex	Calcitonin-gene-related peptide receptor; CALCRL/RAMP1
Cyclin-dependent kinase 7/ cyclin H	complex	Cyclin-dependent kinase 7/ cyclin H
Intercellular adhesion molecule (ICAM-1), Integrin alpha-L/beta-2	complex	Intercellular adhesion molecule (ICAM-1), Integrin alpha-L/beta-2
Platelet-derived growth factor receptor	complex	Platelet-derived growth factor receptor
Calcitonin-gene-related peptide receptor, CALCRL/RAMP1	complex	Calcitonin-gene-related peptide receptor, CALCRL/RAMP1
Adrenomedullin receptor AM1; CALCRL/RAMP2	complex	Adrenomedullin receptor AM1; CALCRL/RAMP2
GABA-A receptor; alpha-3/beta-3/gamma-2	complex	GABA-A receptor; alpha-3/beta-3/gamma-2
GABA-A receptor; alpha-1/beta-3/gamma-2	complex	GABA-A receptor; alpha-1/beta-3/gamma-2
GABA-A receptor; alpha-5/beta-3/gamma-2	complex	GABA-A receptor; alpha-5/beta-3/gamma-2
Cyclin-dependent kinase 2/cyclin E	complex	Cyclin-dependent kinase 2/cyclin E
Cyclin-dependent kinase 1/cyclin B	complex	Cyclin-dependent kinase 1/cyclin B
Cyclin-dependent kinase 2/cyclin A	complex	Cyclin-dependent kinase 2/cyclin A
GABA-A receptor; alpha-2/beta-3/gamma-2	complex	GABA-A receptor; alpha-2/beta-3/gamma-2
Gamma-secretase	complex	Gamma-secretase
GABA-A receptor; alpha-1/beta-2/gamma-2	complex	GABA-A receptor; alpha-1/beta-2/gamma-2
SUMO-activating enzyme	complex	SUMO-activating enzyme
Sulfonylurea receptor 2, Kir6.2	complex	Sulfonylurea receptor 2, Kir6.2
