uniprot_id	target_key	hgnc	species
O09028	GABA-A receptor; anion channel	GABRA1	Rattus norvegicus
P15431	GABA-A receptor; anion channel	GABRA2	Rattus norvegicus
P18506	GABA-A receptor; anion channel	GABRA3	Rattus norvegicus
P18508	GABA-A receptor; anion channel	GABRA4	Rattus norvegicus
P19969	GABA-A receptor; anion channel	GABRA5	Rattus norvegicus
P20236	GABA-A receptor; anion channel	GABRA6	Rattus norvegicus
P23574	GABA-A receptor; anion channel	GABRB1	Rattus norvegicus
P23576	GABA-A receptor; anion channel	GABRB2	Rattus norvegicus
P28471	GABA-A receptor; anion channel	GABRB3	Rattus norvegicus
P28473	GABA-A receptor; anion channel	GABRD	Rattus norvegicus
P30191	GABA-A receptor; anion channel	GABRE	Rattus norvegicus
P62813	GABA-A receptor; anion channel	GABRG1	Rattus norvegicus
P63079	GABA-A receptor; anion channel	GABRG2	Rattus norvegicus
P63138	GABA-A receptor; anion channel	GABRG3	Rattus norvegicus
Q91ZM7	GABA-A receptor; anion channel	GABRP	Rattus norvegicus
Q9ES14	GABA-A receptor; anion channel	GABRQ	Rattus norvegicus
P35439	Glutamate NMDA receptor	GRIN1	Rattus norvegicus
Q00959	Glutamate NMDA receptor	GRIN2A	Rattus norvegicus
Q00960	Glutamate NMDA receptor	GRIN2B	Rattus norvegicus
Q00961	Glutamate NMDA receptor	GRIN2C	Rattus norvegicus
Q62645	Glutamate NMDA receptor	GRIN2D	Rattus norvegicus
Q8VHN2	Glutamate NMDA receptor	GRIN3A	Rattus norvegicus
Q9R1M7	Glutamate NMDA receptor	GRIN3B	Rattus norvegicus
P19490	Glutamate receptor ionotropic, AMPA	GRIA1	Rattus norvegicus
P19491	Glutamate receptor ionotropic, AMPA	GRIA2	Rattus norvegicus
P19492	Glutamate receptor ionotropic, AMPA	GRIA3	Rattus norvegicus
P19493	Glutamate receptor ionotropic, AMPA	GRIA4	Rattus norvegicus
O00591	GABA-A receptor; anion channel	GABRA1	Homo sapiens
O14764	GABA-A receptor; anion channel	GABRA2	Homo sapiens
P14867	GABA-A receptor; anion channel	GABRA3	Homo sapiens
P18505	GABA-A receptor; anion channel	GABRA4	Homo sapiens
P18507	GABA-A receptor; anion channel	GABRA5	Homo sapiens
P28472	GABA-A receptor; anion channel	GABRA6	Homo sapiens
P31644	GABA-A receptor; anion channel	GABRB1	Homo sapiens
P34903	GABA-A receptor; anion channel	GABRB2	Homo sapiens
P47869	GABA-A receptor; anion channel	GABRB3	Homo sapiens
P47870	GABA-A receptor; anion channel	GABRD	Homo sapiens
P48169	GABA-A receptor; anion channel	GABRE	Homo sapiens
P78334	GABA-A receptor; anion channel	GABRG1	Homo sapiens
Q16445	GABA-A receptor; anion channel	GABRG2	Homo sapiens
Q8N1C3	GABA-A receptor; anion channel	GABRG3	Homo sapiens
Q99928	GABA-A receptor; anion channel	GABRP	Homo sapiens
Q9UN88	GABA-A receptor; anion channel	GABRQ	Homo sapiens
P11802	Cyclin-dependent kinase 4/cyclin D	CCND1	Homo sapiens
P24385	Cyclin-dependent kinase 4/cyclin D	CCND2	Homo sapiens
P30279	Cyclin-dependent kinase 4/cyclin D	CCND3	Homo sapiens
P30281	Cyclin-dependent kinase 4/cyclin D	CDK4	Homo sapiens
O15399	Glutamate [NMDA] receptor	GRIN1	Homo sapiens
O60391	Glutamate [NMDA] receptor	GRIN2A	Homo sapiens
Q05586	Glutamate [NMDA] receptor	GRIN2B	Homo sapiens
Q12879	Glutamate [NMDA] receptor	GRIN2C	Homo sapiens
Q13224	Glutamate [NMDA] receptor	GRIN2D	Homo sapiens
Q14957	Glutamate [NMDA] receptor	GRIN3A	Homo sapiens
Q8TCU5	Glutamate [NMDA] receptor	GRIN3B	Homo sapiens
A5X5Y0	Serotonin 3 (5-HT3) receptor	HTR3A	Homo sapiens
O95264	Serotonin 3 (5-HT3) receptor	HTR3B	Homo sapiens
P46098	Serotonin 3 (5-HT3) receptor	HTR3C	Homo sapiens
Q70Z44	Serotonin 3 (5-HT3) receptor	HTR3D	Homo sapiens
Q8WXA8	Serotonin 3 (5-HT3) receptor	HTR3E	Homo sapiens
O60706	Sulfonylurea receptors; K-ATP channels	ABCC8	Homo sapiens
Q09428	Sulfonylurea receptors; K-ATP channels	ABCC9	Homo sapiens
Q14654	Sulfonylurea receptors; K-ATP channels	KCNJ11	Homo sapiens
Q15842	Sulfonylurea receptors; K-ATP channels	KCNJ8	Homo sapiens
P04350	Tubulin	TUBA1A	Homo sapiens
P07437	Tubulin	TUBA1B	Homo sapiens
P0DPH7	Tubulin	TUBA1C	Homo sapiens
P68363	Tubulin	TUBA3C	Homo sapiens
P68366	Tubulin	TUBA3E	Homo sapiens
P68371	Tubulin	TUBA4A	Homo sapiens
Q13509	Tubulin	TUBB	Homo sapiens
Q13885	Tubulin	TUBB1	Homo sapiens
Q3ZCM7	Tubulin	TUBB2A	Homo sapiens
Q6PEY2	Tubulin	TUBB2B	Homo sapiens
Q71U36	Tubulin	TUBB3	Homo sapiens
Q9BQE3	Tubulin	TUBB4A	Homo sapiens
Q9BUF5	Tubulin	TUBB4B	Homo sapiens
Q9BVA1	Tubulin	TUBB6	Homo sapiens
Q9H4B7	Tubulin	TUBB8	Homo sapiens
P05023	Sodium/potassium-transporting ATPase	ATP1A1	Homo sapiens
P05026	Sodium/potassium-transporting ATPase	ATP1A2	Homo sapiens
P13637	Sodium/potassium-transporting ATPase	ATP1A3	Homo sapiens
P14415	Sodium/potassium-transporting ATPase	ATP1A4	Homo sapiens
P50993	Sodium/potassium-transporting ATPase	ATP1B1	Homo sapiens
P54709	Sodium/potassium-transporting ATPase	ATP1B2	Homo sapiens
P54710	Sodium/potassium-transporting ATPase	ATP1B3	Homo sapiens
Q13733	Sodium/potassium-transporting ATPase	FXYD2	Homo sapiens
P19784	Casein kinase II	CSNK2A1	Homo sapiens
P67870	Casein kinase II	CSNK2A2	Homo sapiens
P68400	Casein kinase II	CSNK2B	Homo sapiens
O96020	CDK3/cyclin E	CCNE1	Homo sapiens
P24864	CDK3/cyclin E	CCNE2	Homo sapiens
Q00526	CDK3/cyclin E	CDK3	Homo sapiens
P07727	Glycine receptor	GLRA1	Rattus norvegicus
P20781	Glycine receptor	GLRA2	Rattus norvegicus
P22771	Glycine receptor	GLRA3	Rattus norvegicus
P24524	Glycine receptor	GLRB	Rattus norvegicus
D2WKD7	Sodium/potassium-transporting ATPase	ATP1A1	Sus scrofa
D2WKD8	Sodium/potassium-transporting ATPase	ATP1A2	Sus scrofa
F1ST41	Sodium/potassium-transporting ATPase	ATP1A3	Sus scrofa
P05024	Sodium/potassium-transporting ATPase	ATP1B1	Sus scrofa
P05027	Sodium/potassium-transporting ATPase	ATP1B2	Sus scrofa
D4A7E4	AMP-activated protein kinase, AMPK	PRKAA1	Rattus norvegicus
P54645	AMP-activated protein kinase, AMPK	PRKAA2	Rattus norvegicus
P80385	AMP-activated protein kinase, AMPK	PRKAB1	Rattus norvegicus
P80386	AMP-activated protein kinase, AMPK	PRKAB2	Rattus norvegicus
Q09137	AMP-activated protein kinase, AMPK	PRKAG1	Rattus norvegicus
Q6V7V4	AMP-activated protein kinase, AMPK	PRKAG2	Rattus norvegicus
Q9QZH4	AMP-activated protein kinase, AMPK	PRKAG3	Rattus norvegicus
O43424	Glutamate (NMDA/AMPA/Kainate)	GRIA1	Rattus norvegicus
P19490	Glutamate (NMDA/AMPA/Kainate)	GRIA2	Rattus norvegicus
P19491	Glutamate (NMDA/AMPA/Kainate)	GRIA3	Rattus norvegicus
P19492	Glutamate (NMDA/AMPA/Kainate)	GRIA4	Rattus norvegicus
P19493	Glutamate (NMDA/AMPA/Kainate)	GRID1	Rattus norvegicus
P22756	Glutamate (NMDA/AMPA/Kainate)	GRID2	Rattus norvegicus
P35439	Glutamate (NMDA/AMPA/Kainate)	GRIK1	Rattus norvegicus
P42260	Glutamate (NMDA/AMPA/Kainate)	GRIK2	Rattus norvegicus
P42264	Glutamate (NMDA/AMPA/Kainate)	GRIK3	Rattus norvegicus
Q00959	Glutamate (NMDA/AMPA/Kainate)	GRIK4	Rattus norvegicus
Q00960	Glutamate (NMDA/AMPA/Kainate)	GRIK5	Rattus norvegicus
Q00961	Glutamate (NMDA/AMPA/Kainate)	GRIN1	Rattus norvegicus
Q01812	Glutamate (NMDA/AMPA/Kainate)	GRIN2A	Rattus norvegicus
Q62645	Glutamate (NMDA/AMPA/Kainate)	GRIN2B	Rattus norvegicus
Q63273	Glutamate (NMDA/AMPA/Kainate)	GRIN2C	Rattus norvegicus
Q8VHN2	Glutamate (NMDA/AMPA/Kainate)	GRIN2D	Rattus norvegicus
Q9R1M7	Glutamate (NMDA/AMPA/Kainate)	GRIN3A	Rattus norvegicus
Q9ULK0	Glutamate (NMDA/AMPA/Kainate)	GRIN3B	Rattus norvegicus
