inchikey	target_key	moa	cell_line	unit	concentration	concentration_unit	source_db	source	xref_id	assay_type	value	bioactivity_type	relation	assay_description	source_xref
BJFSUDWKXGMUKA-UHFFFAOYSA-N	BRD7@BRD	Inhibitor		nM	1	uM	EUbOPEN			biochemical	73.0	Kd	=	Competition binding assay (DiscoverX)	https://doi.org/10.1021/acs.jmedchem.5b01865,  https://www.thesgc.org/chemical-probes/BI-9564
BJFSUDWKXGMUKA-UHFFFAOYSA-N	BRD9@BRD	Inhibitor		nM	1	uM	EUbOPEN			biochemical	5.9	Kd	=	Competition binding assay (DiscoverX)	https://doi.org/10.1021/acs.jmedchem.5b01865,  https://www.thesgc.org/chemical-probes/BI-9564
CMJJZRAAQMUAFH-INIZCTEOSA-N	NTRK1	Inhibitor		nM	1	uM	EUbOPEN			biochemical	43.0	IC50	=	Enzymatic inhibition assay	https://www.thesgc.org/chemical-probes/DDR-TRK-1
CMJJZRAAQMUAFH-INIZCTEOSA-N	NTRK2	Inhibitor		nM	1	uM	EUbOPEN			biochemical	3.6	IC50	=	Enzymatic inhibition assay	https://www.thesgc.org/chemical-probes/DDR-TRK-1
CMJJZRAAQMUAFH-INIZCTEOSA-N	NTRK3	Inhibitor		nM	1	uM	EUbOPEN			biochemical	2.9	IC50	=	Enzymatic inhibition assay	https://www.thesgc.org/chemical-probes/DDR-TRK-1
CMJJZRAAQMUAFH-INIZCTEOSA-N	DDR1	Inhibitor		nM	1	uM	EUbOPEN			biochemical	27.0	IC50	=	Enzymatic inhibition assay	https://www.thesgc.org/chemical-probes/DDR-TRK-1
CMJJZRAAQMUAFH-INIZCTEOSA-N	DDR2	Inhibitor		nM	1	uM	EUbOPEN			biochemical	3.5	IC50	=	Enzymatic inhibition assay	https://www.thesgc.org/chemical-probes/DDR-TRK-1
GJMZWYLOARVASY-NTCAYCPXSA-N	JAK3@kinase 1	Inhibitor		nM	100	uM	EUbOPEN			biochemical	0.154	IC50	=	Radiometric inhibition assay	https://doi.org/10.1016/j.chembiol.2016.10.008,  https://www.thesgc.org/chemical-probes/FM-381
HEAGNKNMQVIVMM-UHFFFAOYSA-N	CLK4	Inhibitor		nM	1	uM	EUbOPEN			biochemical	12.0	IC50	=	Eurofins radiometric assay	https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312
HEAGNKNMQVIVMM-UHFFFAOYSA-N	DYRK1A	Inhibitor		nM	1	uM	EUbOPEN			biochemical	213.0	IC50	=	Eurofins radiometric assay	https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312
HEAGNKNMQVIVMM-UHFFFAOYSA-N	DYRK1B	Inhibitor		nM	1	uM	EUbOPEN			biochemical	956.0	IC50	=	Eurofins radiometric assay	https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312
HEAGNKNMQVIVMM-UHFFFAOYSA-N	DYRK2	Inhibitor		nM	1	uM	EUbOPEN			biochemical	1309.0	IC50	=	Eurofins radiometric assay	https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312
HEAGNKNMQVIVMM-UHFFFAOYSA-N	CLK1	Inhibitor		nM	1	uM	EUbOPEN			biochemical	8.0	IC50	=	Biochemical activity assay (Reaction Biology)	https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312
HEAGNKNMQVIVMM-UHFFFAOYSA-N	CLK2	Inhibitor		nM	1	uM	EUbOPEN			biochemical	20.0	IC50	=	Biochemical activity assay (Reaction Biology)	https://onlinelibrary.wiley.com/doi/10.1002/anie.201810312
YBPIBGNBHHGLEB-UHFFFAOYSA-N	PIKFYVE	Inhibitor		nM	1	uM	EUbOPEN			biochemical	33.0	IC50	=	Radiometric assay (50 µM ATP)	https://doi.org/10.1038/sj.embor.7401155
TWKWEBMGDALHPN-UHFFFAOYSA-N	SRPK1	Covalent inhibitor		nM	1	uM	EUbOPEN			biochemical	1.68	IC50	=	Biochemical activity assay (Reaction Biology)	https://pubs.acs.org/doi/full/10.1021/acs.jmedchem.2c01705
TWKWEBMGDALHPN-UHFFFAOYSA-N	SRPK2	Covalent inhibitor		nM	1	uM	EUbOPEN			biochemical	2.54	IC50	=	Biochemical activity assay (Reaction Biology)	https://pubs.acs.org/doi/full/10.1021/acs.jmedchem.2c01705
TWKWEBMGDALHPN-UHFFFAOYSA-N	SRPK3	Covalent inhibitor		nM	1	uM	EUbOPEN			biochemical	4.81	IC50	=	Biochemical activity assay (Reaction Biology)	https://pubs.acs.org/doi/full/10.1021/acs.jmedchem.2c01705
FMTVWAGUJRUAKE-UHFFFAOYSA-N	PRMT6@Methyltransferase	Inhibitor		nM	1	uM	EUbOPEN			biochemical	4.0	IC50	=	Scintillation proximity assay (SPA)	https://doi.org/10.1021/acschembio.5b00839,  https://www.thesgc.org/chemical-probes/MS023
FMTVWAGUJRUAKE-UHFFFAOYSA-N	PRMT8@Methyltransferase	Inhibitor		nM	1	uM	EUbOPEN			biochemical	5.0	IC50	=	Scintillation proximity assay (SPA)	https://doi.org/10.1021/acschembio.5b00839,  https://www.thesgc.org/chemical-probes/MS023
FMTVWAGUJRUAKE-UHFFFAOYSA-N	PRMT1@Methyltransferase	Inhibitor		nM	1	uM	EUbOPEN			biochemical	30.0	IC50	=	Scintillation proximity assay (SPA)	https://doi.org/10.1021/acschembio.5b00839,  https://www.thesgc.org/chemical-probes/MS023
FMTVWAGUJRUAKE-UHFFFAOYSA-N	PRMT3@Methyltransferase	Inhibitor		nM	1	uM	EUbOPEN			biochemical	119.0	IC50	=	Scintillation proximity assay (SPA)	https://doi.org/10.1021/acschembio.5b00839,  https://www.thesgc.org/chemical-probes/MS023
FMTVWAGUJRUAKE-UHFFFAOYSA-N	CARM1@Methyltransferase	Inhibitor		nM	1	uM	EUbOPEN			biochemical	83.0	IC50	=	Scintillation proximity assay (SPA)	https://doi.org/10.1021/acschembio.5b00839,  https://www.thesgc.org/chemical-probes/MS023
FJCDSQATIJKQKA-UHFFFAOYSA-N	ACVR1B	Inhibitor		nM	100	uM	EUbOPEN			biochemical	17.2	IC50	=	Radiometric protein kinase assay (33PanQinase Activity Assay)	https://aacrjournals.org/mct/article/13/7/1704/91906/EW-7197-a-Novel-ALK-5-Kinase-Inhibitor-Potently
FJCDSQATIJKQKA-UHFFFAOYSA-N	TGFBR1	Inhibitor		nM	100	uM	EUbOPEN			biochemical	12.9	IC50	=	Radiometric protein kinase assay (33PanQinase Activity Assay)	https://aacrjournals.org/mct/article/13/7/1704/91906/EW-7197-a-Novel-ALK-5-Kinase-Inhibitor-Potently
SFMJNHNUOVADRW-UHFFFAOYSA-N	BTK	Covalent inhibitor		nM	1	uM	EUbOPEN			biochemical	10.4	IC50	=	SelectScreen Z’lyte assay (Invitrogen)	https://pubmed.ncbi.nlm.nih.gov/23594111/
SFMJNHNUOVADRW-UHFFFAOYSA-N	BMX	Covalent inhibitor		nM	1	uM	EUbOPEN			biochemical	8.0	IC50	=	SelectScreen Z’lyte assay (Invitrogen)	https://pubmed.ncbi.nlm.nih.gov/23594111/
LHNIIDJUOCFXAP-UHFFFAOYSA-N	PIK3CA	Inhibitor		nM	1	uM	EUbOPEN			biochemical	0.76	Kd	=	ScanMax technology (DiscoverX)	https://doi.org/10.1021/acs.jmedchem.7b00930
LHNIIDJUOCFXAP-UHFFFAOYSA-N	PIK3CB	Inhibitor		nM	1	uM	EUbOPEN			biochemical	2.1	Kd	=	ScanMax technology (DiscoverX)	https://doi.org/10.1021/acs.jmedchem.7b00930
LHNIIDJUOCFXAP-UHFFFAOYSA-N	PIK3CG	Inhibitor		nM	1	uM	EUbOPEN			biochemical	7.7	Kd	=	ScanMax technology (DiscoverX)	https://doi.org/10.1021/acs.jmedchem.7b00930
LHNIIDJUOCFXAP-UHFFFAOYSA-N	PIK3CD	Inhibitor		nM	1	uM	EUbOPEN			biochemical	3.3	Kd	=	ScanMax technology (DiscoverX)	https://doi.org/10.1021/acs.jmedchem.7b00930
HWSHOMMVLGBIDN-UHFFFAOYSA-N	WNK1	Inhibitor		nM	1	uM	EUbOPEN			biochemical	5.0	IC50	=	Radiometric assay (incorporation of 33P from [γ-33P]ATP into myelin basic protein (MBP))	https://pubmed.ncbi.nlm.nih.gov/27595330/
HWSHOMMVLGBIDN-UHFFFAOYSA-N	WNK2	Inhibitor		nM	1	uM	EUbOPEN			biochemical	1.0	IC50	=	Radiometric assay (incorporation of 33P from [γ-33P]ATP into myelin basic protein (MBP))	https://pubmed.ncbi.nlm.nih.gov/27595330/
