inchikey	smiles	chembl_id	name
BJFSUDWKXGMUKA-UHFFFAOYSA-N	COc1cc(-c2cn(C)c(=O)c3cnccc23)c(OC)cc1CN(C)C		BI-9564
CMJJZRAAQMUAFH-INIZCTEOSA-N	Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)CN(c3cncnc3)C[C@@H]4C)cc(C(F)(F)F)c2)cn1		DDR-TRK-1 (D2202-1)
GJMZWYLOARVASY-NTCAYCPXSA-N	CN(C)C(=O)/C(C#N)=C/c1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1		FM-381
RPIGHLXKDWUGDT-DTQAZKPQSA-N	CN(C)C(=O)/C(C#N)=C/c1ccc(-c2nc3cnc4c(ccn4C)c3n2C2CCCCC2)o1		FM-479
HEAGNKNMQVIVMM-UHFFFAOYSA-N	CN1C=C(C2=NC3=C(OC=C3C4=CC(C5=CC=NC=C5)=CC=C4)C=C2)C=N1		MU1210
QSBNKGGRYOLZND-UHFFFAOYSA-N	Cn1cc(-c2ccc3occ(-c4ccccc4-c4ccccc4)c3n2)cn1		MU140
YBPIBGNBHHGLEB-UHFFFAOYSA-N	O=C(C1=CC=C(N)N=C1)NC2=CC(C3=NC4=C(OC5=C4C=CC=N5)C(N6CCOCC6)=N3)=CC=C2		YM-201636
TWKWEBMGDALHPN-UHFFFAOYSA-N	O=S(C1=CC=CC(C2=C(CC)C=C3C(C(C)(C)C(NC4=C5C=CC(C#N)=C4)=C5C3=O)=C2)=C1)(F)=O		SRPKIN-1
FMTVWAGUJRUAKE-UHFFFAOYSA-N	CC(C)Oc1ccc(-c2c[nH]cc2CN(C)CCN)cc1		MS023
SGIWFELWJPNFDH-UHFFFAOYSA-N	C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O		T0901317
FJCDSQATIJKQKA-UHFFFAOYSA-N	Cc1cccc(-c2[nH]c(CNc3ccccc3F)nc2-c2ccc3ncnn3c2)n1		Vactosertib
SFMJNHNUOVADRW-UHFFFAOYSA-N	CC1=C(C=C(C=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CC=C(C=C5)NS(=O)(=O)C)NC(=O)C=C		BMX-IN-1
LHNIIDJUOCFXAP-UHFFFAOYSA-N	CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1		Pictilisib (GDC-0941)
HWSHOMMVLGBIDN-UHFFFAOYSA-N	CC(C)(C)NC(=O)c1cncn1C1CCN(c2ccc(-c3nnc(C(F)(F)F)o3)cn2)CC1		WNK463
XCFRUAOZMVFDPQ-AWEZNQCLSA-N	Cc1cc(O)c(-c2ccc([C@@H](C)CN(C)C)cc2)c2c1[nH]c(=O)c1sccc12		OTS964
CMWRPDHVGMHLSZ-GFCCVEGCSA-N	O=C(N[C@H](C)CN4)C3=C4C1=C(S3)C=CC2=C1C=CC(C5=CC=C(C)N=C5)=N2		PF 3644022
HZPYSAHDRSBARR-QPJJXVBHSA-N	CN(C)C/C=C/C(=O)Nc1cccc(S(=O)(=O)N2CCC(NC(=O)c3n[nH]cc3NC(=O)c3c(Cl)cc(Cl)cc3Cl)CC2)c1		FMF-04-159-2
BXDZOYLPNAIDOC-UHFFFAOYSA-N	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCN(CC(=O)NCCOCCOCCOCCNc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)s2)o1		THAL SNS 032
MVXAYIXYYOVALX-UHFFFAOYSA-N	CNc1nc(-c2cc(C(=O)N3CCN(Cc4ccc(Cl)cc4)CC3)c(Cl)cn2)cs1		WNK-IN-11
VURLRACCOCGFDB-UHFFFAOYSA-N	O=C(C1=CC=C(C2=CC=NC=C2)O1)NC(C=C(C(F)(F)F)C=C3)=C3N(CC4)CCN4CC5=CC=CC=N5		SPHINX31
ZXERDUOLZKYMJM-ZWECCWDJSA-N	O[C@@H]1CC[C@@]2(C)[C@@]([C@@H](CC)[C@@H](O)[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@@H](CCC(O)=O)C)([H])C1		6-ECDCA, INT 747, Obeticholic Acid
KYWWJENKIMRJBI-UHFFFAOYSA-N	FC(C=C1)=CC=C1C2=C3C(C(C(F)(F)F)=CC=C3)=NN2CC4=CC=C(F)C=C4Cl		LXR-623
RUBYHLPRZRMTJO-UXBLZVDNSA-N	CN(C)C/C=C/C(=O)Nc1ccc(C(=O)N2CCCC(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)C2)cc1		THZ531
VUVUVNZRUGEAHB-CYBMUJFWSA-N	COc1cc2c(cc1-c1c(C)noc1C)ncc1nc(O)n([C@H](C)c3ccccn3)c12		I-BET151 (GSK1210151A)
HBOJWAYLSJLULG-UHFFFAOYSA-N	CNCCN1CCC(OCc2ccccc2)CC1		MS049 hydrochloride
HQWTUOLCGKIECB-XZWHSSHBSA-N	O=C1[C@H](Cc2ccc(O)cc2)N2C(=O)CCN(C(=O)NCc3ccccc3)[C@H]2CN1Cc1cccc2ccccc12		ICG-001
QAPAJIZPZGWAND-UHFFFAOYSA-N	OC1CCN(C2=CC(OCC)=C(NC3=NC=C(N(C)C(C(C=CC=C4)=C4N5C)=O)C5=N3)C=C2)CC1		XMD8-92
LIRYPHYGHXZJBZ-UHFFFAOYSA-N	CC(NC1=CC(N2C(C(C(N(C3CC3)C2=O)=O)=C(NC4=CC=C(I)C=C4F)N5C)=C(C)C5=O)=CC=C1)=O		Trametinib
QYZOGCMHVIGURT-UHFFFAOYSA-N	CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCO		Barasertib-HQPA
AQGNHMOJWBZFQQ-UHFFFAOYSA-N	Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1		CHIR99021
CYOHGALHFOKKQC-UHFFFAOYSA-N	CN(C=N1)C2=C1C(F)=C(NC3=CC=C(Br)C=C3Cl)C(C(NOCCO)=O)=C2		Selumetinib
HWUHTJIKQZZBRA-UHFFFAOYSA-N	Cl.Cl.NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1		MK-2206 2HCl
