inchikey_compound	inchikey_control
WULUGQONDYDNKY-UHFFFAOYSA-N	ODRITQGYYWHQGM-INIZCTEOSA-N
VUIITYLFSAXKIQ-UHFFFAOYSA-N	IQCHVVCQDZOLHI-UHFFFAOYSA-N
WOAOENGFAAUUGT-UHFFFAOYSA-N	SFZHMKDAVPIXRB-UHFFFAOYSA-N
NIPTUMFVYBXSMZ-JOCHJYFZSA-N	NIPTUMFVYBXSMZ-QFIPXVFZSA-N
YQCVJBZPFAJZFJ-DVUQJCTJSA-N	WJXNVDYYZYLOAF-GILVJNHZSA-N
WBFJDKLBAAHKIL-UHFFFAOYSA-N	MXAVRMOXZMBKGE-UHFFFAOYSA-N
GJYVLTPTDBQQCY-UHFFFAOYSA-N	BJVQXSHZMUFJBQ-UHFFFAOYSA-N
ZDOBSAPHUUUOHX-OSYLJGHBSA-N	ZDITZGRCUFFQRS-PHZGNYQRSA-N
MULKOGJHUZTANI-ADMBKAPUSA-N	PLCVQSIOQUTHPT-UHFFFAOYSA-N
UEMQPCYDWCSVCU-UHFFFAOYSA-N	QTIVTZLLONAWRR-UHFFFAOYSA-N
OINGHOPGNMYCAB-INIZCTEOSA-N	RVHZFZVJXGIAJF-HNNXBMFYSA-N
VSZRYLHBOKTNBO-UHFFFAOYSA-N	SBCFKMYFTAVDHK-UHFFFAOYSA-N
YQOLEILXOBUDMU-KRWDZBQOSA-N	ZZSNHHKTFMLWFY-KRWDZBQOSA-N
IESAJAZKMLPVIB-VXGBXAGGSA-N	CWRARANSONEPBZ-CHWSQXEVSA-N
NDEORODKVUYMFQ-NHCUHLMSSA-N	NDEORODKVUYMFQ-SFTDATJTSA-N
WZQLVEPIBAOOGF-RMMWZPCPSA-N	WZQLVEPIBAOOGF-PXTPFGJHSA-N
SWOIFXHMBKFCRM-UHFFFAOYSA-N	SRSOVGVHVNSXTC-UHFFFAOYSA-N
WWOOWAHTEXIWBO-QFRSUPTLSA-N	WWOOWAHTEXIWBO-CNUKPYSBSA-N
DLNFTRSEHUWEGO-HUUCEWRRSA-N	VCDTXROFDBHEIP-HUUCEWRRSA-N
QVOGVAVHOLLLAZ-UHFFFAOYSA-N	PYAFWWXPXHSNDM-UHFFFAOYSA-N
ZDBWLRLGUBSLPG-FDHYQTMZSA-N	ZDBWLRLGUBSLPG-FFUXEPPCSA-N
RPAHCZZXEGWBDL-UHFFFAOYSA-N	OLFCZVVFPNDHIW-UHFFFAOYSA-N
HXBRBOYWXDLHDC-UHFFFAOYSA-N	DHRJWFCFMBINAK-UHFFFAOYSA-N
DVIVLYHDLNAXAT-NRFANRHFSA-N	DVIVLYHDLNAXAT-OAQYLSRUSA-N
QBIGUDRHHJTXKG-UUWRZZSWSA-N	UWOBQISTECYGOP-HKBQPEDESA-N
BPLVDYJDAVYLRQ-UHFFFAOYSA-N	OKTXMSSTNJXZII-UHFFFAOYSA-N
PWKAYICUBVNJAZ-UHFFFAOYSA-N	BNXNWRSVYQHTOH-UHFFFAOYSA-N
KIWKRCCIHSGWQS-VIFPVBQESA-N	KIWKRCCIHSGWQS-SECBINFHSA-N
IYHHRZBKXXKDDY-UHFFFAOYSA-N	HHYGVXHXNNIDJF-UHFFFAOYSA-N
XVFDNRYZXDHTHT-PXAZEXFGSA-N	DZCCAQZCZGYKMP-UHFFFAOYSA-N
XMTCSFQKNADGEY-UHFFFAOYSA-O	AAAPMLXDGIAFDK-UHFFFAOYSA-O
LIMHMSHMIXSMHF-XHPGVBHPSA-N	MXZMIFJCRSXQNY-UHFFFAOYSA-N
MNEOBAAFLAQMKF-VKDGWMQASA-N	MNEOBAAFLAQMKF-KCOOYEKVSA-N
PCJVXTDIDUMIRR-QGZVFWFLSA-N	VZTHSNCTTRCPEI-SFHVURJKSA-N
SYRVEVZSXHRXIX-KRWDZBQOSA-N	ZJHRRAJHJNQDON-CQSZACIVSA-N
XFLXOPFMUQXKTL-RDJZCZTQSA-N	XFLXOPFMUQXKTL-DOTOQJQBSA-N
WPEKGNGDNFRRMH-UHFFFAOYSA-N	IGYMFEZFRPINTQ-UHFFFAOYSA-N
BCPWXDUHSHWXPM-SWYZXDRTSA-N	BRYUNLVJDCMANZ-DZGCQCFKSA-N
OWOFDBGWRLKZST-UHFFFAOYSA-N	QFZWUFWLRKSIGL-UHFFFAOYSA-N
UVVQLQQNGHYTOL-JIVXZRRKSA-N	UVVQLQQNGHYTOL-TXVJWXCVSA-N
ADTXLFJKQHYGPM-UHFFFAOYSA-N	UVVQLQQNGHYTOL-TXVJWXCVSA-N
GXTJETQFYHZHNB-GASCZTMLSA-N	KWMGIHUWUIICDA-GASCZTMLSA-N
XCGYXEVLQIIEJH-UHFFFAOYSA-N	KWMGIHUWUIICDA-GASCZTMLSA-N
DOVSNSDMRJVTMR-JOCHJYFZSA-N	DOVSNSDMRJVTMR-QFIPXVFZSA-N
HCDAVCLCBXIYPW-QGZVFWFLSA-N	AGUWFXQREOZZIT-HNNXBMFYSA-N
CJEJFFCPVBZSIE-OAHLLOKOSA-N	AGUWFXQREOZZIT-HNNXBMFYSA-N
HKASDKLLEVWKJA-YADARESESA-N	HKASDKLLEVWKJA-DVECYGJZSA-N
NPPMVTBTTJNVKP-ZDUSSCGKSA-N	NPPMVTBTTJNVKP-CYBMUJFWSA-N
XKDHFIPNTTUSIA-UHFFFAOYSA-N	TVCKWZATGBVYEN-UHFFFAOYSA-N
VFNPUAOAEFMXQI-GASCZTMLSA-N	MLRMGHITRSOINN-IYBDPMFKSA-N
APLVGTKXOIMODQ-IBGZPJMESA-N	DMEDHHKXKVEBDF-HNNXBMFYSA-N
WZMIWVZGYMKUDV-WFGJKAKNSA-N	OOIXWMIRURMFRS-UHFFFAOYSA-N
RIGHCDSORZCRDE-UHFFFAOYSA-N	LUURZPBLEVSXGP-UHFFFAOYSA-N
OAZAPIKYVGRNCO-UHFFFAOYSA-N	CECLXQDMAJQBCR-UHFFFAOYSA-N
ODOJVROSIRINJT-LJQANCHMSA-N	HHXRZSZBSWPCKL-LJQANCHMSA-N
MAHFVAHPQSLLJF-IBGZPJMESA-N	IVVSBEQDCAZLFY-SFHVURJKSA-N
KHVVJKLNKLQLJZ-SFHVURJKSA-N	IVVSBEQDCAZLFY-SFHVURJKSA-N
AUOSKLDNVNGKRR-UHFFFAOYSA-N	PVTQCCFMFWASHK-UHFFFAOYSA-N
WGMNFJAFXXXRLZ-GEVKEYJPSA-N	JINDDPNTLQVRRX-ACEFPKFPSA-N
JWZSSEWMVYKYKW-UHFFFAOYSA-N	RHXKLUBQGQKHCH-UHFFFAOYSA-N
HXMGCTFLLWPVFM-GOSISDBHSA-N	RHXKLUBQGQKHCH-UHFFFAOYSA-N
QKNBRNSGPNCARD-SGNKCFNYSA-N	RRFFBKGCCWPMLK-OQIWPSSASA-N
BEBDKSYNJJVZSO-SECBINFHSA-N	BEBDKSYNJJVZSO-VIFPVBQESA-N
AUYCSWFYKYVCLD-HXUWFJFHSA-N	JREVKKCSBRLATM-OAQYLSRUSA-N
HBYQBJCBPAXCBO-UHFFFAOYSA-M	MMSNEMMBFRAGPO-UHFFFAOYSA-N
VUOYAALVGSMUHC-UHFFFAOYSA-N	GSNNWZZIEKEEQF-UHFFFAOYSA-N
VXNAMCLMCBLNOL-NFQMXDRXSA-N	PHYBFLAZLZLAGT-NFQMXDRXSA-N
QTCZUCSALXBZQR-UHFFFAOYSA-N	LMJIDEOCWXGUHT-UHFFFAOYSA-N
SZDURAXJBIDHAJ-HXUWFJFHSA-N	OVHJYUGMCWAZNQ-UHFFFAOYSA-N
BRJXJOWXAFLRTE-OAQYLSRUSA-N	BRJXJOWXAFLRTE-NRFANRHFSA-N
TVMJSGGZULFVCZ-XMMPIXPASA-N	TVMJSGGZULFVCZ-DEOSSOPVSA-N
JQLMEZBHIJSVKR-UHFFFAOYSA-N	VJWCJKXRULCPCJ-UHFFFAOYSA-N
MCLDWKVRXDHDEI-UHFFFAOYSA-N	RUYKDMMLESXEOA-UHFFFAOYSA-N
NIHAFOURWLZLFN-UHFFFAOYSA-N	ODZBDODDFLVDQZ-UHFFFAOYSA-N
