uniprot_id	target_key	HGNC	species
Q9NPI1	BRD7@BRD		
Q9H8M2	BRD9@BRD		
P04629	NTRK1		
Q16620	NTRK2		
Q16288	NTRK3		
Q08345	DDR1		
Q16832	DDR2		
P52333	JAK3@kinase 1		
Q9HAZ1	CLK4		
Q13627	DYRK1A		
Q92630	DYRK1B		
Q9Y463	DYRK2		
P49759	CLK1		
P49760	CLK2		
Q9Y2I7	PIKFYVE		
Q96SB4	SRPK1		
P78362	SRPK2		
Q9UPE1	SRPK3		
Q96LA8	PRMT6@Methyltransferase		
Q9NR22	PRMT8@Methyltransferase		
Q99873	PRMT1@Methyltransferase		
O60678	PRMT3@Methyltransferase		
Q86X55	CARM1@Methyltransferase		
P51449	RORC		
	NR1F3		
P55055	NR1H2		
Q13133	NR1H3		
O75469	NR1I2		
P36896	ACVR1B		
P36897	TGFBR1		
Q06187	BTK		
P51813	BMX		
P42336	PIK3CA		
P42338	PIK3CB		
P48736	PIK3CG		
O00329	PIK3CD		
Q9H4A3	WNK1		
Q9Y3S1	WNK2		
Q9BYP7	WNK3		
Q96J92	WNK4		
Q96KB5	PBK		
P21127	CDK11B		
P49137	MAPKAPK2		
Q16644	MAPKAPK3		
Q8IW41	MAPKAPK5		
O94921	CDK14		
Q00536	CDK16		
P24941	CDK2		
P50750	CDK9		
Q96RI1	NR1H4		
Q14004	CDK13		
Q58F21	BRDT		
P25440	BRD2		
Q15059	BRD3		
O60885	BRD4		
P35222	CTNNB1		
Q13164	MAPK7		
Q02750	MAP2K1		
P36507	MAP2K2		
Q96GD4	AURKB		
P49840	GSK3A		
P49841	GSK3B		
P31749	AKT1		
P31751	AKT2		
Q9Y243	AKT3		
Q15759	MAPK11		
Q16539	MAPK14		
O14965	STK6		
Q13464	ROCK1		
O75116	ROCK2		
P15056	BRAF		
Q05397	PTK2		
Q14289	PTK2B		
P29317	EPHA2		
P54760	EPHB4		
Q12866	MERTK		
Q06418	TYRO3		
P30530	AXL		
O15530	PDPK1		
P17252	PRKCA		
P05771	PRKCB		
